Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
131,Mathieu Choiniere,ca CAN,DFMF,CF Montréal,23-144,1999,6.6,284,339,83.8,4690,1429,155,174,89.1,105,121,86.8,22,34,64.7,0,0.6,-0.6,6,12,7,3,21,Matches,017459bb
132,Léo Chú,br BRA,FWMF,Seattle,22-086,2000,5.2,89,127,70.1,1377,485,50,64,78.1,33,46,71.7,4,8,50,1,0.5,0.5,4,3,7,3,15,Matches,d88ebbe9
133,Kadin Chung,ca CAN,DF,Toronto FC,23-299,1998,5,208,260,80,3573,1133,92,106,86.8,86,105,81.9,23,35,65.7,1,0.1,0.9,3,14,6,2,16,Matches,d616ce40
134,José Cifuentes,ec ECU,MF,Los Angeles FC,23-111,1999,13,496,621,79.9,8804,2874,238,279,85.3,197,248,79.4,52,74,70.3,4,2.7,1.3,18,73,16,1,75,Matches,8c8c07a7
135,Ronaldo Cisneros,mx MEX,FW,Atlanta Utd,25-174,1997,9.2,116,153,75.8,1691,197,67,85,78.8,39,48,81.3,6,8,75,0,0.1,-0.1,4,8,1,1,5,Matches,e526c193
136,Abdoulaye Cissoko,fr FRA,DF,Seattle,22-186,1999,3.1,163,184,88.6,3260,1352,52,54,96.3,92,96,95.8,18,32,56.3,0,0,0,0,7,0,0,8,Matches,52a6ef30
137,Caden Clark,us USA,MFFW,NY Red Bulls,19-035,2003,1.6,35,45,77.8,575,237,20,25,80,9,13,69.2,4,4,100,1,0.9,0.1,4,1,5,0,7,Matches,6e327d0d
138,Steve Clark,us USA,GK,Houston Dynamo,36-078,1986,16,477,611,78.1,12516,6988,105,105,100,227,229,99.1,144,276,52.2,0,0,0,0,2,0,0,0,Matches,ed6320b7
139,Stefan Cleveland,us USA,GK,Seattle,28-037,1994,3,81,112,72.3,1992,1076,19,19,100,44,44,100,18,49,36.7,0,0,0,0,2,0,0,0,Matches,873fdbdf
140,Jackson Conway,us USA,FWMF,Atlanta Utd,20-210,2001,0.4,3,3,100,71,5,1,1,100,1,1,100,1,1,100,0,0,0,1,1,0,0,0,Matches,1cfa6e1a
141,Gabriele Corbo,it ITA,DF,CF Montréal,22-171,2000,3.8,148,168,88.1,2953,1360,54,58,93.1,77,85,90.6,16,23,69.6,0,0,0,1,19,1,0,14,Matches,091795f2
142,Sergio Córdova,ve VEN,FW,Real Salt Lake,24-326,1997,12.2,183,255,71.8,2749,621,103,137,75.2,67,86,77.9,8,16,50,1,1.6,-0.6,10,16,6,2,21,Matches,229cd98a
143,Carlos Coronel,br BRA,GK,NY Red Bulls,25-184,1996,17,256,454,56.4,8404,5898,51,51,100,90,92,97.8,114,308,37,0,0,0,0,5,0,0,0,Matches,5c07e176
144,Guzmán Corujo,uy URU,DF,Charlotte FC,25-333,1996,18,821,954,86.1,18674,4900,178,191,93.2,489,519,94.2,149,228,65.4,0,0.2,-0.2,3,37,4,1,31,Matches,5c6051ad
145,Douglas Costa,br BRA,MFFW,LA Galaxy,31-290,1990,8.4,346,450,76.9,7070,1821,157,185,84.9,121,151,80.1,63,92,68.5,0,2,-2,17,34,15,2,43,Matches,4fa7cb9b
146,Séga Coulibaly,fr FRA,DF,LA Galaxy,26-022,1996,9.8,535,585,91.5,11992,3832,119,133,89.5,303,312,97.1,107,130,82.3,0,0,0,0,32,0,0,27,Matches,dab9537e
147,Cade Cowell,us USA,FWMF,San Jose,18-260,2003,9.9,194,236,82.2,3122,609,108,119,90.8,74,92,80.4,11,20,55,3,1.1,1.9,8,9,9,2,18,Matches,f8e95f87
148,Maxime Crépeau,ca CAN,GK,Los Angeles FC,28-051,1994,16,379,483,78.5,11322,7263,66,66,100,175,178,98.3,137,238,57.6,0,0,0,0,5,0,0,0,Matches,ea42e480
149,Daniel Crisostomo,us USA,MF,Los Angeles FC,25-166,1997,0.3,9,10,90,174,66,4,5,80,3,3,100,2,2,100,0,0,0,0,2,0,0,2,Matches,33fdd2aa
150,Cody Cropper,us USA,GK,Vancouver,29-135,1993,7.2,121,195,62.1,4428,2944,22,22,100,37,38,97.4,62,135,45.9,0,0,0,0,3,0,0,0,Matches,aa133046
151,Allan Cruz,cr CRC,MF,FC Cincinnati,26-127,1996,1.6,49,59,83.1,912,274,17,20,85,23,27,85.2,7,10,70,0,0.1,-0.1,1,6,0,0,5,Matches,030105a5
152,Adrián Cubas,py PAR,MF,Vancouver,26-040,1996,2,95,106,89.6,1903,693,46,51,90.2,27,29,93.1,19,23,82.6,0,0.1,-0.1,1,17,2,0,11,Matches,9b40a6ea
153,Rafael Czichos,de GER,DF,Chicago Fire,32-048,1990,11.9,431,538,80.1,10102,4288,102,113,90.3,214,248,86.3,108,168,64.3,0,0.6,-0.6,4,33,4,1,42,Matches,b0a0698b
154,Cristián Dajome,co COL,DFMF,Vancouver,28-179,1994,12.2,325,444,73.2,5650,2145,146,180,81.1,146,190,76.8,28,55,50.9,2,1,1,12,28,15,4,57,Matches,a065e877
155,Abu Danladi,gh GHA,FWMF,Minnesota Utd,26-256,1995,4.6,90,122,73.8,1314,395,55,62,88.7,25,37,67.6,5,11,45.5,0,1,-1,6,7,4,3,6,Matches,507383d1
156,Bode Davis,us USA,MF,Real Salt Lake,20-129,2002,0.3,12,16,75,150,41,9,11,81.8,3,3,100,0,1,0,0,0.1,-0.1,1,2,0,0,2,Matches,891f8b82
157,Jake Davis,us USA,MF,Sporting KC,20-179,2002,0.2,,,,,,,,,,,,,,,0,,,,,,,,Matches,79d3a503
158,Sean Davis,us USA,MF,Nashville,29-143,1993,16,558,648,86.1,10133,2475,236,269,87.7,247,280,88.2,63,77,81.8,0,0.2,-0.2,4,50,5,0,55,Matches,cb75cac9
159,Miloš Degenek,au AUS,DF,Columbus Crew,28-064,1994,11.6,560,648,86.4,11887,4029,168,181,92.8,290,320,90.6,95,135,70.4,0,0.1,-0.1,2,45,2,0,33,Matches,c8e65157
160,Alex DeJohn,us USA,DF,Atlanta Utd,31-052,1991,4.6,250,286,87.4,5196,1714,71,78,91,138,150,92,41,54,75.9,0,0,0,1,15,1,0,9,Matches,2a6c024c
161,A.J. DeLaGarza,gu GUM,DF,New England,34-239,1987,2.7,99,126,78.6,1562,564,49,56,87.5,42,48,87.5,6,15,40,0,0,0,1,6,0,0,8,Matches,171b3c37
162,Marky Delgado,us USA,MF,LA Galaxy,27-046,1995,14.3,953,1079,88.3,17907,5540,392,437,89.7,433,468,92.5,116,147,78.9,0,1.6,-1.6,18,131,16,1,125,Matches,7f6a25b7
163,Nick DePuy,us USA,DF,LA Galaxy,27-229,1994,10.1,423,493,85.8,8593,2698,144,157,91.7,217,241,90,58,89,65.2,0,0.1,-0.1,1,16,0,0,19,Matches,ba7b4e67
164,Silvester van der Water,nl NED,FWMF,Orlando City,25-274,1996,0.5,10,16,62.5,294,78,2,3,66.7,4,6,66.7,4,6,66.7,0,0,0,0,2,0,0,1,Matches,5d83500d
165,Joey DeZart,us USA,DF,Orlando City,24-022,1998,0,4,4,100,65,24,2,2,100,2,2,100,0,0,,0,0,0,0,1,0,0,1,Matches,9d7142a6
166,Luis Díaz,cr CRC,FWMF,Columbus Crew,23-207,1998,3.4,76,105,72.4,1236,432,40,46,87,33,42,78.6,3,7,42.9,0,0,0,1,4,1,0,12,Matches,1c9838aa
167,Bakaye Dibassy,ml MLI,DF,Minnesota Utd,32-324,1989,16,547,660,82.9,10840,3913,211,230,91.7,242,287,84.3,85,127,66.9,0,0.1,-0.1,3,39,2,0,47,Matches,247accfd
168,Clément Diop,sn SEN,GK,Inter Miami,28-262,1993,3,62,93,66.7,1480,858,13,13,100,37,39,94.9,12,41,29.3,0,0,0,0,0,0,0,0,Matches,0d5c0218
169,Sofiane Djeffal,fr FRA,MF,D.C. United,23-083,1999,9.3,315,400,78.8,7620,1793,90,105,85.7,128,153,83.7,88,127,69.3,0,0.2,-0.2,3,49,7,0,43,Matches,29d85f83
170,Moussa Djitte,sn SEN,FW,Austin FC,22-270,1999,2.3,26,36,72.2,409,35,15,21,71.4,9,11,81.8,2,3,66.7,1,0,1,0,3,0,0,0,Matches,627b570a
171,Ethan Dobbelaere,us USA,DF,Seattle,19-229,2002,1,43,50,86,645,223,23,27,85.2,20,22,90.9,0,1,0,0,0.1,-0.1,1,1,0,0,2,Matches,1e772b7c
172,Cecilio Domínguez,py PAR,FWMF,Austin FC,27-324,1994,3.1,76,104,73.1,1328,259,39,50,78,27,34,79.4,9,16,56.3,0,0.1,-0.1,2,4,3,1,5,Matches,3162d667
173,Christopher Donovan,us USA,MFFW,Philadelphia,21-327,2000,0.3,10,13,76.9,126,26,6,9,66.7,3,3,100,0,0,,0,0.2,-0.2,1,0,0,0,0,Matches,8f995d10
174,Griffin Dorsey,us USA,DF,Houston Dynamo,23-118,1999,7.7,267,331,80.7,5167,1495,100,111,90.1,128,148,86.5,35,56,62.5,0,0.1,-0.1,2,13,5,3,26,Matches,c182ca04
175,Hassani Dotson,us USA,DFMF,Minnesota Utd,24-329,1997,7,265,336,78.9,5074,2145,114,129,88.4,108,136,79.4,41,57,71.9,2,0.5,1.5,6,16,5,1,24,Matches,8f2af1ed
176,Sebastián Driussi,ar ARG,MFFW,Austin FC,26-142,1996,16.7,552,713,77.4,10303,2508,260,312,83.3,210,252,83.3,69,111,62.2,3,3.3,-0.3,19,62,17,2,72,Matches,60e86875
177,Bryce Duke,us USA,MF,Inter Miami,21-123,2001,7.4,258,333,77.5,4376,1174,120,138,87,102,118,86.4,28,57,49.1,2,1.4,0.6,17,14,11,3,29,Matches,59557625
178,Cameron Duke,us USA,MFDF,Sporting KC,21-138,2001,10,260,340,76.5,4431,898,120,147,81.6,112,134,83.6,24,33,72.7,2,1.5,0.5,11,19,10,2,20,Matches,c679d9fd
179,Jhon Durán,co COL,FW,Chicago Fire,18-200,2003,3.7,49,73,67.1,750,169,34,44,77.3,9,15,60,5,8,62.5,1,0.6,0.4,2,3,1,1,3,Matches,414184f7
180,Chris Durkin,us USA,MF,D.C. United,22-143,2000,7.9,218,306,71.2,5044,1513,76,89,85.4,88,112,78.6,51,95,53.7,0,0.6,-0.6,3,37,7,2,33,Matches,0ffd4373
181,Dom Dwyer,us USA,FWMF,Atlanta Utd,31-336,1990,2.6,31,43,72.1,555,161,18,21,85.7,8,12,66.7,5,8,62.5,0,0,0,0,4,0,0,6,Matches,bdfc15f8
182,Jeremy Ebobisse,us USA,FW,San Jose,25-137,1997,15,241,300,80.3,3683,484,153,178,86,68,82,82.9,17,24,70.8,1,1.4,-0.4,16,14,6,1,21,Matches,5fa7b2ec
183,Daniel Edelman,us USA,MF,NY Red Bulls,19-064,2003,0.4,8,12,66.7,69,34,7,10,70,0,0,,0,1,0,0,0,0,0,0,0,0,0,Matches,a8de0bd5
184,Javier Eduardo López,mx MEX,MFFW,San Jose,27-287,1994,2.6,72,103,69.9,1124,321,39,47,83,23,33,69.7,6,16,37.5,0,0.1,-0.1,2,9,3,0,6,Matches,f851b52f
185,Earl Edwards Jr.,us USA,GK,New England,30-158,1992,4,59,89,66.3,1940,1278,10,11,90.9,16,17,94.1,33,61,54.1,0,0,0,0,0,0,0,0,Matches,10f6f942
186,Raheem Edwards,ca CAN,DF,LA Galaxy,26-351,1995,14.3,623,777,80.2,11094,4125,286,326,87.7,267,324,82.4,58,101,57.4,3,1.3,1.7,15,49,19,3,66,Matches,b828d56a
187,Tom Edwards,eng ENG,DF,NY Red Bulls,23-160,1999,15.7,522,850,61.4,13067,6453,133,163,81.6,239,304,78.6,143,359,39.8,0,0.9,-0.9,16,63,10,4,65,Matches,1b780599
188,Jack Elliott,eng ENG,DF,Philadelphia,26-310,1995,16.9,438,596,73.5,10529,4174,122,135,90.4,197,235,83.8,115,217,53,0,0,0,1,29,1,0,27,Matches,041deebd
189,Kalil ElMedkhar,us USA,FWMF,FC Dallas,22-317,1999,0.1,9,13,69.2,95,31,7,9,77.8,1,2,50,0,0,,0,0,0,0,2,0,0,1,Matches,272c1aaf
190,Franco Escobar,ar ARG,DF,Los Angeles FC,27-130,1995,4.2,208,253,82.2,3513,1403,96,102,94.1,99,113,87.6,11,28,39.3,0,0.5,-0.5,6,12,4,0,28,Matches,54f33d0e
191,Cristian Espinoza,ar ARG,FWMF,San Jose,27-089,1995,15.1,456,612,74.5,7985,2021,232,264,87.9,163,200,81.5,52,110,47.3,5,4.2,0.8,30,14,23,12,35,Matches,9c794a80
192,Jhon Espinoza,ec ECU,DFFW,Chicago Fire,23-127,1999,3.2,89,123,72.4,1486,574,46,51,90.2,31,46,67.4,8,18,44.4,0,0.3,-0.3,3,5,3,2,8,Matches,79666d5a
193,Roger Espinoza,hn HON,MF,Sporting KC,35-249,1986,12.8,432,552,78.3,8804,2191,178,209,85.2,164,200,82,83,121,68.6,0,0.3,-0.3,7,61,12,1,61,Matches,60b7c195
194,Lucas Esteves,br BRA,DF,Colorado Rapids,22-007,2000,10.3,398,513,77.6,7626,2639,164,191,85.9,184,218,84.4,46,89,51.7,2,1.3,0.7,7,31,13,4,53,Matches,c6ec0258
195,Michael Estrada,ec ECU,FW,D.C. United,26-085,1996,6.3,65,99,65.7,969,236,35,45,77.8,26,39,66.7,2,7,28.6,2,1.5,0.5,5,6,3,0,12,Matches,773f5f12
196,Derrick Etienne,ht HAI,FWDF,Columbus Crew,25-218,1996,11.8,294,388,75.8,5241,1349,136,162,84,118,145,81.4,32,59,54.2,5,2.9,2.1,19,12,18,5,31,Matches,59059f1e
197,Diego Fagúndez,uy URU,FWMF,Austin FC,27-137,1995,14.9,477,580,82.2,7760,2400,261,284,91.9,162,189,85.7,40,83,48.2,7,2.7,4.3,27,23,19,4,50,Matches,fe81682e
198,Mamadou Fall,sn SEN,DF,Los Angeles FC,19-222,2002,12.1,521,641,81.3,11076,4307,129,146,88.4,323,354,91.2,67,133,50.4,1,0.1,0.9,3,50,0,0,60,Matches,805a2a11
199,Marco Farfan,us USA,DF,FC Dallas,23-231,1998,16.5,700,835,83.8,11613,3884,342,373,91.7,292,331,88.2,50,102,49,2,1.7,0.3,9,35,8,1,41,Matches,cfc68595
200,Andrew Farrell,us USA,DF,New England,30-090,1992,15.7,896,1010,88.7,21162,7759,222,232,95.7,435,469,92.8,234,298,78.5,0,0,0,2,82,3,1,64,Matches,71eda165
201,Mohamed Farsi,ca CAN,FWMF,Columbus Crew,22-197,1999,0.3,8,9,88.9,77,7,6,6,100,1,2,50,0,0,,0,0,0,0,1,0,0,0,Matches,81039302
202,Felipe,br BRA,MFFW,Austin FC,31-274,1990,3.6,139,165,84.2,2340,658,68,72,94.4,57,60,95,9,24,37.5,0,0,0,1,12,2,0,12,Matches,2415bd0a
203,Thiago Fernandes,br BRA,FWMF,Houston Dynamo,21-110,2001,0.2,7,13,53.8,102,29,3,5,60,3,4,75,0,0,,0,0,0,0,1,1,0,2,Matches,e3550df1
204,Omir Fernandez,us USA,MFFW,NY Red Bulls,23-143,1999,11.9,164,244,67.2,2632,837,89,118,75.4,55,80,68.8,15,30,50,3,3,0,17,19,14,2,34,Matches,622986f0
205,Jesus Ferreira,us USA,FWMF,FC Dallas,21-189,2000,15.3,299,420,71.2,5872,1206,114,146,78.1,131,164,79.9,46,83,55.4,4,2.4,1.6,24,24,18,1,37,Matches,f61246d8
206,Sebastián Ferreira,py PAR,FW,Houston Dynamo,24-138,1998,13.2,174,239,72.8,2644,424,84,114,73.7,54,71,76.1,17,22,77.3,3,2.2,0.8,18,7,2,1,8,Matches,5439dba0
207,Stuart Findlay,sct SCO,DF,Philadelphia,26-290,1995,1,33,38,86.8,684,290,11,11,100,18,22,81.8,4,5,80,0,0,0,0,2,0,0,1,Matches,edffe99a
208,Ethan Finlay,us USA,FW,Austin FC,31-329,1990,7.8,164,212,77.4,2617,773,91,113,80.5,58,71,81.7,12,19,63.2,1,0.7,0.3,5,4,11,4,15,Matches,c16a59af
209,Oniel Fisher,jm JAM,DF,Minnesota Utd,30-221,1991,6.2,249,317,78.5,3992,1796,126,146,86.3,103,124,83.1,15,29,51.7,0,0.1,-0.1,2,15,4,3,17,Matches,ed5fdca6
210,Leon Flach,us USA,MF,Philadelphia,21-123,2001,15.4,261,353,73.9,3940,1183,125,159,78.6,109,137,79.6,11,27,40.7,1,0.4,0.6,7,19,8,4,29,Matches,39859fa1
211,Ashley Fletcher,eng ENG,FW,NY Red Bulls,26-272,1995,2.8,39,59,66.1,557,83,25,33,75.8,11,17,64.7,2,5,40,0,0.8,-0.8,5,2,3,0,4,Matches,eeb6551f
212,Edison Flores,pe PER,MFFW,D.C. United,28-048,1994,9.2,175,244,71.7,2663,690,99,112,88.4,60,87,69,11,17,64.7,0,0.8,-0.8,10,8,9,1,22,Matches,ef2c82f8
213,George Fochive,us USA,MF,Portland Timbers,30-099,1992,0.3,3,3,100,47,40,1,1,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,Matches,f99000bb
214,Nathan Fogaça,br BRA,FW,Portland Timbers,23-022,1999,4.2,70,99,70.7,976,137,44,61,72.1,19,23,82.6,4,9,44.4,0,0.1,-0.1,5,3,3,0,7,Matches,aad135a3
215,Andreu Fontàs,es ESP,DF,Sporting KC,32-229,1989,12.1,771,888,86.8,17696,5279,190,202,94.1,423,457,92.6,157,221,71,0,0.2,-0.2,2,84,3,1,57,Matches,0f138d5a
216,Kortne Ford,us USA,DF,Sporting KC,26-156,1996,8.8,368,446,82.5,9441,2427,77,82,93.9,177,195,90.8,113,160,70.6,0,0.1,-0.1,3,30,2,0,18,Matches,552a7707
217,Taxiarchis Fountas,gr GRE,FWMF,D.C. United,26-300,1995,7.2,136,200,68,2414,566,68,88,77.3,42,60,70,23,41,56.1,1,1.3,-0.3,9,10,4,1,12,Matches,2ce71308
218,Franco Fragapane,ar ARG,FWMF,Minnesota Utd,29-145,1993,10.5,338,436,77.5,5567,1625,190,237,80.2,111,139,79.9,30,42,71.4,1,1.8,-0.8,18,27,7,1,40,Matches,09538c47
219,Alan Franco,ar ARG,DF,Atlanta Utd,25-263,1996,12.2,770,866,88.9,16821,5539,215,236,91.1,405,429,94.4,142,187,75.9,1,0.3,0.7,1,45,2,0,55,Matches,a548281c
220,Alan Franco,ec ECU,MF,Charlotte FC,23-314,1998,8.7,261,338,77.2,4688,981,110,133,82.7,114,137,83.2,31,48,64.6,1,0.5,0.5,8,19,9,2,24,Matches,c76b161b
221,Kobe Franklin,ca CAN,DF,Toronto FC,19-052,2003,0.2,1,2,50,29,0,0,0,,1,2,50,0,0,,0,0,0,0,0,0,0,0,Matches,407325c4
222,Stefan Frei,ch SUI,GK,Seattle,36-072,1986,13,367,471,77.9,10667,6148,62,63,98.4,163,163,100,137,239,57.3,0,0,0,0,1,0,0,0,Matches,1d0a0f3e
223,Christian Fuchs,at AUT,DF,Charlotte FC,36-085,1986,12.7,740,917,80.7,17365,6363,194,220,88.2,370,403,91.8,174,277,62.8,0,0,0,2,68,6,0,79,Matches,a67a09fb
224,Ruben Gabrielsen,no NOR,DF,Austin FC,30-113,1992,14.9,800,900,88.9,16978,5529,246,264,93.2,394,431,91.4,154,194,79.4,0,0.3,-0.3,3,39,2,0,35,Matches,9e64fc85
225,Ray Gaddis,us USA,DF,FC Cincinnati,32-169,1990,7.1,226,289,78.2,3717,1710,109,125,87.2,97,119,81.5,17,27,63,0,0.5,-0.5,2,18,4,0,24,Matches,8348b24d
226,McKinze Gaines,us USA,MFFW,Charlotte FC,24-121,1998,5.2,82,121,67.8,1257,334,48,57,84.2,27,41,65.9,6,14,42.9,0,1.1,-1.1,4,7,5,3,9,Matches,8ef72983
227,Jon Gallagher,ie IRL,DF,Austin FC,26-128,1996,8.4,400,520,76.9,7837,2093,159,184,86.4,180,222,81.1,57,99,57.6,1,0.4,0.6,5,20,8,5,23,Matches,9d5afdfb
228,Pedro Gallese,pe PER,GK,Orlando City,32-128,1990,16,296,378,78.3,8275,5352,99,99,100,95,97,97.9,100,180,55.6,0,0,0,0,3,0,0,0,Matches,b76e1394
229,Christopher Garcia,us USA,MFFW,Real Salt Lake,19-169,2003,0,2,5,40,43,2,0,1,0,2,3,66.7,0,0,,0,0,0,0,1,0,0,0,Matches,f6390a6b
230,Chase Gasper,us USA,DF,LA Galaxy,26-157,1996,1.9,90,117,76.9,1585,673,39,43,90.7,45,57,78.9,6,11,54.5,0,0,0,0,8,0,0,12,Matches,7371ec36
231,Ryan Gauld,sct SCO,MF,Vancouver,26-197,1995,9.6,263,358,73.5,4921,1648,107,132,81.1,122,153,79.7,32,55,58.2,0,0.9,-0.9,13,38,18,4,47,Matches,862e93c2
232,Dániel Gazdag,hu HUN,MF,Philadelphia,26-121,1996,16.5,362,489,74,5983,2320,197,230,85.7,116,164,70.7,36,67,53.7,2,1.9,0.1,20,42,18,0,72,Matches,527d0e31
233,Kieran Gibbs,eng ENG,DF,Inter Miami,32-278,1989,2.1,95,118,80.5,1629,644,47,51,92.2,38,46,82.6,8,17,47.1,0,0.1,-0.1,1,11,2,1,7,Matches,46ee5234
234,Carles Gil,es ESP,MF,New England,29-221,1992,16.3,945,1234,76.6,20035,6906,343,391,87.7,384,460,83.5,201,342,58.8,6,4.7,1.3,62,130,60,13,171,Matches,11c30a46
235,José Antonio Martínez Gil,es ESP,DF,FC Dallas,29-139,1993,13.5,765,902,84.8,17660,5514,190,201,94.5,390,423,92.2,175,260,67.3,0,0.2,-0.2,1,45,2,0,45,Matches,8e049cbd
236,Gastón Giménez,py PAR,MF,Chicago Fire,30-339,1991,14.8,633,760,83.3,13133,3321,248,287,86.4,254,282,90.1,122,168,72.6,2,0.9,1.1,16,57,6,0,59,Matches,ab66cc31
237,Francisco Ginella,uy URU,MF,Los Angeles FC,23-161,1999,3.9,175,206,85,3400,1029,72,80,90,68,78,87.2,30,40,75,0,0.1,-0.1,2,22,5,1,21,Matches,5a28a782
238,Justen Glad,us USA,DF,Real Salt Lake,25-123,1997,12.7,535,618,86.6,12396,4529,134,151,88.7,279,291,95.9,121,172,70.3,0,0.2,-0.2,1,38,1,0,22,Matches,5b768b0f
239,Jakob Glesnes,no NOR,DF,Philadelphia,28-098,1994,17,413,544,75.9,10590,4523,92,106,86.8,188,230,81.7,128,196,65.3,1,0.3,0.7,2,49,9,4,39,Matches,ac65aef3
240,Chris Gloster,us USA,DF,NYCFC,21-338,2000,5.3,261,333,78.4,5146,1715,112,125,89.6,106,137,77.4,42,64,65.6,1,1.4,-0.4,9,11,11,9,18,Matches,01cd3c12
241,Marcus Godinho,ca CAN,DF,Vancouver,25-003,1997,6.1,183,236,77.5,3369,1387,73,84,86.9,96,118,81.4,14,32,43.8,0,0.2,-0.2,5,14,7,1,29,Matches,27854bf6
242,Aníbal Godoy,pa PAN,MF,Nashville,32-141,1990,7.5,345,391,88.2,6697,1468,142,160,88.8,149,162,92,51,60,85,1,0.3,0.7,3,25,1,0,19,Matches,2d496ca3
243,Erik Godoy,ar ARG,DF,Vancouver,28-319,1993,4.3,187,208,89.9,4303,1804,45,50,90,102,109,93.6,39,47,83,0,0,0,0,21,0,0,13,Matches,e8b80334
244,Eulânio Ângelo Chipela Gomes,gw GNB,DF,FC Dallas,28-045,1994,6.7,286,361,79.2,4544,1565,150,169,88.8,106,132,80.3,22,38,57.9,2,1.2,0.8,7,12,5,2,19,Matches,d9b9b71a
245,Yeimar Gómez Andrade,co COL,DF,Seattle,30-001,1992,7.9,357,410,87.1,7663,2479,101,104,97.1,188,208,90.4,65,90,72.2,0,0,0,0,11,2,0,13,Matches,e43c8d72
246,Omar Gonzalez,us USA,DF,New England,33-263,1988,7,279,321,86.9,6104,1842,79,83,95.2,149,165,90.3,50,68,73.5,0,0,0,0,14,0,0,18,Matches,0d2fe665
247,Samuel Grandsir,fr FRA,FWMF,LA Galaxy,25-321,1996,8.3,252,340,74.1,4041,873,136,156,87.2,91,115,79.1,18,47,38.3,3,2.5,0.5,10,7,15,4,19,Matches,d2448564
248,Tayvon Gray,us USA,DF,NYCFC,19-316,2002,8.3,389,493,78.9,6742,2827,174,198,87.9,183,225,81.3,29,55,52.7,0,0.5,-0.5,5,31,10,2,48,Matches,c839e1b2
249,Gregore,br BRA,MF,Inter Miami,28-121,1994,14,600,699,85.8,12198,3415,234,266,88,261,292,89.4,100,124,80.6,0,0.5,-0.5,15,75,5,0,53,Matches,49815f34
250,Ján Greguš,sk SVK,MF,San Jose,31-153,1991,12.5,800,919,87.1,16711,3651,272,305,89.2,369,402,91.8,146,188,77.7,5,2.2,2.8,20,85,12,2,69,Matches,7d974435
251,Julian Gressel,de GER,DF,D.C. United,28-197,1993,13.3,493,771,63.9,10794,4445,158,200,79,230,299,76.9,100,236,42.4,3,2.7,0.3,34,38,21,8,65,Matches,acd47bc0
252,Sami Guediri,us USA,DF,D.C. United,24-317,1997,0.5,21,30,70,506,244,2,3,66.7,15,18,83.3,4,7,57.1,0,0,0,1,7,1,0,8,Matches,e3dc71a7
253,Brian Gutiérrez,us USA,FWMF,Chicago Fire,19-014,2003,7.7,203,273,74.4,3399,1061,115,142,81,60,77,77.9,21,37,56.8,2,1.5,0.5,12,20,10,2,31,Matches,d88f31db
254,Cristián Gutiérrez,cl CHI,DF,Vancouver,25-133,1997,6.8,299,376,79.5,5714,2477,128,135,94.8,126,147,85.7,41,82,50,1,0.8,0.2,8,32,11,2,39,Matches,6e56a4f2
255,Diego Gutierrez,us USA,FW,Portland Timbers,23-177,1999,0,3,3,100,37,4,2,2,100,1,1,100,0,0,,0,0,0,0,0,1,0,1,Matches,4903a306
256,Andrew Gutman,us USA,DF,Atlanta Utd,25-272,1996,11.1,397,506,78.5,7179,2350,193,219,88.1,139,170,81.8,54,96,56.3,0,0.4,-0.4,6,30,8,6,29,Matches,b7a23251
257,Brad Guzan,us USA,GK,Atlanta Utd,37-295,1984,6.8,199,251,79.3,5823,3429,25,27,92.6,89,93,95.7,85,130,65.4,0,0,0,0,1,0,0,0,Matches,d899e3bf
258,Justin Haak,us USA,MF,NYCFC,20-292,2001,0.7,26,29,89.7,428,88,13,14,92.9,11,12,91.7,2,3,66.7,0,0,0,0,3,0,0,1,Matches,c644e140
259,Luke Haakenson,us USA,MF,Nashville,24-294,1997,3.6,75,97,77.3,1142,273,40,46,87,23,27,85.2,7,14,50,2,0.7,1.3,4,6,2,2,4,Matches,77d28e45
260,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,26-287,1995,11.8,568,630,90.2,12573,3406,126,135,93.3,341,355,96.1,99,137,72.3,0,0.5,-0.5,3,32,2,0,29,Matches,582952f2
261,Nick Hagglund,us USA,DF,FC Cincinnati,29-290,1992,14.3,424,540,78.5,9069,4141,128,150,85.3,224,259,86.5,71,120,59.2,1,0.4,0.6,5,43,4,3,47,Matches,39632554
262,Marlon Hairston,us USA,DF,Columbus Crew,28-100,1994,0.8,28,36,77.8,396,166,15,17,88.2,10,13,76.9,1,4,25,0,0.1,-0.1,1,2,1,0,1,Matches,1d531c57
263,Siad Haji,so SOM,DFFW,San Jose,22-212,1999,0.2,10,11,90.9,206,90,3,4,75,6,6,100,1,1,100,0,0.1,-0.1,2,0,3,0,5,Matches,9212f1cb
264,Michael Halliday,us USA,MFDF,Orlando City,19-160,2003,0,2,2,100,44,0,0,0,,2,2,100,0,0,,0,0,0,0,0,0,0,0,Matches,6ad5f50e
265,Ahmed Hamdi,eg EGY,MFFW,CF Montréal,24-141,1998,3.6,131,158,82.9,1917,271,84,94,89.4,34,41,82.9,9,15,60,1,0.6,0.4,2,7,0,0,7,Matches,fc7c8d3d
