Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
30,Max Anchor,ca CAN,GK,Vancouver,17-345,2004,1,13,16,81.3,307,161,3,3,100,5,5,100,4,7,57.1,0,0,0,0,0,0,0,0,Matches,d6aa8848
31,Sebastian Anderson,us USA,DF,Colorado Rapids,19-327,2002,0.1,8,9,88.9,157,30,1,1,100,7,7,100,0,1,0,0,0,0,0,0,0,0,0,Matches,3a9911ce
32,José Andrés Martínez,ve VEN,MF,Philadelphia,27-328,1994,15.6,496,641,77.4,10197,3682,178,206,86.4,218,261,83.5,89,148,60.1,1,0.2,0.8,1,70,7,3,64,Matches,c8364e8e
33,Jalil Anibaba,us USA,DF,Columbus Crew,33-255,1988,0.9,42,55,76.4,968,431,8,8,100,25,29,86.2,9,18,50,0,0,0,0,2,1,0,5,Matches,e44593b0
34,Themi Antonoglou,ca CAN,DF,Toronto FC,21-029,2001,0.1,2,2,100,30,17,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches,b137ee51
35,Brian Anunga,cm CMR,MF,Nashville,25-325,1996,5.7,209,247,84.6,3884,751,90,102,88.2,81,88,92,33,48,68.8,0,0,0,0,10,1,1,5,Matches,17b28ec7
36,Cristian Arango,co COL,FW,Los Angeles FC,27-114,1995,11.8,157,238,66,2364,655,87,122,71.3,51,77,66.2,10,18,55.6,1,1.7,-0.7,9,9,11,3,18,Matches,fea9401e
37,César Araujo,uy URU,MF,Orlando City,21-090,2001,14.4,668,747,89.4,12515,3875,285,310,91.9,294,323,91,84,102,82.4,0,0.2,-0.2,6,62,2,0,59,Matches,3ed214ff
38,Julian Araujo,mx MEX,DF,LA Galaxy,20-322,2001,13.9,708,852,83.1,12718,4367,308,341,90.3,323,379,85.2,66,102,64.7,1,1.9,-0.9,23,51,23,8,62,Matches,8f4541c2
39,Luiz Araújo,br BRA,FW,Atlanta Utd,26-029,1996,8.5,246,346,71.1,4717,1326,107,132,81.1,97,125,77.6,35,70,50,2,1.9,0.1,17,21,18,4,31,Matches,fa18c72e
40,Daniel Armando Ríos,mx MEX,FW,Charlotte FC,27-129,1995,10.5,186,237,78.5,2677,411,112,136,82.4,50,65,76.9,12,15,80,0,0.9,-0.9,10,13,6,0,15,Matches,078b2c07
41,Adam Armour,us USA,MF,Charlotte FC,19-277,2002,0.9,31,40,77.5,499,141,13,16,81.3,15,18,83.3,1,3,33.3,0,0.3,-0.3,3,2,1,0,3,Matches,546c2c25
42,Xavier Arreaga,ec ECU,DF,Seattle,27-276,1994,12.1,546,605,90.2,12485,4020,123,131,93.9,307,324,94.8,112,142,78.9,0,0,0,1,17,1,0,24,Matches,7f2b7640
43,Kervin Arriaga,hn HON,MF,Minnesota Utd,24-177,1998,13,526,622,84.6,11040,3861,197,227,86.8,217,244,88.9,99,129,76.7,0,0.2,-0.2,6,67,5,1,66,Matches,4f8a9f70
44,Paul Arriola,us USA,FW,FC Dallas,27-146,1995,14.9,349,496,70.4,5693,1803,199,225,88.4,111,156,71.2,28,81,34.6,2,4.2,-2.2,31,30,31,6,55,Matches,1bb2acce
45,Artur,br BRA,MF,Columbus Crew,26-112,1996,12,527,603,87.4,10431,2081,214,232,92.2,212,238,89.1,91,114,79.8,0,0.5,-0.5,6,53,4,1,27,Matches,ea6803c7
46,Dairon Asprilla,co COL,FWMF,Portland Timbers,30-037,1992,9.5,238,313,76,3918,807,133,158,84.2,81,103,78.6,21,34,61.8,0,0.5,-0.5,5,6,6,2,17,Matches,218d336c
47,Isaac Atanga,gh GHA,FW,FC Cincinnati,21-337,2000,0.5,5,10,50,108,62,2,3,66.7,0,2,0,2,3,66.7,0,0.3,-0.3,1,1,0,0,2,Matches,ff0f2a53
48,Joshua Atencio,us USA,MF,Seattle,20-151,2002,1.7,95,114,83.3,1525,441,47,50,94,38,47,80.9,7,13,53.8,0,0.1,-0.1,2,8,0,0,4,Matches,1f084637
49,Roberto Avila,us USA,FWMF,Houston Dynamo,21-258,2000,1.7,21,22,95.5,216,40,14,14,100,4,5,80,0,0,,0,0,0,0,0,1,0,3,Matches,bb666b57
50,David Ayala,ar ARG,MF,Portland Timbers,19-340,2002,3,168,193,87,3656,763,49,57,86,76,82,92.7,39,47,83,0,0.3,-0.3,6,16,1,0,13,Matches,06dafc0e
51,Edison Azcona,do DOM,MF,Inter Miami,18-222,2003,0.2,2,3,66.7,47,0,0,0,,1,1,100,1,2,50,0,0,0,0,0,0,0,0,Matches,05f54837
52,Dominique Badji,sn SEN,FWDF,FC Cincinnati,29-258,1992,11.2,176,234,75.2,2696,674,95,113,84.1,66,83,79.5,9,22,40.9,2,1.1,0.9,8,10,7,3,13,Matches,758ac389
53,Zico Bailey,us USA,DFMF,FC Cincinnati,21-308,2000,0.9,28,35,80,434,185,14,19,73.7,14,15,93.3,0,1,0,0,0,0,0,0,1,0,2,Matches,aa9e1161
54,Corey Baird,us USA,FWMF,Houston Dynamo,26-152,1996,7.5,150,202,74.3,1990,573,101,122,82.8,41,54,75.9,4,13,30.8,1,1.7,-0.7,6,6,7,1,15,Matches,2d0d1442
