Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
621,Joseph Rosales,hn HON,MF,Minnesota Utd,21-238,2000,12,498,42,32.5,5.5,4,76,0,8,25,5,1.25,6,6,0,0.00,+0.09,5.8,9.4,-3.6,-0.65,-0.36,Matches,6a29d06b
622,Oriol Rosell,es ESP,MF,Sporting KC,29-360,1992,10,630,63,38.9,7.0,10,63,3,0,,1,0.70,5,12,-7,-1.00,-0.18,5.8,8.1,-2.3,-0.33,+0.47,Matches,2a17ef3e
623,Keegan Rosenberry,us USA,DF,Colorado Rapids,28-203,1993,16,1440,90,100.0,16.0,16,90,16,0,,0,1.19,17,21,-4,-0.25,,23.2,20.1,+3.1,+0.19,,Matches,f940c69e
624,Matheus Rossetto,br BRA,MF,Atlanta Utd,26-029,1996,13,909,70,63.1,10.1,11,80,6,2,17,0,1.38,15,20,-5,-0.50,-1.34,13.6,15.5,-2.0,-0.20,-0.86,Matches,daf8c775
625,Paul Rothrock,us USA,FW,Toronto FC,23-174,1999,2,34,17,2.2,0.4,0,,0,2,17,1,0.00,0,1,-1,-2.65,-2.23,0.2,0.8,-0.6,-1.51,-0.56,Matches,875e8269
626,Kelyn Rowe,us USA,DFMF,Seattle,30-212,1991,15,778,52,54.0,8.6,8,81,4,7,19,0,1.53,14,10,+4,+0.46,+0.33,10.4,13.3,-2.9,-0.34,-0.61,Matches,cf928adb
627,Ruan,br BRA,DF,Orlando City,27-034,1995,15,1272,85,83.1,14.1,15,85,8,0,,2,1.40,17,20,-3,-0.21,-0.21,16.4,20.0,-3.6,-0.25,+0.09,Matches,f2665f7c
628,Rubio Rubin,us USA,FW,Real Salt Lake,26-123,1996,10,338,34,22.1,3.8,2,70,0,8,25,2,1.70,5,3,+2,+0.53,+0.61,4.1,5.1,-1.0,-0.28,-0.41,Matches,9bad7100
629,Diego Rubio,cl CHI,FWMF,Colorado Rapids,29-048,1993,14,1124,80,78.1,12.5,13,84,7,1,38,0,1.29,15,14,+1,+0.08,+1.50,19.5,13.9,+5.7,+0.45,+1.19,Matches,3f082234
630,Raúl Ruidíaz,pe PER,FW,Seattle,31-342,1990,8,565,71,39.2,6.3,6,83,3,2,33,0,1.88,13,7,+6,+0.96,+1.06,10.4,9.0,+1.5,+0.23,+0.48,Matches,7a4296e1
631,Pablo Ruíz,ar ARG,MF,Real Salt Lake,23-194,1998,15,1301,87,85.0,14.5,15,87,11,0,,0,1.53,15,18,-3,-0.21,-1.78,18.3,19.6,-1.3,-0.09,-0.89,Matches,7368cd70
632,Sergio Ruiz,es ESP,MF,Charlotte FC,27-198,1994,14,432,31,26.7,4.8,4,71,0,10,15,1,1.21,5,3,+2,+0.42,+0.95,5.9,5.6,+0.3,+0.06,+0.25,Matches,1f423a54
633,Albert Rusnák,sk SVK,MF,Seattle,27-360,1994,15,1135,76,78.8,12.6,13,84,6,2,24,0,1.33,20,17,+3,+0.24,-0.35,18.7,18.4,+0.3,+0.03,+0.40,Matches,0adeafaa
634,Johnny Russell,sct SCO,FWMF,Sporting KC,32-085,1990,17,1489,88,91.9,16.5,17,88,11,0,,0,0.94,15,27,-12,-0.73,+2.02,14.7,24.3,-9.6,-0.58,+0.54,Matches,a30e1562
635,Jacen Russell-Rowe,ca CAN,FW,Columbus Crew,19-292,2002,3,101,34,7.0,1.1,1,65,0,2,18,1,1.67,2,1,+1,+0.89,+0.82,1.2,1.7,-0.5,-0.46,-0.66,Matches,b33c6ed5
636,Zach Ryan,us USA,FW,NY Red Bulls,23-169,1999,6,43,7,2.7,0.5,0,,0,6,7,9,1.29,2,3,-1,-2.09,-2.61,1.4,0.9,+0.6,+1.17,+0.93,Matches,74ba46bc
637,Ryan Sailor,us USA,DF,Inter Miami,23-217,1998,6,512,85,35.6,5.7,5,90,5,1,62,1,1.83,8,5,+3,+0.53,+1.59,8.2,7.2,+1.1,+0.19,+0.74,Matches,4924d9bb
638,Carlos Salcedo,mx MEX,DF,Toronto FC,28-276,1993,12,1063,89,69.5,11.8,12,89,9,0,,0,1.25,20,24,-4,-0.34,+0.43,13.1,23.4,-10.3,-0.87,+0.30,Matches,64c07ae1
639,Shea Salinas,us USA,FWDF,San Jose,36-008,1986,4,38,10,2.6,0.4,0,,0,4,10,3,1.00,0,1,-1,-2.37,-1.85,0.4,0.5,-0.1,-0.17,+0.42,Matches,4c10838d
640,Dániel Sallói,hu HUN,FWMF,Sporting KC,25-348,1996,13,1160,89,71.6,12.9,13,89,11,0,,0,1.15,13,23,-10,-0.78,+0.40,11.0,18.8,-7.8,-0.61,+0.06,Matches,6fcddf5f
641,Gaoussou Samaké,ci CIV,DF,D.C. United,24-240,1997,2,50,25,3.7,0.6,0,,0,2,25,4,0.00,0,4,-4,-7.20,-6.85,0.3,1.8,-1.5,-2.65,-2.56,Matches,ae760cf4
642,Ilie Sánchez,es ESP,MF,Los Angeles FC,31-223,1990,17,1474,87,96.3,16.4,16,89,15,1,51,0,2.12,34,16,+18,+1.10,+2.71,29.9,17.1,+12.8,+0.78,+2.31,Matches,72979f65
643,William Sands,us USA,DF,Columbus Crew,21-361,2000,4,134,34,9.3,1.5,0,,0,4,34,10,1.75,1,1,0,0.00,-0.14,0.7,1.9,-1.2,-0.79,-1.04,Matches,960a4473
644,Sergio Santos Gomes,br BRA,FW,Philadelphia,27-301,1994,11,608,55,39.7,6.8,8,68,1,3,22,0,1.82,12,3,+9,+1.33,+1.33,12.4,6.1,+6.3,+0.94,+0.83,Matches,a930b263
645,Koa Santos,us USA,MF,Charlotte FC,22-284,1999,1,56,56,3.5,0.6,1,56,0,0,,3,0.00,1,2,-1,-1.61,-1.38,0.7,0.3,+0.4,+0.57,+0.73,Matches,c09ddc5e
646,Pedro Santos,pt POR,DF,Columbus Crew,34-071,1988,15,1222,81,84.9,13.6,15,81,12,0,,0,1.33,18,16,+2,+0.15,+0.15,19.8,17.1,+2.7,+0.20,+0.30,Matches,789da0f2
647,C.J. Sapong,us USA,FW,Nashville,33-187,1988,17,1328,78,86.8,14.8,16,81,4,1,34,0,1.53,19,14,+5,+0.34,+1.23,19.6,14.9,+4.7,+0.32,+0.37,Matches,ef4e4c5d
648,Jefferson Savarino,ve VEN,MF,Real Salt Lake,25-233,1996,4,223,56,14.6,2.5,2,86,1,2,26,0,1.75,3,1,+2,+0.81,+0.88,3.6,1.7,+1.9,+0.77,+0.85,Matches,91721722
649,Rodrigo Schlegel,ar ARG,DF,Orlando City,25-090,1997,14,976,70,63.8,10.8,10,87,8,4,28,1,1.57,12,15,-3,-0.28,-0.28,11.0,15.8,-4.7,-0.44,-0.47,Matches,5bb02df4
650,Tate Schmitt,us USA,DF,Real Salt Lake,25-035,1997,13,798,61,52.2,8.9,9,87,8,4,4,3,1.69,11,13,-2,-0.23,-0.59,12.5,13.3,-0.9,-0.10,-0.29,Matches,fa21bbc8
651,Szabolcs Schön,hu HUN,MF,FC Dallas,21-278,2000,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches,d5ff481a
