Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
689,Carlos Terán,co COL,DF,Chicago Fire,21-281,2000,8,452,57,29.5,5.0,5,81,4,3,16,5,0.88,5,10,-5,-1.00,-0.83,8.8,7.7,+1.1,+0.22,+0.38,Matches,324509e2
690,Dylan Teves,us USA,FW,Seattle,22-049,2000,1,19,19,1.3,0.2,0,,0,1,19,5,3.00,1,0,+1,+4.74,+4.48,0.1,0.0,+0.1,+0.32,+0.38,Matches,f68ed3ba
691,Thiago,br BRA,FW,NYCFC,21-244,2000,15,667,44,46.3,7.4,7,72,2,8,20,1,1.87,16,3,+13,+1.75,+1.64,19.6,6.0,+13.6,+1.83,+1.98,Matches,6adb0b79
692,Andrew Thomas,ru RUS,GK,Seattle,23-304,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,1425ee30
693,Kosi Thompson,ca CAN,DFMF,Toronto FC,19-156,2003,15,1022,68,66.8,11.4,12,81,6,3,17,0,1.13,15,23,-8,-0.70,-0.70,12.4,23.4,-11.1,-0.97,-0.04,Matches,517bef8b
694,Tommy Thompson,us USA,DF,San Jose,26-321,1995,11,337,31,23.4,3.7,2,81,1,9,19,5,0.91,10,6,+4,+1.07,+2.13,7.8,5.3,+2.5,+0.67,+1.63,Matches,5f6c69d8
695,Anton Tinnerholm,se SWE,DF,NYCFC,31-126,1991,1,45,45,3.1,0.5,0,,0,1,45,1,0.00,1,1,0,0.00,-0.90,1.2,0.7,+0.5,+0.98,+0.22,Matches,0fe96099
696,John Tolkin,us USA,DF,NY Red Bulls,19-336,2002,16,1409,88,87.0,15.7,16,88,13,0,,0,1.75,24,13,+11,+0.70,+1.98,24.1,18.1,+5.9,+0.38,+0.92,Matches,5e88c524
697,Nouhou Tolo,cm CMR,DF,Seattle,25-009,1997,14,1113,80,77.3,12.4,12,88,11,2,30,2,1.43,18,16,+2,+0.16,-0.66,17.7,19.8,-2.0,-0.16,-0.47,Matches,0796512f
698,Facundo Torres,uy URU,FW,Orlando City,22-080,2000,16,1267,79,82.8,14.1,15,82,4,1,34,0,1.50,17,19,-2,-0.14,+0.20,16.4,17.7,-1.3,-0.09,+1.01,Matches,4de3b2c0
699,Jairo Torres,mx MEX,FWMF,Chicago Fire,21-362,2000,4,165,41,10.8,1.8,1,74,0,3,30,0,0.25,4,4,0,0.00,+0.46,2.9,2.5,+0.4,+0.23,+0.32,Matches,7ed56490
700,Joaquín Torres,ar ARG,MFFW,CF Montréal,25-155,1997,14,830,59,54.2,9.2,10,73,2,4,25,1,1.57,21,16,+5,+0.54,+0.80,14.1,10.4,+3.7,+0.40,+0.18,Matches,c82dcb70
701,Dantouma Toure,gn GUI,FW,Colorado Rapids,18-020,2004,1,2,2,0.1,0.0,0,,0,1,2,0,0.00,0,0,0,0.00,+0.25,0.0,0.2,-0.1,-5.46,-5.66,Matches,b5d2014f
702,Mason Toye,us USA,FWMF,CF Montréal,23-259,1998,2,75,38,4.9,0.8,1,62,0,1,13,1,3.00,2,1,+1,+1.20,+1.08,1.5,1.2,+0.3,+0.41,+0.10,Matches,0aa41f67
703,Wil Trapp,us USA,MF,Minnesota Utd,29-168,1993,14,1173,84,76.7,13.0,14,84,8,0,,0,1.43,17,14,+3,+0.23,+1.24,17.4,19.7,-2.3,-0.18,+0.99,Matches,9bf9391c
704,Daniel Trejo,us USA,FW,Los Angeles FC,24-064,1998,1,18,18,1.2,0.2,0,,0,1,18,2,1.00,1,0,+1,+5.00,+4.05,0.1,0.0,0.0,+0.15,-0.55,Matches,1312c534
705,Auston Trusty,us USA,DF,Colorado Rapids,23-324,1998,15,1349,90,93.7,15.0,15,90,14,0,,0,1.07,16,21,-5,-0.33,-1.32,21.5,19.6,+1.9,+0.13,-1.07,Matches,cddf767b
706,Niko Tsakiris,us USA,MF,San Jose,17-013,2005,2,43,22,3.0,0.5,0,,0,2,22,5,0.50,2,0,+2,+4.19,+4.89,2.2,0.9,+1.3,+2.72,+3.40,Matches,cb501677
707,Bill Tuiloma,nz NZL,DF,Portland Timbers,27-097,1995,16,1275,80,78.7,14.2,14,88,12,2,20,0,1.25,22,22,0,0.00,0.00,20.3,21.6,-1.4,-0.10,-0.08,Matches,bf547c54
708,Cole Turner,us USA,MF,Philadelphia,20-360,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,30ec7b37
709,Matt Turner,us USA,GK,New England,28-008,1994,5,450,90,29.4,5.0,5,90,5,0,,1,1.80,10,7,+3,+0.60,+0.77,7.9,4.9,+3.0,+0.59,+0.62,Matches,4a51ba65
710,Ema Twumasi,gh GHA,DF,FC Dallas,25-045,1997,16,964,60,63.0,10.7,11,80,4,5,17,1,1.56,16,15,+1,+0.09,-0.86,16.0,13.8,+2.1,+0.20,-0.37,Matches,9ca4b140
711,Marinos Tzionis,cy CYP,FWMF,Sporting KC,20-351,2001,15,473,32,29.2,5.3,2,83,1,13,24,1,0.67,4,9,-5,-0.95,-0.09,5.4,8.8,-3.4,-0.65,-0.04,Matches,b004076a
712,Mikael Uhre,dk DEN,FW,Philadelphia,27-275,1994,10,568,57,37.1,6.3,7,72,0,3,21,0,1.60,7,4,+3,+0.48,-0.09,9.5,5.8,+3.6,+0.58,+0.21,Matches,be84c466
713,Þorleifur Úlfarsson,is ISL,FWMF,Houston Dynamo,21-187,2000,17,565,33,36.9,6.3,5,70,1,12,18,0,1.24,9,7,+2,+0.32,+0.51,10.2,11.7,-1.4,-0.23,-0.13,Matches,7e1046fa
714,Victor Ulloa,us USA,MFDF,Inter Miami,30-120,1992,7,197,28,13.7,2.2,2,61,0,5,15,2,1.86,1,1,0,0.00,+0.58,3.3,3.1,+0.2,+0.10,+0.45,Matches,e7056f05
715,Maximiliano Urruti,ar ARG,FW,Austin FC,31-130,1991,16,1164,73,76.1,12.9,15,75,3,1,34,0,1.75,23,13,+10,+0.77,+0.28,19.3,18.1,+1.2,+0.09,+0.67,Matches,6c8fb474
716,Júnior Urso,br BRA,MFFW,Orlando City,33-114,1989,17,1251,74,81.8,13.9,14,81,7,3,41,0,1.47,20,17,+3,+0.22,+2.15,17.2,17.7,-0.5,-0.04,+1.26,Matches,b40424f1
717,Xavier Valdez,do DOM,GK,Houston Dynamo,18-274,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,1f184220
718,Jhojan Valencia,co COL,MF,Austin FC,25-340,1996,9,272,30,17.8,3.0,2,59,0,7,22,5,2.11,3,4,-1,-0.33,-1.26,4.8,5.3,-0.5,-0.17,-0.13,Matches,3fbe573e
719,Zarek Valentin,pr PUR,DF,Houston Dynamo,30-330,1991,2,130,65,8.5,1.4,1,85,0,1,45,9,0.50,0,1,-1,-0.69,-0.76,0.5,0.8,-0.3,-0.23,-0.09,Matches,f0d23e7b
720,Gustavo Vallecilla,ec ECU,DF,Colorado Rapids,23-035,1999,5,123,25,8.5,1.4,1,59,0,4,16,4,1.40,1,1,0,0.00,+0.27,1.7,1.9,-0.1,-0.10,-0.32,Matches,2ce88662
721,José Van Rankin,mx MEX,DF,Portland Timbers,29-049,1993,15,1238,83,76.4,13.8,15,83,7,0,,0,1.40,19,17,+2,+0.15,+0.62,17.8,19.4,-1.6,-0.12,-0.16,Matches,09ce2ebe
722,Kerwin Vargas,co COL,MFFW,Charlotte FC,20-181,2002,3,62,21,3.8,0.7,0,,0,3,21,2,1.00,1,2,-1,-1.45,-1.22,1.7,0.7,+0.9,+1.35,+1.54,Matches,758de7b4
723,Obed Vargas,us USA,MF,Seattle,16-331,2005,13,851,65,59.1,9.5,10,77,4,3,29,0,1.31,10,11,-1,-0.11,-1.02,12.0,14.9,-2.8,-0.30,-0.59,Matches,9cc1fde4
724,Indiana Vassilev,us USA,FWMF,Inter Miami,21-136,2001,7,339,48,23.5,3.8,4,66,0,3,25,0,1.57,4,4,0,0.00,+0.65,4.7,6.3,-1.5,-0.41,-0.15,Matches,04e195ee
725,Brandon Vazquez,us USA,FW,FC Cincinnati,23-261,1998,16,1332,83,87.1,14.8,15,87,10,1,24,0,1.50,24,26,-2,-0.14,+0.32,23.4,22.9,+0.6,+0.04,-0.46,Matches,c570cf22
726,Julian Vazquez,us USA,FW,Sporting KC,21-094,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,ff07b25e
727,Víctor Vázquez,es ESP,MFFW,LA Galaxy,35-163,1987,11,532,48,36.9,5.9,8,56,0,3,29,1,1.55,4,9,-5,-0.85,-1.44,10.5,6.0,+4.5,+0.77,+0.60,Matches,6c564d36
728,Carlos Vela,mx MEX,FWMF,Los Angeles FC,33-123,1989,16,1245,78,81.4,13.8,14,83,7,2,45,0,2.06,28,16,+12,+0.87,-0.71,23.5,14.5,+9.0,+0.65,-0.28,Matches,e0cd04e0
729,Alan Velasco,ar ARG,FW,FC Dallas,19-340,2002,12,865,72,56.5,9.6,10,81,2,2,26,0,1.83,16,10,+6,+0.62,+0.49,11.6,9.2,+2.4,+0.25,-0.20,Matches,16349210
730,Matías Vera,ar ARG,MF,Houston Dynamo,26-249,1995,14,1135,81,74.2,12.6,14,81,6,0,,0,1.29,16,15,+1,+0.08,+0.31,16.1,17.7,-1.6,-0.13,+0.09,Matches,fe529f25
731,Kenneth Vermeer,nl NED,GK,FC Cincinnati,36-173,1986,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches,22a94b80
732,Ranko Veselinović,rs SRB,DF,Vancouver,23-100,1999,16,1430,89,93.5,15.9,16,89,14,0,,1,1.25,15,25,-10,-0.63,-0.63,18.3,23.0,-4.7,-0.30,+0.72,Matches,366609b6
733,Jorge Villafaña,us USA,DFFW,LA Galaxy,32-289,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,32337fb2
734,Pedro Vite,ec ECU,MF,Vancouver,20-115,2002,10,311,31,20.3,3.5,3,53,1,7,22,5,0.80,8,9,-1,-0.29,+0.38,6.0,4.6,+1.3,+0.39,+0.92,Matches,9c146b36
735,Robert Voloder,ba BIH,DF,Sporting KC,21-054,2001,7,483,69,29.8,5.4,5,78,3,2,46,10,0.57,5,9,-4,-0.75,+0.20,4.8,6.9,-2.1,-0.39,+0.33,Matches,33d9d789
736,Justin Vom Steeg,us USA,GK,Portland Timbers,25-088,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,d9d14cad
737,Nikola Vujnović,me MNE,FW,Sporting KC,25-172,1997,9,334,37,20.6,3.7,4,69,2,5,12,2,0.78,2,9,-7,-1.89,-1.26,3.4,6.2,-2.7,-0.74,-0.15,Matches,128d62ba
738,Kai Wagner,de GER,DF,Philadelphia,25-137,1997,17,1530,90,100.0,17.0,17,90,17,0,,0,1.71,22,13,+9,+0.53,,26.4,18.9,+7.5,+0.44,,Matches,fdc715d9
739,Anton Walkes,eng ENG,DF,Charlotte FC,25-144,1997,7,411,59,25.4,4.6,5,81,4,2,3,6,1.43,4,6,-2,-0.44,-0.21,5.3,3.3,+2.0,+0.44,+0.77,Matches,8a062bba
740,Casey Walls,us USA,DF,San Jose,19-173,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,c5cbbec9
741,Rémi Walter,fr FRA,MF,Sporting KC,27-067,1995,18,1551,86,95.7,17.2,18,86,16,0,,0,0.89,15,31,-16,-0.93,-0.93,14.8,25.2,-10.4,-0.60,+0.43,Matches,0984c5d5
742,Victor Wanyama,ke KEN,MF,CF Montréal,31-007,1991,16,1384,87,90.5,15.4,16,87,13,0,,0,1.63,28,27,+1,+0.07,-1.17,20.6,17.9,+2.6,+0.17,-1.52,Matches,e0900238
743,Collen Warner,us USA,MF,Colorado Rapids,34-008,1988,6,237,40,16.5,2.6,2,71,1,4,24,10,1.33,1,4,-3,-1.14,-1.06,2.8,5.2,-2.4,-0.92,-1.33,Matches,75babbce
744,Taylor Washington,us USA,DFMF,Nashville,28-320,1993,8,401,50,26.2,4.5,4,84,3,4,17,9,1.75,3,4,-1,-0.22,-0.54,5.8,5.6,+0.2,+0.04,-0.30,Matches,480d3bcc
745,Joel Waterman,ca CAN,DF,CF Montréal,26-159,1996,15,1336,89,87.3,14.8,15,89,14,0,,1,1.73,29,27,+2,+0.13,-0.33,22.2,15.6,+6.6,+0.45,+1.02,Matches,47ddcc22
746,Quentin Westberg,us USA,GK,Toronto FC,36-068,1986,3,270,90,17.6,3.0,3,90,3,0,,13,2.00,5,5,0,0.00,+0.57,4.1,5.0,-0.9,-0.32,+0.78,Matches,5480ae05
747,Brian White,us USA,FW,Vancouver,26-149,1996,12,713,59,46.6,7.9,8,78,4,4,23,0,1.50,8,13,-5,-0.63,-0.08,10.4,10.8,-0.5,-0.06,+0.54,Matches,54c948de
748,Caleb Wiley,us USA,DFFW,Atlanta Utd,17-192,2004,9,465,52,32.3,5.2,5,80,2,4,17,3,1.11,6,7,-1,-0.19,-0.29,9.2,6.4,+2.8,+0.55,+0.63,Matches,64796fe0
749,Derrick Williams,ie IRL,DF,LA Galaxy,29-166,1993,13,997,77,69.2,11.1,11,87,9,2,19,2,1.62,15,12,+3,+0.27,+0.68,17.8,13.9,+3.9,+0.35,-0.11,Matches,c0a28fbd
750,Josh Williams,us USA,DF,Columbus Crew,34-075,1988,10,591,59,41.0,6.6,6,90,6,4,13,1,1.30,8,9,-1,-0.15,-0.47,7.4,9.9,-2.6,-0.39,-0.93,Matches,06098bfc
751,Thomas Williams,us USA,DF,Orlando City,17-321,2004,4,181,45,11.8,2.0,2,68,1,2,23,13,0.75,1,6,-5,-2.49,-2.62,0.4,5.3,-4.9,-2.45,-2.48,Matches,d46d1cdd
752,Eryk Williamson,us USA,MFFW,Portland Timbers,25-021,1997,11,505,46,31.2,5.6,6,60,0,5,29,2,1.18,12,6,+6,+1.07,+1.55,9.6,8.0,+1.7,+0.30,+0.55,Matches,e0364352
753,Joe Willis,us USA,GK,Nashville,33-326,1988,16,1440,90,94.1,16.0,16,90,16,0,,1,1.44,19,18,+1,+0.06,-1.94,21.0,17.5,+3.5,+0.22,-0.87,Matches,467f09c8
754,Danny Wilson,sct SCO,DF,Colorado Rapids,30-187,1991,11,945,86,65.6,10.5,11,86,10,0,,0,1.09,10,17,-7,-0.67,-1.21,14.8,14.7,+0.1,+0.01,-0.54,Matches,9cfe9254
755,Owen Wolff,us USA,FWMF,Austin FC,17-184,2004,10,486,49,31.8,5.4,6,71,0,4,15,2,2.00,5,7,-2,-0.37,-1.58,4.7,10.7,-6.0,-1.11,-1.53,Matches,9edc70d6
756,Tyler Wolff,us USA,FWMF,Atlanta Utd,19-139,2003,5,253,51,17.6,2.8,4,63,0,1,1,6,2.00,3,6,-3,-1.07,-1.29,2.9,4.5,-1.6,-0.56,-0.83,Matches,0985c282
757,Bobby Wood,us USA,FW,Real Salt Lake,29-229,1992,14,983,70,64.2,10.9,13,74,4,1,17,0,1.93,14,15,-1,-0.09,-0.42,14.3,15.6,-1.4,-0.13,-0.47,Matches,9853983f
758,Darren Yapi,us USA,FW,Colorado Rapids,17-225,2004,1,3,3,0.2,0.0,0,,0,1,3,6,3.00,0,0,0,0.00,+0.25,0.0,0.0,0.0,0.00,-0.19,Matches,63abd734
759,William Yarbrough,us USA,GK,Colorado Rapids,33-104,1989,16,1394,87,96.8,15.5,16,87,15,0,,0,1.19,17,18,-1,-0.06,+5.81,22.0,17.2,+4.8,+0.31,+3.73,Matches,ec646e88
760,Dru Yearwood,eng ENG,MF,NY Red Bulls,22-135,2000,16,969,61,59.8,10.8,10,82,7,6,26,1,1.44,14,15,-1,-0.09,-1.34,18.2,16.3,+1.9,+0.17,-0.21,Matches,2eb09121
761,Steffen Yeattes,ca CAN,MF,Toronto FC,22-179,2000,2,33,17,2.2,0.4,0,,0,2,17,0,0.00,0,1,-1,-2.73,-2.31,0.3,2.9,-2.6,-7.14,-6.31,Matches,bf89f7a7
762,Yaw Yeboah,gh GHA,FW,Columbus Crew,25-096,1997,13,727,56,50.5,8.1,10,68,0,3,17,0,1.23,8,9,-1,-0.12,-0.50,12.1,9.2,+2.9,+0.36,+0.42,Matches,36292031
763,DeAndre Yedlin,us USA,DF,Inter Miami,28-358,1993,16,1378,86,95.7,15.3,15,90,15,1,28,0,1.31,17,25,-8,-0.52,-0.52,18.2,22.5,-4.3,-0.28,+0.25,Matches,ae0a7ddf
764,Griffin Yow,us USA,MFFW,D.C. United,19-280,2002,7,271,39,20.1,3.0,3,66,0,4,18,6,1.29,3,3,0,0.00,+0.75,2.6,4.6,-1.9,-0.64,-0.57,Matches,ddd5cf39
765,Jackson Yueill,us USA,MFDF,San Jose,25-105,1997,14,1237,88,85.9,13.7,14,88,13,0,,2,1.00,23,31,-8,-0.58,-0.14,18.2,25.7,-7.4,-0.54,+0.27,Matches,7dce16bf
766,Luis Zamudio,us USA,GK,D.C. United,24-008,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,f28de463
767,Gyasi Zardes,us USA,FW,Colorado Rapids,30-303,1991,8,577,72,40.1,6.4,7,78,3,1,31,0,1.00,5,10,-5,-0.78,-0.88,8.6,10.1,-1.5,-0.24,-0.72,Matches,09ae7f92
768,Gyasi Zardes,us USA,FW,Columbus Crew,30-303,1991,7,206,29,14.3,2.3,1,58,0,6,25,0,1.14,5,4,+1,+0.44,+0.36,5.5,2.9,+2.6,+1.16,+1.17,Matches,09ae7f92
769,Eriq Zavaleta,sv SLV,DF,LA Galaxy,29-334,1992,1,60,60,4.2,0.7,1,60,0,0,,11,0.00,0,1,-1,-1.50,-1.63,0.1,0.9,-0.8,-1.23,-1.69,Matches,edbfbb3f
770,Sean Zawadzki,us USA,MF,Columbus Crew,22-072,2000,2,156,78,10.8,1.7,2,78,1,0,,2,2.00,2,1,+1,+0.58,+0.51,1.4,2.0,-0.6,-0.35,-0.57,Matches,380ee265
771,Zeca,br BRA,DF,Houston Dynamo,28-047,1994,12,771,64,50.4,8.6,8,88,5,4,18,4,0.92,10,10,0,0.00,0.00,12.2,14.5,-2.2,-0.26,-0.23,Matches,c816eea6
772,Gedion Zelalem,us USA,MF,NYCFC,25-157,1997,7,85,12,5.9,0.9,0,,0,7,12,9,2.29,2,2,0,0.00,-0.93,2.0,1.5,+0.5,+0.49,-0.30,Matches,b15ac68f
773,Lucas Zelarayán,am ARM,MFFW,Columbus Crew,30-012,1992,12,925,77,64.2,10.3,10,86,7,2,33,0,1.25,14,15,-1,-0.10,-0.62,16.1,15.0,+1.1,+0.11,-0.13,Matches,3ce30893
774,Adrian Zendejas,mx MEX,GK,Charlotte FC,26-306,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,d52cd2a0
775,Walker Zimmerman,us USA,DF,Nashville,29-044,1993,15,1217,81,79.5,13.5,13,90,13,2,24,0,1.67,20,15,+5,+0.37,+0.94,18.7,14.6,+4.2,+0.31,+0.20,Matches,220fa883
776,Rida Zouhir,ca CAN,MF,CF Montréal,18-221,2003,4,114,29,7.5,1.3,1,45,0,3,23,4,0.25,0,4,-4,-3.16,-3.60,1.2,1.4,-0.2,-0.19,-0.55,Matches,e1e65f24
777,Ethan Zubak,us USA,FW,Nashville,24-078,1998,6,109,18,7.1,1.2,1,90,1,5,4,9,2.17,0,3,-3,-2.48,-2.86,1.3,2.9,-1.6,-1.30,-1.69,Matches,9f39b6cf
778,Dario Župarić,ba BIH,DF,Portland Timbers,30-060,1992,15,936,62,57.8,10.4,10,88,8,5,10,1,1.13,19,18,+1,+0.10,+0.23,16.6,16.1,+0.5,+0.05,+0.30,Matches,c6f99e42
779,Graham Zusi,us USA,DF,Sporting KC,35-318,1986,13,1084,83,66.9,12.0,13,83,10,0,,0,0.85,10,19,-9,-0.75,+0.43,10.1,16.2,-6.1,-0.51,+0.35,Matches,9ba42447
780,Róbert Þorkelsson,is ISL,DFMF,CF Montréal,20-090,2002,5,74,15,4.8,0.8,0,,0,5,15,6,2.00,1,4,-3,-3.65,-4.02,1.7,1.0,+0.7,+0.87,+0.58,Matches,0eb8ad80
