ID,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG2,xA3,xG+xA,npxG4,npxG+xA5
129,Diego Chará,co COL,MF,Portland Timbers,36-087,1986,15,14,1268,14.1,0,1,0,0,0,6,0,0,0.07,0.07,0,0.07,0,0,1.2,1.2,0,0.08,0.08,0,0.08
130,Yimmi Chará,co COL,MFFW,Portland Timbers,31-090,1991,18,18,1561,17.3,4,3,4,0,0,1,0,0.23,0.17,0.4,0.23,0.4,4.1,4.1,2.4,6.5,0.24,0.14,0.37,0.24,0.37
131,Mathieu Choiniere,ca CAN,DFMF,CF Montréal,23-144,1999,10,7,593,6.6,2,0,2,0,0,0,0,0.3,0,0.3,0.3,0.3,0.4,0.4,0.6,1,0.06,0.09,0.15,0.06,0.15
132,Léo Chú,br BRA,FWMF,Seattle,22-086,2000,11,5,465,5.2,0,1,0,0,0,0,0,0,0.19,0.19,0,0.19,1.6,1.6,0.5,2.1,0.31,0.09,0.4,0.31,0.4
133,Kadin Chung,ca CAN,DF,Toronto FC,23-299,1998,8,5,450,5,0,1,0,0,0,1,0,0,0.2,0.2,0,0.2,0,0,0.1,0.2,0.01,0.02,0.03,0.01,0.03
134,José Cifuentes,ec ECU,MF,Los Angeles FC,23-111,1999,17,13,1167,13,3,4,3,0,0,6,0,0.23,0.31,0.54,0.23,0.54,2.8,2.8,2.7,5.5,0.22,0.21,0.43,0.22,0.43
135,Ronaldo Cisneros,mx MEX,FW,Atlanta Utd,25-174,1997,10,9,766,8.5,4,0,4,0,0,0,0,0.47,0,0.47,0.47,0.47,3.7,3.7,0.1,3.8,0.43,0.02,0.45,0.43,0.45
136,Abdoulaye Cissoko,fr FRA,DF,Seattle,22-186,1999,8,3,281,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
137,Caden Clark,us USA,MFFW,NY Red Bulls,19-035,2003,6,0,141,1.6,0,1,0,0,0,1,0,0,0.64,0.64,0,0.64,0.2,0.2,0.9,1,0.11,0.55,0.66,0.11,0.66
138,Steve Clark,us USA,GK,Houston Dynamo,36-078,1986,16,16,1440,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Stefan Cleveland,us USA,GK,Seattle,28-037,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Jackson Conway,us USA,FWMF,Atlanta Utd,20-210,2001,3,0,36,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0,0.6,1.38,0.05,1.43,1.38,1.43
141,Gabriele Corbo,it ITA,DF,CF Montréal,22-171,2000,4,4,341,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04
142,Sergio Córdova,ve VEN,FW,Real Salt Lake,24-326,1997,16,12,1096,12.2,3,1,3,0,0,1,0,0.25,0.08,0.33,0.25,0.33,5.1,5.1,1.6,6.7,0.42,0.13,0.55,0.42,0.55
143,Carlos Coronel,br BRA,GK,NY Red Bulls,25-184,1996,16,16,1440,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Guzmán Corujo,uy URU,DF,Charlotte FC,25-333,1996,17,17,1530,17,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,1.4,1.4,0.2,1.6,0.08,0.01,0.09,0.08,0.09
145,Douglas Costa,br BRA,MFFW,LA Galaxy,31-290,1990,13,9,754,8.4,2,0,2,0,0,3,1,0.24,0,0.24,0.24,0.24,0.9,0.9,2,2.9,0.11,0.24,0.35,0.11,0.35
146,Séga Coulibaly,fr FRA,DF,LA Galaxy,26-022,1996,11,10,878,9.8,1,0,1,0,0,5,0,0.1,0,0.1,0.1,0.1,0.7,0.7,0,0.7,0.07,0,0.07,0.07,0.07
147,Cade Cowell,us USA,FWMF,San Jose,18-260,2003,14,10,892,9.9,1,3,1,0,0,2,0,0.1,0.3,0.4,0.1,0.4,1.2,1.2,1.1,2.3,0.12,0.11,0.23,0.12,0.23
148,Maxime Crépeau,ca CAN,GK,Los Angeles FC,28-051,1994,16,16,1440,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Daniel Crisostomo,us USA,MF,Los Angeles FC,25-166,1997,2,0,30,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Cody Cropper,us USA,GK,Vancouver,29-135,1993,8,7,651,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Allan Cruz,cr CRC,MF,FC Cincinnati,26-127,1996,6,1,148,1.6,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.08,0.06,0.15,0.08,0.15
152,Adrián Cubas,py PAR,MF,Vancouver,26-040,1996,3,2,181,2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.07,0.11,0.04,0.11
153,Rafael Czichos,de GER,DF,Chicago Fire,32-048,1990,12,12,1072,11.9,0,0,0,0,0,3,1,0,0,0,0,0,1.5,1.5,0.6,2.1,0.13,0.05,0.18,0.13,0.18
154,Cristián Dajome,co COL,DFMF,Vancouver,28-179,1994,15,12,1097,12.2,1,2,1,0,1,2,0,0.08,0.16,0.25,0.08,0.25,2.2,1.4,1,2.4,0.18,0.08,0.26,0.11,0.2
155,Abu Danladi,gh GHA,FWMF,Minnesota Utd,26-256,1995,12,4,413,4.6,1,0,1,0,0,0,0,0.22,0,0.22,0.22,0.22,0.6,0.6,1,1.7,0.14,0.23,0.37,0.14,0.37
156,Bode Davis,us USA,MF,Real Salt Lake,20-129,2002,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.48,0.48,0,0.48
157,Jake Davis,us USA,MF,Sporting KC,20-179,2002,3,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
158,Sean Davis,us USA,MF,Nashville,29-143,1993,17,16,1439,16,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.01,0.02,0.01,0.02
159,Miloš Degenek,au AUS,DF,Columbus Crew,28-064,1994,13,12,1046,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05
160,Alex DeJohn,us USA,DF,Atlanta Utd,31-052,1991,4,3,326,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.1,0.01,0.11,0.1,0.11
161,A.J. DeLaGarza,gu GUM,DF,New England,34-239,1987,3,3,245,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
162,Marky Delgado,us USA,MF,LA Galaxy,27-046,1995,15,15,1290,14.3,2,0,1,1,1,3,1,0.14,0,0.14,0.07,0.07,0.9,0.2,1.6,1.7,0.06,0.11,0.17,0.01,0.12
163,Nick DePuy,us USA,DF,LA Galaxy,27-229,1994,12,10,911,10.1,0,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,0.1,0.8,0.07,0.01,0.08,0.07,0.08
164,Silvester van der Water,nl NED,FWMF,Orlando City,25-274,1996,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1
165,Joey DeZart,us USA,DF,Orlando City,24-022,1998,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Luis Díaz,cr CRC,FWMF,Columbus Crew,23-207,1998,10,2,309,3.4,1,0,1,0,0,2,0,0.29,0,0.29,0.29,0.29,0.8,0.8,0,0.9,0.25,0.01,0.26,0.25,0.26
167,Bakaye Dibassy,ml MLI,DF,Minnesota Utd,32-324,1989,16,16,1440,16,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,0.4,0.4,0.1,0.5,0.03,0.01,0.03,0.03,0.03
168,Clément Diop,sn SEN,GK,Inter Miami,28-262,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Sofiane Djeffal,fr FRA,MF,D.C. United,23-083,1999,13,10,840,9.3,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.03,0.02,0.06,0.03,0.06
170,Moussa Djitte,sn SEN,FW,Austin FC,22-270,1999,8,1,176,2,1,1,1,0,0,0,0,0.51,0.51,1.02,0.51,1.02,1.3,1.3,0,1.3,0.67,0,0.67,0.67,0.67
171,Ethan Dobbelaere,us USA,DF,Seattle,19-229,2002,3,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1
172,Cecilio Domínguez,py PAR,FWMF,Austin FC,27-324,1994,4,4,280,3.1,2,0,2,0,0,1,0,0.64,0,0.64,0.64,0.64,1.5,1.5,0.1,1.7,0.5,0.03,0.53,0.5,0.53
173,Christopher Donovan,us USA,MFFW,Philadelphia,21-327,2000,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.25,0.54,0.79,0.25,0.79
174,Griffin Dorsey,us USA,DF,Houston Dynamo,23-118,1999,12,9,693,7.7,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03
175,Hassani Dotson,us USA,DFMF,Minnesota Utd,24-329,1997,7,7,630,7,1,2,1,0,0,1,0,0.14,0.29,0.43,0.14,0.43,0.8,0.8,0.5,1.3,0.12,0.07,0.19,0.12,0.19
176,Sebastián Driussi,ar ARG,MFFW,Austin FC,26-142,1996,16,16,1427,15.9,9,3,7,2,2,4,0,0.57,0.19,0.76,0.44,0.63,6.6,5.2,3.3,8.5,0.41,0.21,0.62,0.33,0.53
177,Bryce Duke,us USA,MF,Inter Miami,21-123,2001,11,8,662,7.4,1,2,1,0,0,2,0,0.14,0.27,0.41,0.14,0.41,1.9,1.9,1.4,3.3,0.25,0.19,0.45,0.25,0.45
178,Cameron Duke,us USA,MFDF,Sporting KC,21-138,2001,16,9,898,10,0,2,0,0,0,3,0,0,0.2,0.2,0,0.2,1,1,1.5,2.5,0.1,0.15,0.25,0.1,0.25
179,Jhon Durán,co COL,FW,Chicago Fire,18-200,2003,11,3,329,3.7,1,1,1,0,0,4,1,0.27,0.27,0.55,0.27,0.55,1.2,1.2,0.6,1.8,0.33,0.17,0.5,0.33,0.5
180,Chris Durkin,us USA,MF,D.C. United,22-143,2000,10,7,707,7.9,0,0,0,0,0,4,1,0,0,0,0,0,0.3,0.3,0.6,0.9,0.04,0.07,0.11,0.04,0.11
181,Dom Dwyer,us USA,FWMF,Atlanta Utd,31-336,1990,10,1,234,2.6,3,0,3,0,0,2,1,1.15,0,1.15,1.15,1.15,2.6,2.6,0,2.6,1,0,1,1,1
182,Jeremy Ebobisse,us USA,FW,San Jose,25-137,1997,16,16,1353,15,9,1,8,1,1,0,0,0.6,0.07,0.67,0.53,0.6,6.9,6.2,1.4,7.5,0.46,0.09,0.55,0.41,0.5
183,Daniel Edelman,us USA,MF,NY Red Bulls,19-064,2003,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Javier Eduardo López,mx MEX,MFFW,San Jose,27-287,1994,4,3,234,2.6,1,0,1,0,0,0,0,0.38,0,0.38,0.38,0.38,0.1,0.1,0.1,0.3,0.06,0.06,0.11,0.06,0.11
185,Earl Edwards Jr.,us USA,GK,New England,30-158,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Raheem Edwards,ca CAN,DF,LA Galaxy,26-351,1995,15,15,1286,14.3,0,3,0,0,0,0,0,0,0.21,0.21,0,0.21,0.8,0.8,1.3,2.2,0.06,0.09,0.15,0.06,0.15
187,Tom Edwards,eng ENG,DF,NY Red Bulls,23-160,1999,16,15,1339,14.9,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,0.9,1.3,0.03,0.06,0.09,0.03,0.09
188,Jack Elliott,eng ENG,DF,Philadelphia,26-310,1995,17,17,1520,16.9,0,0,0,0,0,1,0,0,0,0,0,0,1.3,1.3,0,1.4,0.08,0,0.08,0.08,0.08
189,Kalil ElMedkhar,us USA,FWMF,FC Dallas,22-317,1999,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Franco Escobar,ar ARG,DF,Los Angeles FC,27-130,1995,7,5,382,4.2,1,0,1,0,0,0,0,0.24,0,0.24,0.24,0.24,0.5,0.5,0.5,0.9,0.11,0.11,0.22,0.11,0.22
191,Cristian Espinoza,ar ARG,FWMF,San Jose,27-089,1995,16,16,1356,15.1,4,5,2,2,2,3,0,0.27,0.33,0.6,0.13,0.46,3.5,2,4.2,6.2,0.23,0.28,0.51,0.13,0.41
192,Jhon Espinoza,ec ECU,DFFW,Chicago Fire,23-127,1999,12,2,290,3.2,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.3,0.6,0.08,0.1,0.18,0.08,0.18
193,Roger Espinoza,hn HON,MF,Sporting KC,35-249,1986,17,14,1152,12.8,1,0,1,0,0,7,0,0.08,0,0.08,0.08,0.08,1.5,1.5,0.3,1.7,0.11,0.02,0.13,0.11,0.13
194,Lucas Esteves,br BRA,DF,Colorado Rapids,22-007,2000,13,10,931,10.3,1,2,1,0,0,3,1,0.1,0.19,0.29,0.1,0.29,0.9,0.9,1.3,2.2,0.09,0.12,0.21,0.09,0.21
195,Michael Estrada,ec ECU,FW,D.C. United,26-085,1996,12,7,570,6.3,4,2,3,1,1,1,0,0.63,0.32,0.95,0.47,0.79,2.4,1.6,1.5,3.2,0.38,0.24,0.62,0.26,0.5
196,Derrick Etienne,ht HAI,FWDF,Columbus Crew,25-218,1996,15,12,1063,11.8,3,5,3,0,0,2,0,0.25,0.42,0.68,0.25,0.68,3.8,3.8,2.9,6.7,0.32,0.25,0.56,0.32,0.56
197,Diego Fagúndez,uy URU,FWMF,Austin FC,27-137,1995,16,15,1247,13.9,3,7,3,0,0,2,0,0.22,0.51,0.72,0.22,0.72,2.4,2.4,2.6,5,0.17,0.18,0.36,0.17,0.36
198,Mamadou Fall,sn SEN,DF,Los Angeles FC,19-222,2002,13,12,1091,12.1,1,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,1.7,1.7,0.1,1.8,0.14,0.01,0.15,0.14,0.15
199,Marco Farfan,us USA,DF,FC Dallas,23-231,1998,17,17,1481,16.5,0,2,0,0,0,4,0,0,0.12,0.12,0,0.12,0.3,0.3,1.7,2,0.02,0.1,0.12,0.02,0.12
200,Andrew Farrell,us USA,DF,New England,30-090,1992,16,16,1416,15.7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.1,0,0,0.01,0,0.01
201,Mohamed Farsi,ca CAN,FWMF,Columbus Crew,22-197,1999,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Felipe,br BRA,MFFW,Austin FC,31-274,1990,12,1,265,2.9,0,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0,0.6,0.19,0.01,0.19,0.19,0.19
203,Thiago Fernandes,br BRA,FWMF,Houston Dynamo,21-110,2001,3,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Omir Fernandez,us USA,MFFW,NY Red Bulls,23-143,1999,17,15,1000,11.1,2,3,2,0,0,1,0,0.18,0.27,0.45,0.18,0.45,2.2,2.2,3,5.2,0.2,0.27,0.47,0.2,0.47
205,Jesus Ferreira,us USA,FWMF,FC Dallas,21-189,2000,17,15,1374,15.3,10,4,10,0,0,2,0,0.66,0.26,0.92,0.66,0.92,7,7,2.4,9.4,0.46,0.16,0.62,0.46,0.62
206,Sebastián Ferreira,py PAR,FW,Houston Dynamo,24-138,1998,15,15,1192,13.2,6,3,6,0,0,1,0,0.45,0.23,0.68,0.45,0.68,3.6,3.6,2.2,5.8,0.27,0.16,0.43,0.27,0.43
207,Stuart Findlay,sct SCO,DF,Philadelphia,26-290,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
208,Ethan Finlay,us USA,FW,Austin FC,31-329,1990,16,7,686,7.6,2,1,2,0,0,0,0,0.26,0.13,0.39,0.26,0.39,1.1,1.1,0.7,1.8,0.14,0.09,0.23,0.14,0.23
209,Oniel Fisher,jm JAM,DF,Minnesota Utd,30-221,1991,7,6,555,6.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02
210,Leon Flach,us USA,MF,Philadelphia,21-123,2001,17,17,1387,15.4,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.7,0.7,0.4,1.1,0.05,0.03,0.07,0.05,0.07
211,Ashley Fletcher,eng ENG,FW,NY Red Bulls,26-272,1995,7,3,249,2.8,0,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.8,1.6,0.29,0.29,0.57,0.29,0.57
212,Edison Flores,pe PER,MFFW,D.C. United,28-048,1994,12,11,828,9.2,1,0,1,0,0,1,0,0.11,0,0.11,0.11,0.11,1.5,1.5,0.8,2.3,0.16,0.09,0.24,0.16,0.24
213,George Fochive,us USA,MF,Portland Timbers,30-099,1992,1,0,30,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Nathan Fogaça,br BRA,FW,Portland Timbers,23-022,1999,6,4,376,4.2,2,0,2,0,0,1,0,0.48,0,0.48,0.48,0.48,1.9,1.9,0.1,2.1,0.46,0.03,0.5,0.46,0.5
215,Andreu Fontàs,es ESP,DF,Sporting KC,32-229,1989,13,12,1087,12.1,0,0,0,0,0,3,1,0,0,0,0,0,0.4,0.4,0.2,0.6,0.04,0.01,0.05,0.04,0.05
216,Kortne Ford,us USA,DF,Sporting KC,26-156,1996,12,9,792,8.8,0,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
217,Taxiarchis Fountas,gr GRE,FWMF,D.C. United,26-300,1995,9,7,649,7.2,6,1,6,0,0,0,0,0.83,0.14,0.97,0.83,0.97,4,4,1.3,5.3,0.56,0.18,0.74,0.56,0.74
218,Franco Fragapane,ar ARG,FWMF,Minnesota Utd,29-145,1993,16,12,942,10.5,1,1,1,0,0,3,0,0.1,0.1,0.19,0.1,0.19,2.7,2.7,1.8,4.5,0.26,0.17,0.43,0.26,0.43
219,Alan Franco,ar ARG,DF,Atlanta Utd,25-263,1996,12,12,1004,11.2,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,0.3,0.3,0.3,0.5,0.03,0.02,0.05,0.03,0.05
220,Alan Franco,ec ECU,MF,Charlotte FC,23-314,1998,10,9,782,8.7,0,1,0,0,0,2,0,0,0.12,0.12,0,0.12,0.7,0.7,0.5,1.1,0.08,0.05,0.13,0.08,0.13
221,Kobe Franklin,ca CAN,DF,Toronto FC,19-052,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Stefan Frei,ch SUI,GK,Seattle,36-072,1986,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Christian Fuchs,at AUT,DF,Charlotte FC,36-085,1986,14,12,1049,11.7,1,0,0,1,1,2,0,0.09,0,0.09,0,0,1.5,0.7,0,0.8,0.13,0,0.13,0.06,0.07
224,Ruben Gabrielsen,no NOR,DF,Austin FC,30-113,1992,16,14,1252,13.9,2,0,2,0,0,2,0,0.14,0,0.14,0.14,0.14,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06
225,Ray Gaddis,us USA,DF,FC Cincinnati,32-169,1990,10,7,641,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.01,0.07,0.08,0.01,0.08
226,McKinze Gaines,us USA,MFFW,Charlotte FC,24-121,1998,12,6,469,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,1.1,2,0.17,0.22,0.39,0.17,0.39
227,Jon Gallagher,ie IRL,DF,Austin FC,26-128,1996,15,7,666,7.4,0,1,0,0,0,2,0,0,0.14,0.14,0,0.14,0.1,0.1,0.4,0.4,0.01,0.05,0.06,0.01,0.06
228,Pedro Gallese,pe PER,GK,Orlando City,32-128,1990,16,16,1440,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Christopher Garcia,us USA,MFFW,Real Salt Lake,19-169,2003,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Chase Gasper,us USA,DF,LA Galaxy,26-157,1996,5,1,174,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Ryan Gauld,sct SCO,MF,Vancouver,26-197,1995,12,10,865,9.6,2,0,0,2,2,0,0,0.21,0,0.21,0,0,3.4,1.9,0.9,2.9,0.36,0.1,0.46,0.2,0.3
232,Dániel Gazdag,hu HUN,MF,Philadelphia,26-121,1996,17,17,1488,16.5,7,2,6,1,1,3,0,0.42,0.12,0.54,0.36,0.48,7.9,7.1,1.9,9,0.48,0.12,0.59,0.43,0.55
233,Kieran Gibbs,eng ENG,DF,Inter Miami,32-278,1989,5,3,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.17,0.06,0.23,0.17,0.23
234,Carles Gil,es ESP,MF,New England,29-221,1992,17,16,1471,16.3,4,6,1,3,3,1,0,0.24,0.37,0.61,0.06,0.43,4,1.8,4.7,6.4,0.25,0.28,0.53,0.11,0.39
235,José Antonio Martínez Gil,es ESP,DF,FC Dallas,29-139,1993,14,14,1214,13.5,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.2,0.4,0.02,0.01,0.03,0.02,0.03
236,Gastón Giménez,py PAR,MF,Chicago Fire,30-339,1991,16,15,1332,14.8,0,2,0,0,0,4,0,0,0.14,0.14,0,0.14,1.1,1.1,0.9,2,0.07,0.06,0.13,0.07,0.13
237,Francisco Ginella,uy URU,MF,Los Angeles FC,23-161,1999,13,4,347,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04
238,Justen Glad,us USA,DF,Real Salt Lake,25-123,1997,13,13,1142,12.7,3,0,3,0,0,2,0,0.24,0,0.24,0.24,0.24,1.7,1.7,0.2,1.9,0.13,0.02,0.15,0.13,0.15
239,Jakob Glesnes,no NOR,DF,Philadelphia,28-098,1994,17,17,1530,17,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.2,0.2,0.3,0.4,0.01,0.02,0.03,0.01,0.03
240,Chris Gloster,us USA,DF,NYCFC,21-338,2000,10,6,475,5.3,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,0.3,0.3,1.4,1.7,0.05,0.26,0.31,0.05,0.31
241,Marcus Godinho,ca CAN,DF,Vancouver,25-003,1997,11,7,553,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.03,0.03,0.05,0.03,0.05
242,Aníbal Godoy,pa PAN,MF,Nashville,32-141,1990,12,8,679,7.5,1,1,1,0,0,4,0,0.13,0.13,0.27,0.13,0.27,0.6,0.6,0.3,0.9,0.08,0.04,0.12,0.08,0.12
243,Erik Godoy,ar ARG,DF,Vancouver,28-319,1993,5,4,391,4.3,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03
244,Eulânio Ângelo Chipela Gomes,gw GNB,DF,FC Dallas,28-045,1994,13,6,600,6.7,0,2,0,0,0,1,0,0,0.3,0.3,0,0.3,0.5,0.5,1.2,1.7,0.08,0.18,0.26,0.08,0.26
245,Yeimar Gómez Andrade,co COL,DF,Seattle,30-001,1992,10,8,711,7.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
246,Omar Gonzalez,us USA,DF,New England,33-263,1988,10,7,627,7,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03
247,Samuel Grandsir,fr FRA,FWMF,LA Galaxy,25-321,1996,16,9,750,8.3,0,3,0,0,0,1,0,0,0.36,0.36,0,0.36,2.9,2.9,2.5,5.4,0.35,0.3,0.65,0.35,0.65
248,Tayvon Gray,us USA,DF,NYCFC,19-316,2002,11,9,743,8.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.02,0.06,0.07,0.02,0.07
249,Gregore,br BRA,MF,Inter Miami,28-121,1994,14,14,1260,14,0,0,0,0,0,8,0,0,0,0,0,0,0.2,0.2,0.5,0.8,0.02,0.04,0.05,0.02,0.05
250,Ján Greguš,sk SVK,MF,San Jose,31-153,1991,15,12,1127,12.5,0,5,0,0,0,0,0,0,0.4,0.4,0,0.4,0.5,0.5,2.2,2.7,0.04,0.17,0.22,0.04,0.22
251,Julian Gressel,de GER,DF,D.C. United,28-197,1993,15,14,1201,13.3,0,3,0,0,0,2,0,0,0.22,0.22,0,0.22,2.3,2.3,2.7,5,0.17,0.2,0.38,0.17,0.38
252,Sami Guediri,us USA,DF,D.C. United,24-317,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05
253,Brian Gutiérrez,us USA,FWMF,Chicago Fire,19-014,2003,16,8,693,7.7,0,2,0,0,0,2,1,0,0.26,0.26,0,0.26,0.9,0.9,1.5,2.3,0.11,0.19,0.3,0.11,0.3
254,Cristián Gutiérrez,cl CHI,DF,Vancouver,25-133,1997,11,6,616,6.8,0,1,0,0,0,1,0,0,0.15,0.15,0,0.15,0.3,0.3,0.8,1.1,0.04,0.12,0.16,0.04,0.16
255,Diego Gutierrez,us USA,FW,Portland Timbers,23-177,1999,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Andrew Gutman,us USA,DF,Atlanta Utd,25-272,1996,12,12,996,11.1,0,0,0,0,0,3,0,0,0,0,0,0,1.6,1.6,0.4,2,0.14,0.04,0.18,0.14,0.18
257,Brad Guzan,us USA,GK,Atlanta Utd,37-295,1984,7,7,612,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Justin Haak,us USA,MF,NYCFC,20-292,2001,1,0,67,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Luke Haakenson,us USA,MF,Nashville,24-294,1997,10,4,326,3.6,0,2,0,0,0,3,0,0,0.55,0.55,0,0.55,0.8,0.8,0.7,1.6,0.23,0.2,0.43,0.23,0.43
260,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,26-287,1995,13,12,1062,11.8,1,0,1,0,0,9,1,0.08,0,0.08,0.08,0.08,0.6,0.6,0.5,1.2,0.05,0.05,0.1,0.05,0.1
261,Nick Hagglund,us USA,DF,FC Cincinnati,29-290,1992,15,15,1289,14.3,0,1,0,0,0,3,1,0,0.07,0.07,0,0.07,0.9,0.9,0.4,1.3,0.06,0.03,0.09,0.06,0.09
262,Marlon Hairston,us USA,DF,Columbus Crew,28-100,1994,1,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
