Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
154,Cristián Dajome,co COL,DFMF,Vancouver,28-180,1994,12.2,2,0,0,25,25,3,31,16,18,0,1,0,51,8,18,30.8,Matches,a065e877
155,Abu Danladi,gh GHA,FWMF,Minnesota Utd,26-257,1995,4.6,0,0,0,8,4,0,13,8,9,0,0,0,34,2,6,25.0,Matches,507383d1
156,Bode Davis,us USA,MF,Real Salt Lake,20-130,2002,0.3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches,891f8b82
157,Jake Davis,us USA,MF,Sporting KC,20-180,2002,0.2,0,0,0,3,0,0,0,0,0,,,0,,,,,Matches,79d3a503
158,Sean Davis,us USA,MF,Nashville,29-144,1993,16.0,2,0,0,14,14,1,5,41,33,0,0,0,132,19,5,79.2,Matches,cb75cac9
159,Miloš Degenek,au AUS,DF,Columbus Crew,28-065,1994,11.6,0,0,0,9,6,0,2,29,7,0,1,0,132,51,20,71.8,Matches,c8e65157
160,Alex DeJohn,us USA,DF,Atlanta Utd,31-053,1991,4.6,0,0,0,6,0,0,0,11,4,0,0,0,47,24,6,80.0,Matches,2a6c024c
161,A.J. DeLaGarza,gu GUM,DF,New England,34-240,1987,2.7,0,0,0,4,2,0,4,2,5,0,0,0,22,1,1,50.0,Matches,171b3c37
162,Marky Delgado,us USA,MF,LA Galaxy,27-047,1995,14.3,3,1,1,16,22,0,6,45,16,0,0,0,166,11,7,61.1,Matches,7f6a25b7
163,Nick DePuy,us USA,DF,LA Galaxy,27-230,1994,10.1,4,0,0,14,2,1,0,14,7,0,0,0,91,29,13,69.0,Matches,ba7b4e67
164,Silvester van der Water,nl NED,FWMF,Orlando City,25-275,1996,0.5,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,,Matches,5d83500d
165,Joey DeZart,us USA,DF,Orlando City,24-023,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,9d7142a6
166,Luis Díaz,cr CRC,FWMF,Columbus Crew,23-208,1998,3.4,2,0,0,4,11,1,9,6,4,0,0,0,20,1,4,20.0,Matches,1c9838aa
167,Bakaye Dibassy,ml MLI,DF,Minnesota Utd,32-325,1989,16.0,4,0,0,27,5,1,6,49,14,0,0,0,137,38,30,55.9,Matches,247accfd
168,Clément Diop,sn SEN,GK,Inter Miami,28-263,1993,3.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,Matches,0d5c0218
169,Sofiane Djeffal,fr FRA,MF,D.C. United,23-084,1999,9.3,2,0,0,23,11,0,4,24,14,0,0,0,119,14,12,53.8,Matches,29d85f83
170,Moussa Djitte,sn SEN,FW,Austin FC,22-271,1999,2.3,0,0,0,3,1,1,1,0,3,0,0,0,13,4,9,30.8,Matches,627b570a
171,Ethan Dobbelaere,us USA,DF,Seattle,19-230,2002,1.0,0,0,0,0,1,0,1,0,2,0,0,0,5,0,2,0.0,Matches,1e772b7c
172,Cecilio Domínguez,py PAR,FWMF,Austin FC,27-325,1994,3.1,1,0,0,3,10,1,9,4,1,0,0,0,14,1,0,100.0,Matches,3162d667
173,Christopher Donovan,us USA,MFFW,Philadelphia,21-328,2000,0.3,0,0,0,1,1,0,1,0,1,0,0,0,4,2,0,100.0,Matches,8f995d10
174,Griffin Dorsey,us USA,DF,Houston Dynamo,23-119,1999,7.7,2,0,0,10,8,0,16,20,9,0,0,0,63,8,11,42.1,Matches,c182ca04
175,Hassani Dotson,us USA,DFMF,Minnesota Utd,24-330,1997,7.0,1,0,0,15,11,0,5,15,16,0,1,0,70,11,9,55.0,Matches,8f2af1ed
176,Sebastián Driussi,ar ARG,MFFW,Austin FC,26-143,1996,16.7,4,0,0,27,28,3,19,9,16,0,0,0,97,14,25,35.9,Matches,60e86875
177,Bryce Duke,us USA,MF,Inter Miami,21-124,2001,7.4,2,0,0,11,16,0,7,10,9,0,0,0,52,3,14,17.6,Matches,59557625
178,Cameron Duke,us USA,MFDF,Sporting KC,21-139,2001,10.0,3,0,0,24,25,0,13,22,10,0,0,0,55,4,18,18.2,Matches,c679d9fd
179,Jhon Durán,co COL,FW,Chicago Fire,18-201,2003,3.7,4,1,1,8,13,2,2,3,3,0,0,0,20,14,22,38.9,Matches,414184f7
180,Chris Durkin,us USA,MF,D.C. United,22-144,2000,7.9,4,1,1,19,18,0,8,18,9,0,0,0,73,9,6,60.0,Matches,0ffd4373
181,Dom Dwyer,us USA,FWMF,Atlanta Utd,31-337,1990,2.6,2,1,0,4,6,3,2,1,0,0,0,0,8,4,5,44.4,Matches,bdfc15f8
182,Jeremy Ebobisse,us USA,FW,San Jose,25-138,1997,15.0,0,0,0,13,19,2,4,1,3,0,0,0,39,11,23,32.4,Matches,5fa7b2ec
183,Daniel Edelman,us USA,MF,NY Red Bulls,19-065,2003,0.4,0,0,0,0,0,0,0,2,1,0,0,0,5,1,1,50.0,Matches,a8de0bd5
184,Javier Eduardo López,mx MEX,MFFW,San Jose,27-288,1994,2.6,0,0,0,1,4,0,3,1,3,0,0,0,11,0,3,0.0,Matches,f851b52f
185,Earl Edwards Jr.,us USA,GK,New England,30-159,1992,4.0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,,Matches,10f6f942
186,Raheem Edwards,ca CAN,DF,LA Galaxy,26-352,1995,14.3,0,0,0,33,23,0,26,32,33,0,0,0,119,23,19,54.8,Matches,b828d56a
187,Tom Edwards,eng ENG,DF,NY Red Bulls,23-161,1999,15.7,4,0,0,19,13,2,33,29,16,0,0,0,177,40,16,71.4,Matches,1b780599
188,Jack Elliott,eng ENG,DF,Philadelphia,26-311,1995,16.9,1,0,0,22,6,0,1,27,24,0,1,0,170,48,28,63.2,Matches,041deebd
189,Kalil ElMedkhar,us USA,FWMF,FC Dallas,22-318,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches,272c1aaf
190,Franco Escobar,ar ARG,DF,Los Angeles FC,27-131,1995,4.2,0,0,0,1,4,0,4,9,4,0,0,0,46,3,5,37.5,Matches,54f33d0e
191,Cristian Espinoza,ar ARG,FWMF,San Jose,27-090,1995,15.1,3,0,0,22,14,4,58,15,6,0,0,0,87,1,10,9.1,Matches,9c794a80
192,Jhon Espinoza,ec ECU,DFFW,Chicago Fire,23-128,1999,3.2,4,0,0,11,2,1,8,3,5,0,1,0,25,4,7,36.4,Matches,79666d5a
193,Roger Espinoza,hn HON,MF,Sporting KC,35-250,1986,12.8,7,0,0,28,12,1,16,26,19,0,0,0,110,20,22,47.6,Matches,60b7c195
194,Lucas Esteves,br BRA,DF,Colorado Rapids,22-008,2000,10.3,3,1,0,22,9,2,31,20,10,0,0,0,61,6,6,50.0,Matches,c6ec0258
195,Michael Estrada,ec ECU,FW,D.C. United,26-086,1996,6.3,1,0,0,7,5,6,3,2,2,0,0,0,15,14,20,41.2,Matches,773f5f12
196,Derrick Etienne,ht HAI,FWDF,Columbus Crew,25-219,1996,11.8,2,0,0,10,20,15,36,14,7,0,0,0,75,5,6,45.5,Matches,59059f1e
197,Diego Fagúndez,uy URU,FWMF,Austin FC,27-138,1995,14.9,2,0,0,14,17,7,30,10,13,0,0,0,85,1,12,7.7,Matches,fe81682e
198,Mamadou Fall,sn SEN,DF,Los Angeles FC,19-223,2002,12.1,5,0,0,16,1,0,1,37,9,0,0,0,117,27,10,73.0,Matches,805a2a11
199,Marco Farfan,us USA,DF,FC Dallas,23-232,1998,16.5,4,0,0,19,31,0,19,29,15,0,0,0,138,33,23,58.9,Matches,cfc68595
200,Andrew Farrell,us USA,DF,New England,30-091,1992,15.7,4,0,0,11,6,0,1,29,18,0,1,0,154,15,10,60.0,Matches,71eda165
201,Mohamed Farsi,ca CAN,FWMF,Columbus Crew,22-198,1999,0.3,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0,Matches,81039302
202,Felipe,br BRA,MFFW,Austin FC,31-275,1990,3.6,2,0,0,9,8,0,3,3,2,0,0,0,24,1,3,25.0,Matches,2415bd0a
203,Thiago Fernandes,br BRA,FWMF,Houston Dynamo,21-111,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,e3550df1
204,Omir Fernandez,us USA,MFFW,NY Red Bulls,23-144,1999,11.9,1,0,0,10,26,1,17,12,16,1,0,0,73,14,25,35.9,Matches,622986f0
205,Jesus Ferreira,us USA,FWMF,FC Dallas,21-190,2000,15.3,2,0,0,15,5,2,14,16,9,0,0,0,70,9,27,25.0,Matches,f61246d8
206,Sebastián Ferreira,py PAR,FW,Houston Dynamo,24-139,1998,13.2,1,0,0,28,20,4,5,10,7,0,0,0,48,18,24,42.9,Matches,5439dba0
207,Stuart Findlay,sct SCO,DF,Philadelphia,26-291,1995,1.0,0,0,0,0,0,0,0,4,0,0,0,0,7,3,3,50.0,Matches,edffe99a
208,Ethan Finlay,us USA,FW,Austin FC,31-330,1990,7.8,0,0,0,10,5,4,16,6,4,0,0,0,37,5,22,18.5,Matches,c16a59af
209,Oniel Fisher,jm JAM,DF,Minnesota Utd,30-222,1991,6.2,1,0,0,9,13,0,12,16,3,0,0,0,58,4,4,50.0,Matches,ed5fdca6
210,Leon Flach,us USA,MF,Philadelphia,21-124,2001,15.4,1,0,0,16,9,2,11,29,28,0,0,0,116,19,16,54.3,Matches,39859fa1
211,Ashley Fletcher,eng ENG,FW,NY Red Bulls,26-273,1995,2.8,2,0,0,8,3,0,1,3,1,0,1,0,19,10,13,43.5,Matches,eeb6551f
212,Edison Flores,pe PER,MFFW,D.C. United,28-049,1994,9.2,1,0,0,18,11,0,15,5,9,0,0,0,80,9,16,36.0,Matches,ef2c82f8
213,George Fochive,us USA,MF,Portland Timbers,30-100,1992,0.3,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,,Matches,f99000bb
214,Nathan Fogaça,br BRA,FW,Portland Timbers,23-023,1999,4.2,1,0,0,7,5,0,2,2,0,0,0,0,23,12,23,34.3,Matches,aad135a3
215,Andreu Fontàs,es ESP,DF,Sporting KC,32-230,1989,12.1,3,1,0,12,6,0,1,21,14,0,0,0,109,27,19,58.7,Matches,0f138d5a
216,Kortne Ford,us USA,DF,Sporting KC,26-157,1996,8.8,4,0,0,14,6,1,1,20,6,0,1,0,65,25,17,59.5,Matches,552a7707
217,Taxiarchis Fountas,gr GRE,FWMF,D.C. United,26-301,1995,7.2,0,0,0,12,14,1,15,7,1,0,0,0,39,4,11,26.7,Matches,2ce71308
218,Franco Fragapane,ar ARG,FWMF,Minnesota Utd,29-146,1993,10.5,3,0,0,4,13,4,19,16,8,0,0,0,90,3,6,33.3,Matches,09538c47
219,Alan Franco,ar ARG,DF,Atlanta Utd,25-264,1996,12.2,2,0,0,11,11,2,1,37,16,0,0,0,137,37,12,75.5,Matches,a548281c
220,Alan Franco,ec ECU,MF,Charlotte FC,23-315,1998,8.7,2,0,0,12,11,0,13,8,5,1,0,0,61,11,10,52.4,Matches,c76b161b
221,Kobe Franklin,ca CAN,DF,Toronto FC,19-053,2003,0.2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0,Matches,407325c4
222,Stefan Frei,ch SUI,GK,Seattle,36-073,1986,13.0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,,Matches,1d0a0f3e
223,Christian Fuchs,at AUT,DF,Charlotte FC,36-086,1986,12.7,2,0,0,23,1,1,16,45,16,0,0,0,125,34,17,66.7,Matches,a67a09fb
224,Ruben Gabrielsen,no NOR,DF,Austin FC,30-114,1992,14.9,2,0,0,9,8,0,0,27,8,0,0,0,127,37,26,58.7,Matches,9e64fc85
225,Ray Gaddis,us USA,DF,FC Cincinnati,32-170,1990,7.1,1,0,0,3,5,0,5,9,7,0,0,0,46,2,6,25.0,Matches,8348b24d
226,McKinze Gaines,us USA,MFFW,Charlotte FC,24-122,1998,5.2,0,0,0,3,4,1,26,2,2,0,0,0,31,2,12,14.3,Matches,8ef72983
227,Jon Gallagher,ie IRL,DF,Austin FC,26-129,1996,8.4,2,0,0,9,15,0,22,21,9,0,0,0,95,13,6,68.4,Matches,9d5afdfb
228,Pedro Gallese,pe PER,GK,Orlando City,32-129,1990,16.0,3,0,0,1,1,0,0,0,1,0,0,0,53,0,0,,Matches,b76e1394
229,Christopher Garcia,us USA,MFFW,Real Salt Lake,19-170,2003,0.0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,,Matches,f6390a6b
230,Chase Gasper,us USA,DF,LA Galaxy,26-158,1996,1.9,1,0,0,2,1,0,3,2,1,0,0,0,18,3,2,60.0,Matches,7371ec36
231,Ryan Gauld,sct SCO,MF,Vancouver,26-198,1995,9.6,0,0,0,14,19,2,16,13,7,1,0,0,72,4,9,30.8,Matches,862e93c2
232,Dániel Gazdag,hu HUN,MF,Philadelphia,26-122,1996,16.5,3,0,0,22,20,3,11,10,16,0,0,0,83,8,21,27.6,Matches,527d0e31
233,Kieran Gibbs,eng ENG,DF,Inter Miami,32-279,1989,2.1,0,0,0,3,0,0,3,9,3,0,0,0,11,5,1,83.3,Matches,46ee5234
234,Carles Gil,es ESP,MF,New England,29-222,1992,16.3,1,0,0,5,60,0,72,14,7,1,0,0,128,1,11,8.3,Matches,11c30a46
235,José Antonio Martínez Gil,es ESP,DF,FC Dallas,29-140,1993,13.5,3,0,0,12,6,0,0,18,11,0,1,0,128,28,21,57.1,Matches,8e049cbd
236,Gastón Giménez,py PAR,MF,Chicago Fire,30-340,1991,14.8,4,0,0,25,22,0,7,36,27,0,0,0,167,13,8,61.9,Matches,ab66cc31
237,Francisco Ginella,uy URU,MF,Los Angeles FC,23-162,1999,3.9,1,0,0,11,2,0,2,4,8,0,1,0,33,4,2,66.7,Matches,5a28a782
238,Justen Glad,us USA,DF,Real Salt Lake,25-124,1997,12.7,2,0,0,11,4,0,0,21,11,0,0,0,103,35,21,62.5,Matches,5b768b0f
239,Jakob Glesnes,no NOR,DF,Philadelphia,28-099,1994,17.0,1,0,0,11,6,0,5,34,9,0,0,0,137,33,16,67.3,Matches,ac65aef3
240,Chris Gloster,us USA,DF,NYCFC,21-339,2000,5.3,0,0,0,6,2,1,24,10,3,0,0,0,41,12,6,66.7,Matches,01cd3c12
241,Marcus Godinho,ca CAN,DF,Vancouver,25-004,1997,6.1,1,0,0,6,11,0,13,15,5,0,0,0,36,6,4,60.0,Matches,27854bf6
242,Aníbal Godoy,pa PAN,MF,Nashville,32-142,1990,7.5,4,0,0,17,14,0,1,8,11,0,0,0,72,9,6,60.0,Matches,2d496ca3
243,Erik Godoy,ar ARG,DF,Vancouver,28-320,1993,4.3,1,0,0,3,2,0,0,13,5,0,0,0,35,8,2,80.0,Matches,e8b80334
244,Eulânio Ângelo Chipela Gomes,gw GNB,DF,FC Dallas,28-046,1994,6.7,1,0,0,11,8,0,11,8,8,0,0,0,61,9,12,42.9,Matches,d9b9b71a
245,Yeimar Gómez Andrade,co COL,DF,Seattle,30-002,1992,7.9,2,0,0,8,2,0,0,42,10,0,0,0,71,20,16,55.6,Matches,e43c8d72
246,Omar Gonzalez,us USA,DF,New England,33-264,1988,7.0,1,0,0,3,4,0,0,17,4,0,0,0,61,27,15,64.3,Matches,0d2fe665
247,Samuel Grandsir,fr FRA,FWMF,LA Galaxy,25-322,1996,8.3,1,0,0,13,8,5,32,3,6,0,0,0,45,4,10,28.6,Matches,d2448564
248,Tayvon Gray,us USA,DF,NYCFC,19-317,2002,8.3,1,0,0,6,6,0,15,11,13,0,0,0,77,16,9,64.0,Matches,c839e1b2
249,Gregore,br BRA,MF,Inter Miami,28-122,1994,14.0,8,0,0,35,14,0,1,30,44,0,0,0,147,28,14,66.7,Matches,49815f34
250,Ján Greguš,sk SVK,MF,San Jose,31-154,1991,12.5,0,0,0,13,16,1,12,11,14,0,1,0,112,15,13,53.6,Matches,7d974435
251,Julian Gressel,de GER,DF,D.C. United,28-198,1993,13.3,2,0,0,11,8,1,65,25,9,0,0,0,114,7,18,28.0,Matches,acd47bc0
252,Sami Guediri,us USA,DF,D.C. United,24-318,1997,0.5,0,0,0,1,0,0,2,2,2,0,0,0,7,0,0,,Matches,e3dc71a7
253,Brian Gutiérrez,us USA,FWMF,Chicago Fire,19-015,2003,7.7,2,1,1,9,16,2,8,6,7,0,0,0,54,5,13,27.8,Matches,d88f31db
254,Cristián Gutiérrez,cl CHI,DF,Vancouver,25-134,1997,6.8,1,0,0,3,4,0,13,18,4,0,0,0,48,12,4,75.0,Matches,6e56a4f2
255,Diego Gutierrez,us USA,FW,Portland Timbers,23-178,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches,4903a306
256,Andrew Gutman,us USA,DF,Atlanta Utd,25-273,1996,11.1,3,0,0,19,23,5,27,21,20,0,0,0,82,14,15,48.3,Matches,b7a23251
257,Brad Guzan,us USA,GK,Atlanta Utd,37-296,1984,6.8,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,,Matches,d899e3bf
258,Justin Haak,us USA,MF,NYCFC,20-293,2001,0.7,1,0,0,1,0,0,0,2,3,0,0,0,4,1,3,25.0,Matches,c644e140
259,Luke Haakenson,us USA,MF,Nashville,24-295,1997,3.6,3,0,0,11,7,0,6,0,6,0,0,0,14,0,10,0.0,Matches,77d28e45
260,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,26-288,1995,11.8,9,1,1,11,9,0,1,30,7,0,0,0,84,38,11,77.6,Matches,582952f2
261,Nick Hagglund,us USA,DF,FC Cincinnati,29-291,1992,14.3,3,1,1,16,7,0,7,36,14,0,1,0,147,56,23,70.9,Matches,39632554
262,Marlon Hairston,us USA,DF,Columbus Crew,28-101,1994,0.8,0,0,0,0,1,0,0,1,1,0,0,0,5,2,0,100.0,Matches,1d531c57
263,Siad Haji,so SOM,DFFW,San Jose,22-213,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,9212f1cb
264,Michael Halliday,us USA,MFDF,Orlando City,19-161,2003,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,6ad5f50e
265,Ahmed Hamdi,eg EGY,MFFW,CF Montréal,24-142,1998,3.6,2,0,0,6,3,0,0,0,3,0,0,0,37,5,2,71.4,Matches,fc7c8d3d
266,Bill Hamid,us USA,GK,D.C. United,31-219,1990,9.5,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,,Matches,012fc030
267,Niko Hansen,dk DEN,FW,Minnesota Utd,27-291,1994,0.3,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,100.0,Matches,9bebd450
268,Cameron Harper,us USA,DFFW,NY Red Bulls,20-225,2001,3.1,2,0,0,4,5,0,10,3,1,0,0,0,24,3,7,30.0,Matches,4a78c769
269,Nathan Harriel,us USA,DF,Philadelphia,21-070,2001,14.7,2,0,0,27,21,0,10,45,26,0,0,0,175,40,24,62.5,Matches,b3edbeff
270,Calvin Harris,eng ENG,FW,FC Cincinnati,22-104,2000,1.8,1,0,0,3,8,0,1,0,1,0,0,0,6,0,4,0.0,Matches,07b0aeef
271,Thomas Hasal,ca CAN,GK,Vancouver,22-358,1999,8.8,0,0,0,0,3,0,0,0,0,0,0,0,29,0,0,,Matches,86bac87b
272,Jacori Hayes,us USA,MFFW,Minnesota Utd,27-003,1995,0.3,1,0,0,2,0,0,0,0,3,0,0,0,2,1,1,50.0,Matches,d2173b7b
273,Héber,br BRA,FW,NYCFC,30-326,1991,4.2,0,0,0,4,1,4,3,2,1,0,0,0,25,7,15,31.8,Matches,d552c4a1
274,Matt Hedges,us USA,DF,FC Dallas,32-092,1990,13.4,0,0,0,2,1,2,1,21,9,0,0,0,130,33,22,60.0,Matches,5e2a4d0e
275,Chris Hegardt,us USA,FWMF,Charlotte FC,20-177,2002,0.2,1,0,0,1,2,0,3,0,0,0,0,0,2,0,1,0.0,Matches,99a6142d
276,Doneil Henry,ca CAN,DF,Los Angeles FC,29-073,1993,1.5,3,0,0,3,0,0,0,2,0,0,0,0,15,4,1,80.0,Matches,22636117
277,Fabian Herbers,de GER,FWMF,Chicago Fire,28-319,1993,6.7,3,0,0,9,13,3,14,4,11,0,0,0,50,16,8,66.7,Matches,5cbf5ccd
278,Felipe Hernandez,us USA,MF,Sporting KC,24-024,1998,11.8,2,0,0,18,25,1,10,22,10,0,0,0,64,7,15,31.8,Matches,31a4d0b8
279,Javier Hernández,mx MEX,FW,LA Galaxy,34-031,1988,14.5,3,0,0,16,27,6,15,9,5,0,0,0,31,16,16,50.0,Matches,189cee7b
280,Ronald Hernández,ve VEN,DF,Atlanta Utd,24-284,1997,4.1,1,0,0,3,5,0,6,15,5,0,0,0,33,2,7,22.2,Matches,de907bab
281,Aaron Herrera,us USA,DF,Real Salt Lake,25-026,1997,9.5,4,1,1,18,4,1,37,28,11,0,0,0,65,11,9,55.0,Matches,d86e3070
282,Gonzalo Higuaín,ar ARG,FW,Inter Miami,34-204,1987,5.9,2,0,0,5,7,7,6,0,3,0,0,0,18,2,7,22.2,Matches,8a08491a
283,Brendan Hines-Ike,us USA,DF,D.C. United,27-214,1994,13.6,5,0,0,18,22,0,6,24,19,0,1,0,121,28,19,59.6,Matches,b807c1dc
284,Bongokuhle Hlongwane,za RSA,FWMF,Minnesota Utd,22-012,2000,7.2,0,0,0,12,13,2,8,12,10,0,0,0,58,6,17,26.1,Matches,de9952b5
285,Danny Hoesen,nl NED,FW,Austin FC,31-168,1991,1.5,0,0,0,1,1,1,0,0,2,0,0,0,4,1,11,8.3,Matches,5ef1939b
286,Ryan Hollingshead,us USA,DF,Los Angeles FC,31-077,1991,10.2,2,0,0,16,15,0,9,23,13,1,0,0,96,31,17,64.6,Matches,28b58797
287,Erik Holt,us USA,DF,Real Salt Lake,25-299,1996,4.4,1,0,0,4,1,0,1,9,5,0,0,0,45,7,7,50.0,Matches,3677d047
288,Jackson Hopkins,us USA,MFFW,D.C. United,18-001,2004,1.9,1,0,0,2,2,1,2,0,0,0,0,0,11,0,3,0.0,Matches,8344adf5
289,Adrien Hunou,fr FRA,FW,Minnesota Utd,28-164,1994,1.4,0,0,0,4,2,0,0,0,1,0,0,0,4,6,1,85.7,Matches,d14229f3
290,Erik Hurtado,us USA,FW,Columbus Crew,31-229,1990,2.2,1,0,0,5,5,0,0,1,0,0,0,0,8,4,20,16.7,Matches,b11e6f2b
291,Emerson Hyndman,us USA,MF,Atlanta Utd,26-084,1996,3.2,0,0,0,5,2,0,3,7,4,0,0,0,20,2,4,33.3,Matches,3be1a627
292,Franco Ibarra,ar ARG,MF,Atlanta Utd,21-065,2001,7.6,5,0,0,17,17,1,1,15,21,0,0,0,57,13,10,56.5,Matches,db6540c5
293,Sebastien Ibeagha,us USA,DF,Los Angeles FC,30-162,1992,8.7,3,0,0,7,5,0,0,9,7,0,1,0,81,25,13,65.8,Matches,41ba8175
294,Sunusi Ibrahim,ng NGA,FWMF,CF Montréal,19-274,2002,2.2,0,0,0,0,1,0,8,1,1,0,0,0,10,1,3,25.0,Matches,796994e5
295,James Igbekeme,ng NGA,FWMF,Columbus Crew,26-363,1995,8.1,2,0,0,10,15,0,9,16,11,0,0,0,52,2,17,10.5,Matches,c9ce0fc8
296,Tega Ikoba,us USA,FW,Portland Timbers,18-322,2003,0.3,0,0,0,0,1,0,0,2,0,0,0,0,1,2,1,66.7,Matches,35d550f2
297,Arnór Ingvi Traustason,is ISL,FWMF,New England,29-063,1993,3.7,1,0,0,5,3,0,7,1,3,0,0,0,21,7,6,53.8,Matches,7d036b4a
298,Nicolas Isimat-Mirin,fr FRA,DF,Sporting KC,30-229,1991,10.8,2,0,0,16,4,1,0,18,20,0,1,0,84,25,18,58.1,Matches,14e8e9d7
299,Aljaž Ivačič,si SVN,GK,Portland Timbers,28-185,1993,17.0,1,0,0,0,1,0,0,0,0,0,0,0,65,0,0,,Matches,4d6e50d8
300,Stanislav Ivanov,bg BUL,FWMF,Chicago Fire,23-077,1999,8.5,0,0,0,12,14,4,15,7,5,0,0,0,60,2,15,11.8,Matches,0cafba94
301,Robin Jansson,se SWE,DF,Orlando City,30-229,1991,13.9,10,1,1,10,6,0,0,16,8,0,0,0,94,19,13,59.4,Matches,8ca5c176
302,Franco Jara,ar ARG,FW,FC Dallas,33-352,1988,4.2,0,0,0,15,7,4,5,1,1,0,0,0,20,8,23,25.8,Matches,413cce14
303,Andres Jasson,us USA,DFFW,NYCFC,20-166,2002,2.7,1,0,0,5,8,0,6,3,7,0,0,0,23,1,1,50.0,Matches,31d049b2
304,Cal Jennings,us USA,FW,Los Angeles FC,25-046,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,33.3,Matches,44f6672a
305,Hector Jiménez,us USA,DF,Austin FC,33-241,1988,4.9,2,0,0,7,6,0,13,11,9,0,0,0,55,5,3,62.5,Matches,2dc1e90e
306,Jesús Jiménez,es ESP,FW,Toronto FC,28-239,1993,15.7,2,0,0,20,14,7,1,5,6,0,0,0,45,21,59,26.3,Matches,1e161d47
307,Sean Johnson,us USA,GK,NYCFC,33-032,1989,16.0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,,Matches,c164335e
308,Alistair Johnston,ca CAN,DF,CF Montréal,23-267,1998,15.2,2,0,0,24,14,0,29,27,15,0,0,1,98,16,18,47.1,Matches,4fb17e20
309,DeJuan Jones,us USA,DF,New England,25-008,1997,15.8,3,0,0,13,19,0,48,31,19,0,0,0,139,10,22,31.3,Matches,10d1139c
310,Derrick Jones,us USA,MF,Charlotte FC,25-121,1997,1.8,0,0,0,2,8,0,0,4,4,0,0,0,18,1,0,100.0,Matches,93c92d6c
311,Joevin Jones,tt TRI,DFFW,Inter Miami,30-333,1991,0.5,0,0,0,0,2,0,0,1,0,0,0,0,7,0,2,0.0,Matches,fc23d956
312,Jony,ar ARG,FW,Real Salt Lake,28-119,1994,1.6,0,0,0,4,4,1,3,2,0,0,0,0,14,1,2,33.3,Matches,60665492
313,Dejan Joveljić,rs SRB,FWMF,LA Galaxy,22-329,1999,3.5,3,0,0,5,5,3,1,0,3,0,0,0,17,8,6,57.1,Matches,95a24690
314,Kamil Jóźwiak,pl POL,MFFW,Charlotte FC,24-071,1998,2.9,2,0,0,4,6,0,12,0,3,0,0,0,13,3,7,30.0,Matches,bd4e3824
315,Judson,br BRA,MF,San Jose,29-038,1993,1.7,2,0,0,8,2,0,0,2,8,0,0,0,14,2,1,66.7,Matches,e1535f82
316,Anderson Julio,ec ECU,FW,Real Salt Lake,26-032,1996,0.7,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,,Matches,f907a6a8
317,Florian Jungwirth,de GER,DFMF,Vancouver,33-156,1989,7.5,2,0,0,10,6,0,0,16,6,0,0,0,52,14,9,60.9,Matches,f179c207
318,Sam Junqua,us USA,DF,Houston Dynamo,25-235,1996,1.7,0,0,0,1,0,0,0,2,0,0,0,0,13,6,1,85.7,Matches,91981d97
319,Chris Kablan,ch SUI,MF,Real Salt Lake,27-214,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches,04159652
320,Kristijan Kahlina,hr CRO,GK,Charlotte FC,29-343,1992,17.0,1,0,0,1,3,0,0,0,0,0,1,0,70,0,0,,Matches,53e360bb
321,Brent Kallman,us USA,DF,Minnesota Utd,31-271,1990,6.5,1,0,0,7,8,0,0,16,5,0,0,1,58,13,10,56.5,Matches,2b24702b
322,Kei Kamara,sl SLE,FW,CF Montréal,37-304,1984,9.5,0,0,0,13,11,5,9,4,7,0,0,0,40,48,25,65.8,Matches,6e3f3809
