SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
326,Wilfrid Kaptoum,cm CMR,MF,New England,25-359,1996,5.3,6,1.13,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,d717630e
327,Ercan Kara,at AUT,FW,Orlando City,26-179,1996,11.2,21,1.88,18,0,0,1,1,1,3,0.27,3,0,0,0,0,0,Matches,540c9a17
328,Mark-Anthony Kaye,ca CAN,MF,Colorado Rapids,27-211,1994,13.2,26,1.96,19,1,1,1,2,2,2,0.15,1,0,1,0,0,0,Matches,36a38acd
329,Kipp Keller,us USA,DF,Austin FC,21-352,2000,2.7,2,0.74,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fe5fea9f
330,Jon Kempin,us USA,GK,D.C. United,29-084,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,063adc5e
331,Deandre Kerr,ca CAN,MFFW,Toronto FC,19-224,2002,8.1,17,2.10,13,1,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches,a3e85f7b
332,Henry Kessler,us USA,DF,New England,24-006,1998,6.0,2,0.33,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,23c75879
333,Benjamin Kikanovic,us USA,FWMF,San Jose,22-176,2000,4.3,7,1.64,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fe11d61b
334,Patryk Klimala,pl POL,FW,NY Red Bulls,23-330,1998,11.0,21,1.91,15,0,1,1,4,0,4,0.36,3,0,0,0,1,0,Matches,0bf3c11c
335,Sacha Kljestan,us USA,MF,LA Galaxy,36-295,1985,2.7,8,3.01,3,3,0,1,0,1,1,0.38,0,1,0,0,0,0,Matches,73682895
336,Brad Knighton,us USA,GK,New England,37-145,1985,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9903a3cb
337,Žan Kolmanič,si SVN,DF,Austin FC,22-120,2000,8.9,16,1.80,10,5,1,0,0,0,2,0.23,1,1,0,0,0,0,Matches,4501fd21
338,Ismaël Koné,ca CAN,MF,CF Montréal,20-025,2002,9.0,16,1.78,12,0,1,2,1,0,4,0.44,2,0,1,1,0,0,Matches,e0220b70
339,Damir Kreilach,hr CRO,MFFW,Real Salt Lake,33-076,1989,3.3,6,1.80,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,068be155
340,Theodore Ku-Dipietro,us USA,MFFW,D.C. United,20-154,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ef7c10e0
341,Yuya Kubo,jp JPN,MF,FC Cincinnati,28-189,1993,7.8,23,2.96,21,0,0,1,1,0,3,0.39,3,0,0,0,0,0,Matches,cba16a46
342,Jojea Kwizera,cg CGO,DFMF,CF Montréal,23-181,1999,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cc61360d
343,Lassi Lappalainen,fi FIN,DF,CF Montréal,23-311,1998,12.2,29,2.37,21,3,2,0,2,1,5,0.41,4,1,0,0,0,0,Matches,bcb2282d
344,Jesús David Murillo Largacha,co COL,DF,Los Angeles FC,28-133,1994,12.7,5,0.40,2,0,0,2,0,1,2,0.16,1,0,0,1,0,0,Matches,68d48a71
345,Ariel Lassiter,cr CRC,FWMF,Inter Miami,27-277,1994,11.3,37,3.27,29,0,2,4,2,0,4,0.35,3,0,0,1,0,0,Matches,bd7b916c
346,Vuk Latinovich,us USA,DF,NYCFC,24-290,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5c0e047a
347,Kemar Lawrence,jm JAM,DF,Minnesota Utd,29-287,1992,12.0,9,0.75,8,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,80be3efe
348,Randall Leal,cr CRC,MFFW,Nashville,25-168,1997,9.9,27,2.74,20,0,2,3,1,1,5,0.51,4,0,1,0,0,0,Matches,874a5031
349,Kelvin Leerdam,sr SUR,DFMF,LA Galaxy,32-007,1990,4.3,4,0.93,3,0,0,0,1,0,1,0.23,1,0,0,0,0,0,Matches,d8b47705
350,Brooks Lennon,us USA,DFFW,Atlanta Utd,24-282,1997,13.0,53,4.08,29,23,0,0,1,0,3,0.23,1,1,0,0,1,0,Matches,ec80ba72
351,Jonathan Lewis,us USA,FW,Colorado Rapids,25-027,1997,12.1,34,2.81,19,0,3,4,8,0,3,0.25,1,0,0,0,2,0,Matches,2501eb59
352,Danny Leyva,us USA,MF,Seattle,19-057,2003,1.2,4,3.24,3,1,0,0,0,0,1,0.81,1,0,0,0,0,0,Matches,ecc3a9c9
353,Azaad Liadi,us USA,MF,D.C. United,24-048,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ba702426
354,Nick Lima,us USA,DF,Austin FC,27-226,1994,11.9,24,2.01,18,5,0,1,0,0,4,0.34,2,1,0,1,0,0,Matches,959686eb
355,Jaylin Lindsey,us USA,DF,Charlotte FC,22-096,2000,13.7,20,1.46,18,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,83cb6e59
356,Sebastian Lletget,us USA,MFFW,New England,29-301,1992,11.7,25,2.14,22,0,1,2,0,0,2,0.17,2,0,0,0,0,0,Matches,73019c31
357,Robin Lod,fi FIN,FW,Minnesota Utd,29-075,1993,15.3,49,3.20,40,1,4,1,1,2,4,0.26,3,0,1,0,0,0,Matches,33c69aa0
358,Nicolás Lodeiro,uy URU,MF,Seattle,33-102,1989,8.8,31,3.51,22,9,0,0,0,0,4,0.45,3,1,0,0,0,0,Matches,fe81d0d1
359,Jasper Löeffelsend,us USA,MF,Real Salt Lake,24-265,1997,7.4,11,1.50,10,0,0,0,1,0,1,0.14,1,0,0,0,0,0,Matches,ce037639
360,Aaron Long,us USA,DF,NY Red Bulls,29-262,1992,13.8,13,0.94,9,1,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches,46b89640
361,Marcos López,pe PER,DF,San Jose,22-223,1999,10.4,14,1.35,9,1,0,2,2,0,1,0.10,0,0,0,0,1,0,Matches,9b3ab988
362,Marvin Loría,cr CRC,FWMF,Portland Timbers,25-068,1997,4.8,14,2.90,11,1,1,0,1,0,4,0.83,1,1,1,0,1,0,Matches,71380d87
363,Daniel Lovitz,us USA,DF,Nashville,30-308,1991,14.0,20,1.43,12,5,0,2,0,1,2,0.14,2,0,0,0,0,0,Matches,db97d838
364,Damion Lowe,jm JAM,DF,Inter Miami,29-057,1993,13.7,5,0.37,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,b6e2e54c
365,Everton Luiz,br BRA,MF,Real Salt Lake,34-038,1988,4.8,3,0.62,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3799e138
366,Diego Luna,us USA,MF,Real Salt Lake,18-297,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e67f8af0
367,Adam Lundqvist,se SWE,DF,Houston Dynamo,28-103,1994,15.4,20,1.30,14,5,0,1,0,0,4,0.26,3,1,0,0,0,0,Matches,91769a24
368,Luquinhas,br BRA,MFFW,NY Red Bulls,25-276,1996,9.9,32,3.23,22,0,4,1,5,0,4,0.40,2,0,1,0,1,0,Matches,85937928
369,Jack Lynn,us USA,MF,Orlando City,22-170,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c81d718e
370,Larrys Mabiala,cd COD,DF,Portland Timbers,34-266,1987,7.3,2,0.27,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5bdec47f
371,Aimé Mabika,zm ZAM,DF,Inter Miami,23-319,1998,4.4,1,0.23,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3a37d349
372,Maciel,br BRA,MF,New England,22-164,2000,2.6,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a39d51e0
373,Zac MacMath,us USA,GK,Real Salt Lake,30-328,1991,17.0,2,0.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,06caac45
374,Lukas MacNaughton,us USA,DF,Toronto FC,27-115,1995,8.3,2,0.24,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b6111d16
375,Talles Magno,br BRA,FW,NYCFC,20-005,2002,13.9,55,3.95,41,0,8,3,2,1,10,0.72,7,0,1,2,0,0,Matches,64c98878
376,Jack Maher,us USA,DF,Nashville,22-246,1999,13.0,7,0.54,6,1,0,0,0,0,3,0.23,2,1,0,0,0,0,Matches,0c6f2fa6
377,Christian Makoun,ve VEN,DF,Charlotte FC,22-118,2000,8.9,3,0.34,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,7efffe65
378,Machop Malual,ss SSD,DF,Atlanta Utd,23-229,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1701b012
379,J.T. Marcinkowski,us USA,GK,San Jose,25-053,1997,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,977791f4
380,Paul Marie,fr FRA,DF,San Jose,27-099,1995,12.9,31,2.40,24,2,1,2,1,1,1,0.08,0,0,0,0,1,0,Matches,da0bb55a
381,Anthony Markanich,us USA,DF,Colorado Rapids,22-187,1999,1.6,8,5.00,5,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches,565fde4a
382,Nick Markanich,us USA,FWMF,FC Cincinnati,22-187,1999,1.2,1,0.85,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,65988c73
383,George Marks,us USA,GK,Charlotte FC,22-233,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e75f9dba
384,Jahkeele Marshall-Rutty,ca CAN,DF,Toronto FC,18-015,2004,3.0,2,0.66,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,b9459f85
385,Nick Marsman,nl NED,GK,Inter Miami,31-273,1990,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f352799f
386,Josef Martínez,ve VEN,FW,Atlanta Utd,29-043,1993,7.3,21,2.87,13,0,1,2,3,2,5,0.68,3,0,0,0,1,1,Matches,e73f0aa1
387,Luís Martins,pt POR,DF,Vancouver,30-021,1992,1.4,2,1.42,1,0,0,0,1,0,1,0.71,0,0,0,0,1,0,Matches,56b7c09b
388,Thiago Martins,br BRA,DF,NYCFC,27-106,1995,10.9,4,0.37,2,0,0,2,0,0,2,0.18,1,0,0,1,0,0,Matches,4d6ec370
389,Alexandru Mățan,ro ROU,FWMF,Columbus Crew,22-306,1999,0.4,1,2.81,0,0,0,1,0,0,1,2.81,0,0,0,1,0,0,Matches,3bd3bcc4
390,Rónald Matarrita,cr CRC,DF,FC Cincinnati,27-357,1994,1.9,7,3.62,7,0,0,0,0,0,2,1.03,2,0,0,0,0,0,Matches,491862dd
391,Jimmy Maurer,us USA,GK,FC Dallas,33-260,1988,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ca1c6f3d
392,José Mauri,it ITA,MF,Sporting KC,26-046,1996,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,644faf10
393,Chris Mavinga,cd COD,DF,Toronto FC,31-036,1991,4.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fda36cfb
394,Max,br BRA,FWMF,Colorado Rapids,21-050,2001,3.5,4,1.16,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,67c3efa4
395,Olivier Mbaizo,cm CMR,DF,Philadelphia,24-320,1997,2.4,4,1.64,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f6315619
396,John McCarthy,us USA,GK,Los Angeles FC,29-362,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,249362e9
397,Dax McCarty,us USA,MF,Nashville,35-062,1987,8.5,18,2.11,13,3,1,0,1,0,2,0.23,2,0,0,0,0,0,Matches,b74e58c0
398,Aiden McFadden,us USA,DF,Atlanta Utd,23-276,1998,1.9,6,3.14,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,eed1b8f6
399,Jack McGlynn,us USA,MF,Philadelphia,18-359,2003,1.6,8,5.14,6,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,e2b8c25c
