SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
420,Jamiro Monteiro,cv CPV,MF,San Jose,28-220,1993,13.7,55,4.01,49,2,3,0,1,0,7,0.51,7,0,0,0,0,0,Matches,d384bddd
421,Fredy Montero,co COL,FWMF,Seattle,34-340,1987,7.3,15,2.04,9,0,0,2,3,1,3,0.41,0,0,0,1,2,0,Matches,bc5b5be5
422,Kim Moonhwan,kr KOR,DF,Los Angeles FC,26-334,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6bce7dd8
423,Drew Moor,us USA,DF,Colorado Rapids,38-167,1984,1.8,1,0.56,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,220cf869
424,Felipe Mora,cl CHI,FW,Portland Timbers,28-333,1993,0.4,1,2.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,f4b0ea46
425,Joseph Mora,cr CRC,DF,Charlotte FC,29-167,1993,12.6,16,1.27,10,3,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches,2af71023
426,Alfredo Morales,us USA,MFDF,NYCFC,32-050,1990,13.0,16,1.23,15,0,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches,ff45add5
427,Maximiliano Moralez,ar ARG,MF,NYCFC,35-124,1987,10.9,62,5.71,39,16,1,3,2,1,7,0.64,5,1,0,0,1,0,Matches,f99f37fc
428,Steven Moreira,fr FRA,DF,Columbus Crew,27-322,1994,14.2,36,2.54,32,1,3,0,0,0,5,0.35,4,0,1,0,0,0,Matches,f10983ae
429,Junior Moreno,ve VEN,MF,FC Cincinnati,28-346,1993,13.4,27,2.01,25,0,0,0,0,2,2,0.15,2,0,0,0,0,0,Matches,5dcb4ac4
430,Marcelino Moreno,ar ARG,MFFW,Atlanta Utd,28-006,1994,12.3,65,5.28,45,4,3,3,9,1,6,0.49,6,0,0,0,0,0,Matches,058c938c
431,Santiago Moreno,co COL,FWMF,Portland Timbers,22-071,2000,12.2,44,3.60,35,2,3,2,1,1,7,0.57,4,0,2,0,1,0,Matches,3261d0e4
432,Lewis Morgan,sct SCO,FWDF,NY Red Bulls,25-274,1996,16.0,41,2.56,28,4,2,3,1,3,3,0.19,3,0,0,0,0,0,Matches,b675e328
433,Aidan Morris,us USA,MF,Columbus Crew,20-227,2001,7.3,11,1.52,8,2,0,0,0,1,1,0.14,1,0,0,0,0,0,Matches,3778339c
434,Jordan Morris,us USA,FW,Seattle,27-248,1994,10.8,22,2.03,18,0,2,1,0,1,5,0.46,4,0,0,0,0,1,Matches,bd298d0d
435,Jean Mota,br BRA,MF,Inter Miami,28-259,1993,13.1,40,3.04,24,8,1,2,3,2,2,0.15,0,1,0,1,0,0,Matches,1ee0513b
436,João Moutinho,pt POR,DF,Orlando City,24-170,1998,16.0,20,1.25,16,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a0aee24e
437,Chris Mueller,us USA,FWMF,Chicago Fire,25-306,1996,6.9,26,3.77,17,1,3,3,2,0,1,0.15,1,0,0,0,0,0,Matches,a5334099
438,Hany Mukhtar,de GER,FWMF,Nashville,27-102,1995,16.0,64,4.00,36,17,5,4,2,0,7,0.44,4,2,0,1,0,0,Matches,87fe8526
439,Jake Mulraney,ie IRL,FWDF,Atlanta Utd,26-087,1996,2.0,3,1.47,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0f04858e
440,Jake Mulraney,ie IRL,FW,Orlando City,26-087,1996,3.5,7,2.00,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,0f04858e
441,Eddie Munjoma,us USA,FWMF,FC Dallas,23-348,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0e1f6ffa
442,Ian Murphy,us USA,DF,FC Cincinnati,22-166,2000,8.7,6,0.69,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c6d233e3
443,Daniel Musovski,us USA,FWMF,Los Angeles FC,26-213,1995,4.5,11,2.44,8,0,2,0,0,1,1,0.22,1,0,0,0,0,0,Matches,925a2703
444,Alex Muyl,us USA,DF,Nashville,26-274,1995,13.1,18,1.37,15,0,0,2,1,0,2,0.15,2,0,0,0,0,0,Matches,2c1025bf
445,Darlington Nagbe,us USA,MF,Columbus Crew,31-347,1990,15.8,23,1.45,20,1,0,0,1,1,2,0.13,0,1,0,0,1,0,Matches,6219c704
446,Andy Najar,hn HON,DF,D.C. United,29-107,1993,6.6,15,2.28,14,0,0,1,0,0,1,0.15,1,0,0,0,0,0,Matches,f8280175
447,Federico Navarro,ar ARG,MF,Chicago Fire,22-114,2000,12.3,14,1.13,9,1,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches,61c628be
448,Miguel Navarro,ve VEN,DF,Chicago Fire,23-125,1999,12.0,22,1.84,19,1,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,3fbff39a
449,Logan Ndenbe,be BEL,DF,Sporting KC,22-142,2000,14.1,22,1.56,15,1,1,0,5,0,0,0.00,0,0,0,0,0,0,Matches,f625e8a5
450,Dylan Nealis,us USA,DF,NY Red Bulls,23-336,1998,10.5,13,1.24,13,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches,24f4dd87
451,Sean Nealis,us USA,DF,NY Red Bulls,25-169,1997,18.0,9,0.50,5,0,0,2,1,1,2,0.11,0,0,0,2,0,0,Matches,8c1b17b3
452,Jayden Nelson,ca CAN,MFFW,Toronto FC,19-278,2002,11.0,21,1.92,16,0,3,1,0,1,3,0.27,2,0,0,0,0,1,Matches,92305a81
453,John Nelson,us USA,DF,FC Cincinnati,23-355,1998,8.0,14,1.75,13,1,0,0,0,0,2,0.25,2,0,0,0,0,0,Matches,df8c4d49
454,Michael Nelson,us USA,GK,Houston Dynamo,27-141,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f4a12161
455,Jake Nerwinski,us USA,DF,Vancouver,27-257,1994,10.5,6,0.57,3,3,0,0,0,0,1,0.09,0,1,0,0,0,0,Matches,2b5801d0
456,Serge Ngoma,us USA,MFFW,NY Red Bulls,16-357,2005,0.5,4,8.00,1,0,1,0,0,2,2,4.00,0,0,1,0,0,1,Matches,de7a0fe6
457,Jarosław Niezgoda,pl POL,FW,Portland Timbers,27-108,1995,11.6,23,1.98,20,0,2,0,1,0,2,0.17,1,0,1,0,0,0,Matches,60c659b6
458,Chinonso Nnamdi Offor,ng NGA,FW,Chicago Fire,22-035,2000,2.9,7,2.43,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,dc590664
459,Tsiki Ntsabeleng,za RSA,MF,FC Dallas,24-142,1998,4.9,17,3.47,14,0,1,1,1,0,1,0.20,0,0,0,1,0,0,Matches,bcbc53d5
460,Obinna Nwobodo,ng NGA,MF,FC Cincinnati,25-214,1996,7.9,8,1.01,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,897c8066
461,Moses Nyeman,us USA,MF,D.C. United,18-238,2003,1.6,1,0.63,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,09d33255
462,Shane O'Neill,us USA,DF,Toronto FC,28-302,1993,12.0,9,0.75,7,0,0,0,1,1,1,0.08,1,0,0,0,0,0,Matches,a62a56b4
463,Jáder Obrian,co COL,FW,FC Dallas,27-044,1995,8.8,27,3.07,22,1,1,2,1,0,5,0.57,5,0,0,0,0,0,Matches,1471b2a8
464,Chris Odoi-Atsem,us USA,DF,D.C. United,27-034,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,375ec69e
465,Noble Okello,ca CAN,MF,Toronto FC,21-346,2000,1.8,2,1.14,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6bc16162
466,Wyatt Omsberg,us USA,DF,Chicago Fire,26-283,1995,14.0,3,0.21,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,cd44ba68
467,Kwadwo Opoku,gh GHA,FWMF,Los Angeles FC,20-353,2001,10.8,29,2.68,19,0,5,1,1,3,0,0.00,0,0,0,0,0,0,Matches,226a288e
468,Arquimides Ordonez,gt GUA,FWMF,FC Cincinnati,18-330,2003,0.5,1,1.87,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8941d9b2
469,Jaziel Orozco,us USA,DF,Real Salt Lake,18-029,2004,3.5,2,0.57,2,0,0,0,0,0,1,0.29,1,0,0,0,0,0,Matches,46af4656
470,Christian Ortiz,ar ARG,MFFW,Charlotte FC,29-315,1992,7.1,25,3.50,17,5,0,2,1,0,3,0.42,2,0,0,1,0,0,Matches,bd8ddbd6
471,Jonathan Osorio,ca CAN,MF,Toronto FC,30-019,1992,9.5,22,2.31,17,0,4,0,0,1,6,0.63,4,0,2,0,0,0,Matches,70106ff6
472,Leonard Owusu,gh GHA,MF,Vancouver,25-028,1997,5.0,5,0.99,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,a06c6c8a
473,Maarten Paes,nl NED,GK,FC Dallas,24-048,1998,15.0,1,0.07,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,eb343262
474,Diego Palacios,ec ECU,DF,Los Angeles FC,22-354,1999,13.7,34,2.48,28,2,2,0,1,1,2,0.15,2,0,0,0,0,0,Matches,6ec37f2e
475,Elliot Panicco,us USA,GK,Nashville,25-225,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e93972ac
476,Cristhian Paredes,py PAR,MF,Portland Timbers,24-044,1998,13.8,25,1.81,15,0,1,6,3,0,5,0.36,3,0,0,1,1,0,Matches,0d8a2551
477,Tim Parker,us USA,DF,Houston Dynamo,29-128,1993,11.8,2,0.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4988a44d
478,Keaton Parks,us USA,MF,NYCFC,24-329,1997,10.1,30,2.98,25,0,0,3,1,1,7,0.70,4,0,0,1,1,1,Matches,77986763
479,Tyler Pasher,ca CAN,FW,Houston Dynamo,28-065,1994,6.2,11,1.78,11,0,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches,3a7bec1b
480,Alexandre Pato,br BRA,FW,Orlando City,32-302,1989,8.7,26,3.00,16,3,2,3,2,0,3,0.35,2,1,0,0,0,0,Matches,7dd83c7d
481,João Paulo Mior,br BRA,MF,Seattle,31-115,1991,5.0,12,2.38,6,3,0,2,1,0,1,0.20,1,0,0,0,0,0,Matches,b96aa1d6
482,Jason Pendant,fr FRA,DF,NY Red Bulls,25-142,1997,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,22fe9049
483,Andrés Perea,us USA,MF,Orlando City,21-229,2000,5.5,7,1.26,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7e1dbecf
484,Daniel Pereira,ve VEN,MF,Austin FC,21-352,2000,12.3,27,2.19,24,0,0,0,2,1,5,0.41,3,0,0,0,1,1,Matches,b8862e65
485,Gabriel Pereira,br BRA,FW,NYCFC,20-334,2001,3.9,16,4.10,10,3,1,2,0,0,1,0.26,1,0,0,0,0,0,Matches,60c4ac82
486,Mauricio Pereyra,uy URU,MF,Orlando City,32-108,1990,14.7,64,4.34,39,17,0,4,3,1,9,0.61,5,2,0,2,0,0,Matches,f45eb18d
487,Adrien Perez,us USA,MF,D.C. United,26-261,1995,1.5,2,1.35,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,298a167b
488,Jonathan Perez,mx MEX,DF,LA Galaxy,19-164,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,41e57408
489,Jordan Perruzza,ca CAN,FWMF,Toronto FC,21-166,2001,2.6,7,2.72,4,0,0,2,1,0,2,0.78,0,0,0,1,1,0,Matches,edc8791f
490,Luca Petrasso,ca CAN,DFFW,Toronto FC,22-015,2000,14.8,24,1.62,20,3,1,0,0,0,3,0.20,2,1,0,0,0,0,Matches,fafeaf3d
491,Đorđe Petrović,rs SRB,GK,New England,22-266,1999,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0cf321c8
492,Fafà Picault,us USA,FWMF,Houston Dynamo,31-128,1991,10.8,24,2.22,18,0,1,1,4,0,3,0.28,1,0,0,1,1,0,Matches,dbaa10c0
493,Kayden Pierre,us USA,DFFW,Sporting KC,19-135,2003,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2f5f098b
494,Samuel Piette,ca CAN,MF,CF Montréal,27-231,1994,4.2,7,1.65,7,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches,bc33c73b
495,Mauricio Pineda,us USA,MFDF,Chicago Fire,24-257,1997,10.2,7,0.69,6,0,0,0,1,0,2,0.20,1,0,0,0,1,0,Matches,e0c17cde
496,Donovan Pines,us USA,DF,D.C. United,24-116,1998,7.5,7,0.93,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,7bd25363
497,Matt Polster,us USA,MF,New England,29-023,1993,11.4,15,1.31,11,0,1,1,1,1,3,0.26,2,0,0,0,1,0,Matches,d1d418f8
498,Paxton Pomykal,us USA,MF,FC Dallas,22-196,1999,15.0,39,2.60,29,2,2,1,2,3,7,0.47,5,0,0,1,0,1,Matches,c1f0fb45
499,Alvas Powell,jm JAM,DF,FC Cincinnati,27-348,1994,10.8,16,1.48,10,1,4,0,1,0,4,0.37,1,1,1,0,1,0,Matches,2f91124d
500,Alejandro Pozuelo,es ESP,MFFW,Toronto FC,30-284,1991,14.6,55,3.77,39,11,1,1,1,2,10,0.68,6,2,1,0,1,0,Matches,5e1280ff
501,Jack Price,eng ENG,MF,Colorado Rapids,29-194,1992,10.5,36,3.44,17,19,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6217c92d
502,Ralph Priso-Mbongue,ca CAN,MF,Toronto FC,19-333,2002,3.0,7,2.37,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,acb3e899
503,Kacper Przybyłko,pl POL,FW,Chicago Fire,29-098,1993,11.9,30,2.51,20,0,3,2,3,2,2,0.17,2,0,0,0,0,0,Matches,4c53a714
504,Facundo Quignon,ar ARG,MF,FC Dallas,29-060,1993,9.1,11,1.21,10,1,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches,5b33b84c
505,Joshué Quiñónez,ec ECU,DF,FC Dallas,21-280,2000,0.5,2,3.83,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c7305b1d
506,Darwin Quintero,co COL,MFFW,Houston Dynamo,34-285,1987,10.1,56,5.52,39,7,4,2,3,1,5,0.49,3,0,1,0,1,0,Matches,0cc00553
507,Jairo Quinteros,bo BOL,DF,Inter Miami,21-144,2001,3.1,1,0.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8363a7e8
508,Romell Quioto,hn HON,FW,CF Montréal,30-326,1991,10.6,24,2.26,14,1,5,1,3,0,5,0.47,3,0,0,0,2,0,Matches,122e850d
509,Jackson Ragen,us USA,DF,Seattle,23-280,1998,10.4,5,0.48,5,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches,a3d67f70
510,Ryan Raposo,ca CAN,DF,Vancouver,23-118,1999,7.5,14,1.87,10,3,0,0,0,1,1,0.13,1,0,0,0,0,0,Matches,f006a9b3
511,Justin Rasmussen,us USA,DF,Portland Timbers,23-198,1998,7.2,8,1.11,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,989ecf23
512,Rayan Raveloson,mg MAD,MF,LA Galaxy,25-166,1997,14.1,20,1.42,17,0,0,0,2,1,4,0.28,3,0,0,0,1,0,Matches,fb3236a7
513,Matthew Real,us USA,MF,Philadelphia,22-356,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1c2c030a
514,Rodney Redes,py PAR,FWMF,Austin FC,22-129,2000,0.9,1,1.07,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,426c3982
515,Benjamin Redzic,us USA,FW,FC Dallas,19-278,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ea8087aa
516,Pierre Reedy,us USA,MF,Real Salt Lake,24-171,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,903f2d95
517,Eric Remedi,ar ARG,MFDF,San Jose,27-027,1995,9.6,21,2.18,16,2,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches,38e2cbd6
518,Justin Rennicks,us USA,FW,New England,23-103,1999,3.5,3,0.87,1,0,0,0,2,0,1,0.29,0,0,0,0,1,0,Matches,0aaa1c04
519,Ben Reveno,us USA,MF,New England,23-094,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6f0a801a
520,Yordy Reyna,pe PER,FWMF,Charlotte FC,28-287,1993,2.8,5,1.77,3,1,1,0,0,0,2,0.71,2,0,0,0,0,0,Matches,eec316d9
521,Andre Reynolds II,us USA,DFMF,Chicago Fire,21-060,2001,1.4,1,0.72,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d46dbe4f
522,Emanuel Reynoso,ar ARG,MFFW,Minnesota Utd,26-227,1995,16.6,90,5.43,46,28,4,3,8,1,9,0.54,4,2,1,1,1,0,Matches,614b26e3
523,Will Richmond,us USA,FW,San Jose,22-086,2000,0.5,3,6.00,1,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,e46ee2e9
524,Tosaint Ricketts,ca CAN,FW,Vancouver,34-329,1987,1.8,3,1.65,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,54769358
525,Alexander Ring,fi FIN,MF,Austin FC,31-083,1991,16.0,42,2.62,33,2,2,2,2,1,6,0.37,6,0,0,0,0,0,Matches,6c1221d6
526,Rocco Ríos Novo,ar ARG,GK,Atlanta Utd,20-027,2002,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f59bd2d3
527,Damien Rivera,us USA,FWMF,New England,19-205,2002,2.8,5,1.79,4,0,0,0,1,0,1,0.36,1,0,0,0,0,0,Matches,2822f3dd
528,Nigel Robertha,nl NED,FWMF,D.C. United,24-138,1998,4.8,16,3.33,13,0,2,1,0,0,2,0.42,2,0,0,0,0,0,Matches,a94bad97
529,Miles Robinson,us USA,DF,Atlanta Utd,25-109,1997,7.3,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,782a95d9
530,Robbie Robinson,us USA,FWMF,Inter Miami,23-196,1998,5.4,17,3.15,12,1,1,1,2,0,1,0.19,1,0,0,0,0,0,Matches,e0dae99f
531,Harrison Robledo,us USA,MFDF,FC Cincinnati,20-143,2002,0.5,2,3.91,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,1f36ce15
532,Abraham Rodriguez,us USA,GK,Colorado Rapids,19-347,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c7e14787
533,Brian Rodríguez,uy URU,FW,Los Angeles FC,22-042,2000,7.2,20,2.77,15,0,3,1,1,0,3,0.42,3,0,0,0,0,0,Matches,c86041d7
534,Emerson Rodríguez,co COL,MFFW,Inter Miami,21-310,2000,2.1,6,2.84,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,09e5ae16
535,Memo Rodriguez,us USA,MFFW,Houston Dynamo,26-186,1995,10.4,34,3.28,22,4,1,1,3,3,3,0.29,2,0,0,1,0,0,Matches,fc6c6b2b
536,Santiago Rodríguez,uy URU,MFFW,NYCFC,22-174,2000,12.6,61,4.83,38,14,1,4,0,4,9,0.71,5,3,0,0,0,1,Matches,86dff811
537,Alex Roldan,sv SLV,DF,Seattle,25-338,1996,13.3,38,2.86,36,0,1,1,0,0,5,0.38,5,0,0,0,0,0,Matches,1255a82a
538,Cristian Roldan,us USA,FWMF,Seattle,27-028,1995,13.3,37,2.79,30,0,1,3,2,1,8,0.60,5,0,0,1,1,1,Matches,48875649
539,Jhohan Romaña,co COL,DF,Austin FC,23-291,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4e32c2d6
540,David Romney,us USA,DF,Nashville,29-019,1993,15.4,8,0.52,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,b7b6e781
541,Rafael Romo,ve VEN,GK,D.C. United,32-126,1990,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8827c189
542,Eloy Room,cw CUW,GK,Columbus Crew,33-145,1989,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6b33d86b
543,Joseph Rosales,hn HON,MF,Minnesota Utd,21-237,2000,5.5,7,1.27,3,0,1,1,2,0,1,0.18,0,0,0,0,1,0,Matches,6a29d06b
544,Oriol Rosell,es ESP,MF,Sporting KC,29-359,1992,7.0,7,1.00,5,1,0,0,0,1,1,0.14,0,1,0,0,0,0,Matches,2a17ef3e
545,Keegan Rosenberry,us USA,DF,Colorado Rapids,28-202,1993,16.0,25,1.56,21,2,2,0,0,0,1,0.06,1,0,0,0,0,0,Matches,f940c69e
546,Matheus Rossetto,br BRA,MF,Atlanta Utd,26-028,1996,10.1,23,2.28,19,0,1,1,1,1,2,0.20,1,0,0,1,0,0,Matches,daf8c775
547,Paul Rothrock,us USA,FW,Toronto FC,23-173,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,875e8269
548,Kelyn Rowe,us USA,DFMF,Seattle,30-211,1991,8.6,8,0.93,6,2,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches,cf928adb
549,Ruan,br BRA,DF,Orlando City,27-033,1995,14.1,20,1.42,15,0,2,1,2,0,2,0.14,2,0,0,0,0,0,Matches,f2665f7c
550,Rubio Rubin,us USA,FW,Real Salt Lake,26-122,1996,3.8,3,0.80,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,9bad7100
551,Diego Rubio,cl CHI,FWMF,Colorado Rapids,29-047,1993,12.5,41,3.28,28,1,4,2,6,0,5,0.40,2,0,0,0,3,0,Matches,3f082234
552,Raúl Ruidíaz,pe PER,FW,Seattle,31-341,1990,6.3,21,3.35,9,0,3,5,3,1,4,0.64,2,0,0,1,1,0,Matches,7a4296e1
553,Pablo Ruíz,ar ARG,MF,Real Salt Lake,23-193,1998,14.5,39,2.70,20,14,0,2,1,2,5,0.35,2,3,0,0,0,0,Matches,7368cd70
554,Sergio Ruiz,es ESP,MF,Charlotte FC,27-197,1994,4.8,12,2.50,8,1,1,1,1,0,3,0.62,2,0,0,0,1,0,Matches,1f423a54
555,Albert Rusnák,sk SVK,MF,Seattle,27-359,1994,12.6,29,2.30,23,4,0,0,1,1,3,0.24,2,0,0,0,0,1,Matches,0adeafaa
556,Johnny Russell,sct SCO,FWMF,Sporting KC,32-084,1990,16.5,38,2.30,29,3,3,0,3,0,3,0.18,3,0,0,0,0,0,Matches,a30e1562
557,Jacen Russell-Rowe,ca CAN,FW,Columbus Crew,19-291,2002,1.1,3,2.67,3,0,0,0,0,0,2,1.78,2,0,0,0,0,0,Matches,b33c6ed5
558,Zach Ryan,us USA,FW,NY Red Bulls,23-168,1999,0.5,2,4.19,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,74ba46bc
559,Ryan Sailor,us USA,DF,Inter Miami,23-216,1998,5.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4924d9bb
560,Carlos Salcedo,mx MEX,DF,Toronto FC,28-275,1993,11.8,5,0.42,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,64c07ae1
561,Shea Salinas,us USA,FWDF,San Jose,36-007,1986,0.4,1,2.37,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4c10838d
562,Dániel Sallói,hu HUN,FWMF,Sporting KC,25-347,1996,12.9,30,2.33,15,3,6,1,4,1,5,0.39,1,0,1,1,2,0,Matches,6fcddf5f
563,Gaoussou Samaké,ci CIV,DF,D.C. United,24-239,1997,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ae760cf4
564,Ilie Sánchez,es ESP,MF,Los Angeles FC,31-222,1990,16.4,33,2.01,30,0,0,1,1,1,2,0.12,2,0,0,0,0,0,Matches,72979f65
565,William Sands,us USA,DF,Columbus Crew,21-360,2000,1.5,1,0.67,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,960a4473
566,Sergio Santos Gomes,br BRA,FW,Philadelphia,27-300,1994,6.8,29,4.29,24,0,2,0,1,2,4,0.59,4,0,0,0,0,0,Matches,a930b263
567,Koa Santos,us USA,MF,Charlotte FC,22-283,1999,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c09ddc5e
568,Pedro Santos,pt POR,DF,Columbus Crew,34-070,1988,13.6,29,2.14,23,1,0,1,2,2,3,0.22,2,1,0,0,0,0,Matches,789da0f2
569,C.J. Sapong,us USA,FW,Nashville,33-186,1988,14.8,28,1.90,22,0,1,2,2,1,4,0.27,4,0,0,0,0,0,Matches,ef4e4c5d
570,Jefferson Savarino,ve VEN,MF,Real Salt Lake,25-232,1996,2.5,14,5.65,8,5,0,1,0,0,1,0.40,0,1,0,0,0,0,Matches,91721722
571,Rodrigo Schlegel,ar ARG,DF,Orlando City,25-089,1997,10.8,5,0.46,4,0,0,1,0,0,1,0.09,0,0,0,1,0,0,Matches,5bb02df4
572,Tate Schmitt,us USA,DF,Real Salt Lake,25-034,1997,8.9,11,1.24,9,1,1,0,0,0,1,0.11,1,0,0,0,0,0,Matches,fa21bbc8
573,Eddie Segura,co COL,DF,Los Angeles FC,25-149,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c70e3fe0
574,Amar Sejdic,us USA,MF,Atlanta Utd,25-214,1996,5.6,10,1.77,8,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,43ca2019
575,Boris Sekulić,sk SVK,DF,Chicago Fire,30-253,1991,16.1,37,2.30,32,0,2,1,1,1,3,0.19,2,0,0,1,0,0,Matches,adf26bd4
576,Brandon Servania,us USA,MF,FC Dallas,23-111,1999,10.9,21,1.93,12,2,1,3,2,1,5,0.46,3,0,1,1,0,0,Matches,4d825a2d
577,Jacob Shaffelburg,ca CAN,DF,Toronto FC,22-217,1999,6.1,6,0.99,5,0,1,0,0,0,3,0.49,2,0,1,0,0,0,Matches,339a2561
578,Xherdan Shaqiri,ch SUI,MFFW,Chicago Fire,30-264,1991,12.1,62,5.12,43,16,0,2,1,0,7,0.58,5,2,0,0,0,0,Matches,6421ec64
579,Brek Shea,us USA,DF,Inter Miami,32-123,1990,1.6,2,1.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,adb6ae24
580,Khiry Shelton,us USA,FW,Sporting KC,29-005,1993,11.2,12,1.07,9,0,0,1,2,0,1,0.09,0,0,0,0,1,0,Matches,f935709c
581,Andre Shinyashiki,br BRA,FWMF,Colorado Rapids,27-020,1995,2.4,5,2.08,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8c395868
582,Andre Shinyashiki,br BRA,MFFW,Charlotte FC,27-020,1995,5.6,9,1.62,7,0,0,1,1,0,1,0.18,1,0,0,0,0,0,Matches,8c395868
