,PlayerId,90s,Tkl,TklW_x,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Tklvsdribble,Att_x,Tkl%,Past,Press,Succ_x,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh_x,ShSv,Pass,Int_x,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,Drib,Sh_y,Fld_x,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,CrdY,CrdR,2CrdY,Fls,Fld_y,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Cmp,Att_y,Cmp%,TotDist_x,PrgDist_x,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,A-xA,KP,1/3_x,PPA,CrsPA,Prog_x,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live,Succ_y,Att,Succ%,#Pl,Megs,Carries,TotDist_y,PrgDist_y,Prog_y,1/3_y,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
558,559,12.2,19.0,14,11.0,2.0,6.0,7.0,26.0,26.9,19.0,231.0,62.0,26.8,76.0,88.0,67.0,17.0,1.0,0.0,16.0,21,40.0,5.0,1.0,44.0,3.6,35.0,2.0,3.0,2.0,1.0,1.0,7.0,0.57,4.0,0.0,2.0,0.0,1.0,0.0,1,0,0,25,20,1,13,21,14,1.0,0.0,0,95.0,9.0,22.0,29.0,393.0,508.0,77.4,6655.0,1996.0,211.0,260.0,81.2,136.0,160.0,85.0,37.0,69.0,53.6,3,3.0,0.0,22.0,27.0,23.0,3.0,48.0,692.0,13.0,137.0,274.0,336.0,42.0,675.0,37.0,67.0,55.2,41.0,1.0,541.0,2747.0,1654.0,76.0,23.0,3.0,30.0,25.0,617.0,505.0,81.8,81.0,3,20,8,40.0,1.64,0.66,0.1,0.25,20.6,0.0,1,1,2.5,1.7,0.09,0.5,0.3,18,1099.0,61.0,67.8,13,71.0,2,5,34.0,0,1.22,17.0,17.0,0.0,0.0,0.0,17.9,17.0,0.8,0.07,0.46
559,560,16.0,50.0,27,18.0,18.0,14.0,17.0,66.0,25.8,49.0,426.0,126.0,29.6,85.0,191.0,150.0,28.0,2.0,0.0,26.0,23,73.0,15.0,1.0,41.0,2.56,28.0,4.0,2.0,3.0,1.0,3.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,18,17,2,67,23,27,0.0,0.0,0,123.0,13.0,23.0,36.1,316.0,545.0,58.0,5990.0,2349.0,146.0,188.0,77.7,116.0,180.0,64.4,49.0,136.0,36.0,1,2.1,-1.1,21.0,39.0,27.0,12.0,55.0,786.0,25.0,105.0,318.0,426.0,66.0,704.0,14.0,39.0,35.9,15.0,2.0,488.0,3425.0,2085.0,106.0,37.0,19.0,24.0,31.0,591.0,446.0,75.5,81.0,7,41,15,36.6,2.73,1.0,0.12,0.33,20.2,4.0,2,2,4.9,3.3,0.08,2.1,1.7,17,1444.0,85.0,89.1,17,85.0,11,0,,0,1.65,23.0,17.0,6.0,0.37,-0.65,25.3,18.4,6.9,0.43,1.57
560,561,7.3,32.0,25,17.0,12.0,3.0,9.0,23.0,39.1,14.0,204.0,62.0,30.4,71.0,106.0,27.0,13.0,2.0,0.0,11.0,13,45.0,3.0,0.0,11.0,1.52,8.0,2.0,0.0,0.0,0.0,1.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,21,13,0,2,13,25,0.0,0.0,0,54.0,8.0,12.0,40.0,295.0,355.0,83.1,5759.0,1331.0,129.0,142.0,90.8,117.0,134.0,87.3,42.0,63.0,66.7,0,0.1,-0.1,3.0,20.0,3.0,1.0,21.0,445.0,22.0,113.0,249.0,117.0,12.0,417.0,1.0,3.0,33.3,1.0,1.0,301.0,1397.0,630.0,26.0,8.0,2.0,17.0,7.0,305.0,285.0,93.4,9.0,0,4,0,0.0,0.55,0.0,0.0,,20.8,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,10,653.0,65.0,45.3,7,89.0,5,3,10.0,5,1.7,11.0,6.0,5.0,0.69,1.03,7.9,7.4,0.5,0.07,-0.16
561,562,10.8,8.0,5,6.0,1.0,1.0,5.0,10.0,50.0,5.0,110.0,18.0,16.4,22.0,43.0,45.0,9.0,2.0,0.0,7.0,13,21.0,5.0,0.0,22.0,2.03,18.0,0.0,2.0,1.0,0.0,1.0,5.0,0.46,4.0,0.0,0.0,0.0,0.0,1.0,2,0,0,6,5,6,17,13,5,0.0,0.0,0,48.0,20.0,19.0,51.3,215.0,278.0,77.3,3080.0,652.0,132.0,159.0,83.0,61.0,73.0,83.6,11.0,21.0,52.4,1,2.7,-1.7,14.0,9.0,10.0,2.0,16.0,380.0,12.0,51.0,164.0,197.0,65.0,378.0,6.0,12.0,50.0,6.0,0.0,264.0,1631.0,871.0,44.0,13.0,17.0,21.0,14.0,404.0,282.0,69.8,76.0,5,25,14,56.0,2.31,1.29,0.2,0.36,10.7,0.0,0,0,5.2,5.2,0.21,-0.2,-0.2,13,973.0,75.0,67.6,11,82.0,3,2,34.0,0,1.54,18.0,12.0,6.0,0.55,0.75,16.6,15.0,1.5,0.14,0.61
562,563,13.1,34.0,20,16.0,14.0,4.0,11.0,44.0,25.0,33.0,238.0,54.0,22.7,95.0,113.0,30.0,16.0,2.0,0.0,14.0,27,61.0,8.0,0.0,40.0,3.04,24.0,8.0,1.0,2.0,3.0,2.0,2.0,0.15,0.0,1.0,0.0,1.0,0.0,0.0,5,1,1,17,26,0,21,27,20,0.0,0.0,0,125.0,9.0,16.0,36.0,514.0,647.0,79.4,11098.0,3381.0,190.0,217.0,87.6,211.0,243.0,86.8,108.0,173.0,62.4,1,1.0,0.0,17.0,58.0,14.0,1.0,64.0,783.0,28.0,233.0,391.0,209.0,12.0,731.0,15.0,22.0,68.2,17.0,1.0,524.0,2393.0,1335.0,46.0,14.0,3.0,10.0,9.0,556.0,509.0,91.5,17.0,0,29,6,20.7,2.21,0.46,0.0,0.0,26.6,4.0,0,0,1.0,1.0,0.03,-1.0,-1.0,15,1183.0,79.0,82.2,15,79.0,5,0,,0,1.2,15.0,20.0,-5.0,-0.38,0.67,15.9,18.6,-2.7,-0.21,0.47
563,564,16.0,52.0,28,30.0,16.0,6.0,30.0,37.0,81.1,7.0,228.0,73.0,32.0,112.0,80.0,36.0,29.0,5.0,0.0,24.0,33,85.0,32.0,0.0,20.0,1.25,16.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,22,6,0,44,33,28,0.0,0.0,0,129.0,17.0,13.0,56.7,726.0,942.0,77.1,13562.0,7128.0,296.0,335.0,88.4,339.0,413.0,82.1,84.0,167.0,50.3,0,0.5,-0.5,10.0,58.0,14.0,9.0,75.0,1111.0,70.0,418.0,508.0,246.0,18.0,961.0,12.0,22.0,54.5,12.0,0.0,676.0,3225.0,1691.0,55.0,11.0,1.0,10.0,13.0,680.0,657.0,96.6,18.0,2,12,4,33.3,0.75,0.25,0.17,0.5,11.8,0.0,0,0,1.1,1.1,0.09,0.9,0.9,16,1436.0,90.0,93.9,16,90.0,15,0,,0,1.56,20.0,22.0,-2.0,-0.13,0.83,19.4,22.9,-3.4,-0.21,0.86
564,565,6.9,6.0,5,3.0,2.0,1.0,3.0,9.0,33.3,6.0,91.0,31.0,34.1,15.0,45.0,31.0,13.0,0.0,0.0,13.0,4,10.0,2.0,0.0,26.0,3.77,17.0,1.0,3.0,3.0,2.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,6,19,6,15,4,5,0.0,0.0,0,41.0,13.0,13.0,50.0,246.0,315.0,78.1,3381.0,883.0,153.0,179.0,85.5,79.0,101.0,78.2,9.0,22.0,40.9,0,0.5,-0.5,7.0,13.0,8.0,0.0,20.0,434.0,5.0,55.0,178.0,236.0,52.0,423.0,12.0,23.0,52.2,13.0,1.0,347.0,1825.0,1190.0,59.0,17.0,19.0,18.0,25.0,425.0,347.0,81.6,62.0,1,21,6,28.6,3.05,0.87,0.05,0.17,15.9,1.0,0,0,2.0,2.0,0.1,-1.0,-1.0,8,620.0,78.0,40.5,7,82.0,3,1,45.0,0,0.88,6.0,10.0,-4.0,-0.58,-0.28,10.7,8.3,2.4,0.34,0.66
565,566,16.0,5.0,4,3.0,2.0,0.0,1.0,8.0,12.5,7.0,294.0,54.0,18.4,46.0,150.0,98.0,12.0,0.0,0.0,12.0,7,12.0,4.0,0.0,64.0,4.0,36.0,17.0,5.0,4.0,2.0,0.0,7.0,0.44,4.0,2.0,0.0,1.0,0.0,0.0,2,0,0,13,38,11,28,7,4,1.0,0.0,0,72.0,9.0,32.0,22.0,425.0,574.0,74.0,7970.0,2184.0,188.0,222.0,84.7,161.0,201.0,80.1,68.0,124.0,54.8,3,4.2,-1.2,28.0,31.0,24.0,5.0,57.0,822.0,4.0,57.0,406.0,424.0,99.0,716.0,24.0,48.0,50.0,26.0,2.0,558.0,3227.0,1853.0,104.0,30.0,23.0,59.0,44.0,847.0,601.0,71.0,171.0,8,63,34,54.0,3.93,2.12,0.13,0.24,17.8,5.0,0,1,8.4,7.6,0.12,-0.4,0.4,17,1441.0,85.0,94.2,16,87.0,9,1,45.0,0,1.53,21.0,17.0,4.0,0.25,1.26,21.9,15.7,6.3,0.39,2.13
566,567,2.0,5.0,1,3.0,1.0,1.0,0.0,7.0,0.0,7.0,47.0,9.0,19.1,15.0,21.0,11.0,3.0,0.0,0.0,3.0,1,6.0,0.0,0.0,3.0,1.47,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,6,0,9,1,1,0.0,0.0,0,8.0,0.0,0.0,,69.0,85.0,81.2,1324.0,223.0,29.0,32.0,90.6,29.0,33.0,87.9,11.0,18.0,61.1,0,0.1,-0.1,2.0,4.0,3.0,1.0,5.0,112.0,1.0,27.0,55.0,44.0,4.0,109.0,4.0,10.0,40.0,4.0,0.0,96.0,590.0,305.0,15.0,5.0,2.0,5.0,0.0,112.0,92.0,82.1,12.0,1,3,1,33.3,1.47,0.49,0.33,1.0,16.1,0.0,0,0,0.3,0.3,0.09,0.7,0.7,7,184.0,26.0,12.8,1,73.0,0,6,19.0,0,1.14,3.0,1.0,2.0,0.98,1.12,2.4,2.0,0.4,0.17,0.06
567,568,2.0,5.0,1,3.0,1.0,1.0,0.0,7.0,0.0,7.0,47.0,9.0,19.1,15.0,21.0,11.0,3.0,0.0,0.0,3.0,1,6.0,0.0,0.0,3.0,1.47,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,6,0,9,1,1,0.0,0.0,0,8.0,0.0,0.0,,69.0,85.0,81.2,1324.0,223.0,29.0,32.0,90.6,29.0,33.0,87.9,11.0,18.0,61.1,0,0.1,-0.1,2.0,4.0,3.0,1.0,5.0,112.0,1.0,27.0,55.0,44.0,4.0,109.0,4.0,10.0,40.0,4.0,0.0,96.0,590.0,305.0,15.0,5.0,2.0,5.0,0.0,112.0,92.0,82.1,12.0,1,3,1,33.3,1.47,0.49,0.33,1.0,16.1,0.0,0,0,0.3,0.3,0.09,0.7,0.7,7,315.0,45.0,20.6,4,59.0,0,3,26.0,0,1.14,6.0,5.0,1.0,0.29,0.58,4.3,4.3,0.0,0.0,0.34
