Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
30,Max Anchor,ca CAN,GK,Vancouver,17-346,2004,1.0,22,22,22,0,0,0,20,0,0,,0,0,4,22,14,0,0,0,0,0,9,9,100.0,0,Matches,d6aa8848
31,Sebastian Anderson,us USA,DF,Colorado Rapids,19-328,2002,0.1,9,0,2,5,3,0,5,0,0,,0,0,4,15,8,0,0,0,0,0,6,4,66.7,1,Matches,3a9911ce
32,José Andrés Martínez,ve VEN,MF,Philadelphia,27-329,1994,15.6,856,61,311,497,103,4,841,16,30,53.3,19,3,551,2931,1271,30,10,0,18,22,491,469,95.5,14,Matches,c8364e8e
33,Jalil Anibaba,us USA,DF,Columbus Crew,33-256,1988,0.9,67,18,43,27,1,1,65,0,0,,0,0,38,214,64,0,0,0,0,0,43,43,100.0,0,Matches,e44593b0
34,Themi Antonoglou,ca CAN,DF,Toronto FC,21-030,2001,0.1,2,0,1,1,0,0,2,0,0,,0,0,2,9,0,0,0,0,0,0,1,1,100.0,1,Matches,b137ee51
35,Brian Anunga,cm CMR,MF,Nashville,25-326,1996,5.7,298,7,106,170,38,4,292,5,8,62.5,5,1,184,788,304,10,3,2,2,8,199,186,93.5,3,Matches,17b28ec7
36,Cristian Arango,co COL,FW,Los Angeles FC,27-115,1995,11.8,410,14,38,145,265,74,380,18,39,46.2,22,6,278,1821,1267,83,29,15,30,24,410,294,71.7,113,Matches,fea9401e
37,César Araujo,uy URU,MF,Orlando City,21-091,2001,14.4,897,41,262,591,95,4,877,2,6,33.3,4,3,569,2434,1248,45,17,1,8,13,605,591,97.7,10,Matches,3ed214ff
38,Julian Araujo,mx MEX,DF,LA Galaxy,20-323,2001,13.9,1009,40,285,424,365,30,880,6,18,33.3,7,1,611,2649,1412,64,22,5,24,21,663,608,91.7,52,Matches,8f4541c2
39,Luiz Araújo,br BRA,FW,Atlanta Utd,26-030,1996,8.5,490,4,58,236,258,42,466,22,40,55.0,23,1,397,2595,1575,80,26,14,21,22,426,378,88.7,57,Matches,fa18c72e
40,Daniel Armando Ríos,mx MEX,FW,Charlotte FC,27-130,1995,10.5,357,9,23,201,169,42,350,10,17,58.8,11,1,250,1469,526,33,10,6,32,21,494,286,57.9,69,Matches,078b2c07
41,Adam Armour,us USA,MF,Charlotte FC,19-278,2002,0.9,56,4,14,23,24,5,54,3,4,75.0,3,0,41,298,163,9,1,1,3,0,46,38,82.6,6,Matches,546c2c25
42,Xavier Arreaga,ec ECU,DF,Seattle,27-277,1994,12.1,707,129,464,284,16,6,698,3,4,75.0,4,0,488,3161,1936,24,2,0,3,1,518,509,98.3,2,Matches,7f2b7640
43,Kervin Arriaga,hn HON,MF,Minnesota Utd,24-178,1998,13.0,773,44,240,459,124,14,743,8,20,40.0,10,1,483,2774,1401,38,15,0,11,10,540,489,90.6,13,Matches,4f8a9f70
44,Paul Arriola,us USA,FW,FC Dallas,27-147,1995,14.9,649,15,82,241,371,65,612,7,27,25.9,8,3,454,2599,1513,83,15,16,28,16,654,490,74.9,122,Matches,1bb2acce
45,Artur,br BRA,MF,Columbus Crew,26-113,1996,12.0,722,33,177,420,154,16,703,4,7,57.1,6,2,497,2005,706,19,4,1,8,14,505,478,94.7,19,Matches,ea6803c7
46,Dairon Asprilla,co COL,FWMF,Portland Timbers,30-038,1992,9.5,450,12,91,187,203,30,440,5,18,27.8,6,2,297,1491,819,38,12,9,31,19,479,322,67.2,76,Matches,218d336c
47,Isaac Atanga,gh GHA,FW,FC Cincinnati,21-338,2000,0.5,19,2,11,8,4,0,19,1,2,50.0,1,0,12,91,62,2,0,0,2,2,13,8,61.5,0,Matches,ff0f2a53
48,Joshua Atencio,us USA,MF,Seattle,20-152,2002,1.7,135,5,40,87,18,1,133,3,3,100.0,3,0,96,426,164,5,5,0,1,0,101,96,95.0,4,Matches,1f084637
49,Roberto Avila,us USA,FWMF,Houston Dynamo,21-259,2000,1.7,60,4,15,26,25,4,60,4,7,57.1,4,2,46,181,139,7,2,2,8,3,62,39,62.9,10,Matches,bb666b57
50,David Ayala,ar ARG,MF,Portland Timbers,19-341,2002,3.0,234,12,66,134,50,6,229,5,5,100.0,5,0,155,990,462,17,4,0,2,3,167,161,96.4,6,Matches,06dafc0e
51,Edison Azcona,do DOM,MF,Inter Miami,18-223,2003,0.2,6,0,0,2,4,1,6,1,1,100.0,1,0,6,38,5,0,0,0,0,2,8,4,50.0,1,Matches,05f54837
52,Dominique Badji,sn SEN,FWDF,FC Cincinnati,29-259,1992,11.2,363,20,67,154,161,40,351,4,10,40.0,5,0,214,1132,587,32,7,12,13,16,340,225,66.2,60,Matches,758ac389
53,Zico Bailey,us USA,DFMF,FC Cincinnati,21-309,2000,0.9,52,7,20,22,16,0,43,0,0,,0,0,24,83,43,2,2,0,0,4,27,24,88.9,3,Matches,aa9e1161
