Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
118,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23-216,1998,11.6,716,23,185,402,198,11,703,28,37,75.7,28,3,535,3519,2109,73,29,5,12,12,521,501,96.2,27,Matches,f087912d
119,Javier Casas,us USA,MF,Chicago Fire,19-049,2003,0.2,7,1,1,4,2,0,7,0,0,,0,0,5,10,0,0,0,0,0,1,3,3,100.0,0,Matches,2ed8d81b
120,Julio Cascante,cr CRC,DF,Austin FC,28-272,1993,16.0,1119,193,649,466,78,23,1090,2,4,50.0,2,1,732,4140,2261,57,14,0,5,4,820,807,98.4,5,Matches,cc120b4f
121,Cristian Cásseres Jr.,ve VEN,MFFW,NY Red Bulls,22-163,2000,12.1,679,18,93,410,216,21,663,13,30,43.3,17,3,415,2031,1079,58,22,3,14,19,429,364,84.8,34,Matches,f86fe8c1
122,Valentín Castellanos,ar ARG,FW,NYCFC,23-272,1998,12.6,543,18,38,205,326,110,529,11,29,37.9,14,5,336,1306,752,44,15,8,31,23,612,406,66.3,136,Matches,da76bab4
123,Lucas Cavallini,ca CAN,FW,Vancouver,29-186,1992,10.7,461,13,48,215,222,61,445,13,33,39.4,14,1,305,1513,595,39,4,5,39,21,453,348,76.8,94,Matches,dd8de641
124,Roman Celentano,us USA,GK,FC Cincinnati,21-291,2000,10.0,284,258,283,1,0,0,175,0,0,,0,0,95,596,322,0,0,0,0,0,73,73,100.0,0,Matches,42ba8628
125,Darwin Cerén,sv SLV,MF,Houston Dynamo,32-183,1989,7.5,397,26,122,227,72,7,384,6,7,85.7,6,0,266,1501,686,17,6,0,8,6,280,253,90.4,13,Matches,a58de3f0
126,Edwin Cerrillo,us USA,MF,FC Dallas,21-272,2000,8.7,527,24,213,299,55,3,513,2,4,50.0,2,0,379,1962,857,25,6,0,5,1,394,373,94.7,5,Matches,bd060315
127,Maikel Chang,cu CUB,MFFW,Real Salt Lake,31-075,1991,11.0,501,14,69,208,256,44,487,11,20,55.0,11,0,345,1631,837,48,16,4,22,17,407,326,80.1,63,Matches,04cc9edd
128,Maxime Chanot,lu LUX,DF,NYCFC,32-223,1989,3.7,248,40,160,99,10,3,234,0,1,0.0,0,0,136,836,341,6,2,0,2,1,149,146,98.0,1,Matches,ca366055
129,Diego Chará,co COL,MF,Portland Timbers,36-088,1986,14.1,861,72,346,450,117,2,829,4,9,44.4,5,0,527,2522,1295,37,11,0,6,5,580,545,94.0,15,Matches,6260cc9d
130,Yimmi Chará,co COL,MFFW,Portland Timbers,31-091,1991,17.3,1063,25,205,480,447,89,985,22,39,56.4,27,1,730,3523,1951,87,28,10,37,33,887,746,84.1,131,Matches,9df9baab
131,Mathieu Choiniere,ca CAN,DFMF,CF Montréal,23-145,1999,6.6,394,9,84,206,132,10,368,6,8,75.0,6,0,277,1383,655,28,10,2,5,10,330,285,86.4,21,Matches,017459bb
132,Léo Chú,br BRA,FWMF,Seattle,22-087,2000,5.2,207,4,25,88,111,26,205,3,10,30.0,4,2,162,1081,705,34,10,7,15,13,199,147,73.9,31,Matches,d88ebbe9
133,Kadin Chung,ca CAN,DF,Toronto FC,23-300,1998,5.0,310,18,110,149,76,5,272,2,6,33.3,2,1,195,1067,483,25,8,1,4,3,202,191,94.6,12,Matches,d616ce40
134,José Cifuentes,ec ECU,MF,Los Angeles FC,23-112,1999,13.0,780,13,125,415,302,35,761,21,33,63.6,23,0,544,2749,1621,79,27,7,23,22,639,559,87.5,72,Matches,8c8c07a7
135,Ronaldo Cisneros,mx MEX,FW,Atlanta Utd,25-175,1997,9.2,234,6,18,85,143,61,218,3,10,30.0,4,0,149,679,266,16,3,9,24,6,278,171,61.5,70,Matches,e526c193
136,Abdoulaye Cissoko,fr FRA,DF,Seattle,22-187,1999,3.1,221,40,139,94,2,2,215,0,1,0.0,0,0,138,693,360,8,0,0,0,2,158,154,97.5,0,Matches,52a6ef30
137,Caden Clark,us USA,MFFW,NY Red Bulls,19-036,2003,1.6,64,1,12,17,36,6,62,1,6,16.7,1,0,42,140,63,6,1,1,1,4,73,44,60.3,11,Matches,6e327d0d
138,Steve Clark,us USA,GK,Houston Dynamo,36-079,1986,16.0,643,563,641,4,0,0,474,0,0,,0,0,354,1592,1013,0,0,0,0,1,314,314,100.0,0,Matches,ed6320b7
139,Stefan Cleveland,us USA,GK,Seattle,28-038,1994,3.0,122,119,122,0,0,0,77,0,0,,0,0,46,236,94,0,0,0,0,0,46,45,97.8,0,Matches,873fdbdf
140,Jackson Conway,us USA,FWMF,Atlanta Utd,20-211,2001,0.4,13,0,0,2,11,6,13,0,0,,0,0,7,33,21,2,0,0,3,2,16,11,68.8,4,Matches,1cfa6e1a
141,Gabriele Corbo,it ITA,DF,CF Montréal,22-172,2000,3.8,210,26,94,109,15,1,202,1,1,100.0,1,0,129,445,205,8,2,0,0,2,141,133,94.3,0,Matches,091795f2
142,Sergio Córdova,ve VEN,FW,Real Salt Lake,24-327,1997,12.2,432,10,43,202,220,67,427,16,30,53.3,16,4,278,1227,647,39,17,7,39,18,482,304,63.1,56,Matches,229cd98a
143,Carlos Coronel,br BRA,GK,NY Red Bulls,25-185,1996,17.0,504,377,490,15,0,0,353,0,0,,0,0,233,970,596,0,0,0,1,0,176,176,100.0,0,Matches,5c07e176
144,Guzmán Corujo,uy URU,DF,Charlotte FC,25-334,1996,18.0,1153,174,720,485,33,12,1125,4,5,80.0,5,0,719,3735,1939,29,7,0,6,6,802,792,98.8,2,Matches,5c6051ad
145,Douglas Costa,br BRA,MFFW,LA Galaxy,31-291,1990,8.4,553,5,36,254,315,26,509,14,27,51.9,18,2,403,2631,1716,94,33,11,31,15,512,451,88.1,51,Matches,4fa7cb9b
146,Séga Coulibaly,fr FRA,DF,LA Galaxy,26-023,1996,9.8,669,78,379,315,19,9,654,7,8,87.5,7,0,464,2855,1583,40,4,1,2,4,491,485,98.8,2,Matches,dab9537e
147,Cade Cowell,us USA,FWMF,San Jose,18-261,2003,9.9,361,1,30,133,244,36,354,30,46,65.2,33,2,327,1860,1204,64,15,11,32,28,370,285,77.0,69,Matches,f8e95f87
148,Maxime Crépeau,ca CAN,GK,Los Angeles FC,28-052,1994,16.0,513,428,509,4,0,0,383,0,0,,0,0,270,1158,681,0,0,0,0,0,220,219,99.5,0,Matches,ea42e480
149,Daniel Crisostomo,us USA,MF,Los Angeles FC,25-167,1997,0.3,13,2,6,8,0,0,13,0,0,,0,0,6,24,13,0,0,0,1,0,10,9,90.0,0,Matches,33fdd2aa
150,Cody Cropper,us USA,GK,Vancouver,29-136,1993,7.2,213,204,213,0,0,0,126,0,0,,0,0,72,370,207,0,0,0,0,0,59,59,100.0,0,Matches,aa133046
151,Allan Cruz,cr CRC,MF,FC Cincinnati,26-128,1996,1.6,79,3,13,46,25,3,75,0,0,,0,0,47,152,50,3,0,1,1,2,63,55,87.3,3,Matches,030105a5
152,Adrián Cubas,py PAR,MF,Vancouver,26-041,1996,2.0,122,5,29,76,22,1,119,0,0,,0,0,85,301,138,5,3,0,2,2,84,81,96.4,0,Matches,9b40a6ea
153,Rafael Czichos,de GER,DF,Chicago Fire,32-049,1990,11.9,682,110,410,299,21,12,649,4,9,44.4,4,1,370,2500,1354,20,4,0,0,4,380,370,97.4,1,Matches,b0a0698b
154,Cristián Dajome,co COL,DFMF,Vancouver,28-180,1994,12.2,591,29,114,256,263,46,561,13,26,50.0,15,2,420,2282,1281,62,21,11,19,19,503,420,83.5,82,Matches,a065e877
155,Abu Danladi,gh GHA,FWMF,Minnesota Utd,26-257,1995,4.6,189,3,30,67,102,15,187,5,9,55.6,5,0,139,584,299,15,4,1,15,14,168,123,73.2,34,Matches,507383d1
156,Bode Davis,us USA,MF,Real Salt Lake,20-130,2002,0.3,20,0,5,7,10,1,20,0,0,,0,0,15,77,36,2,0,1,0,1,22,17,77.3,3,Matches,891f8b82
157,Jake Davis,us USA,MF,Sporting KC,20-180,2002,0.2,,,,,,,,,,,,,,,,,,,,,,,,,Matches,79d3a503
158,Sean Davis,us USA,MF,Nashville,29-144,1993,16.0,808,43,223,477,153,10,800,7,10,70.0,8,0,525,2361,1074,47,16,0,11,9,549,516,94.0,25,Matches,cb75cac9
159,Miloš Degenek,au AUS,DF,Columbus Crew,28-065,1994,11.6,757,112,386,377,28,14,732,1,1,100.0,1,1,459,2693,1292,41,4,0,2,1,485,483,99.6,1,Matches,c8e65157
160,Alex DeJohn,us USA,DF,Atlanta Utd,31-053,1991,4.6,344,54,207,150,17,10,340,1,1,100.0,1,0,223,1612,825,16,4,0,4,2,240,234,97.5,2,Matches,2a6c024c
161,A.J. DeLaGarza,gu GUM,DF,New England,34-240,1987,2.7,149,15,55,59,37,2,130,0,0,,0,0,72,287,80,4,0,0,0,1,89,80,89.9,0,Matches,171b3c37
162,Marky Delgado,us USA,MF,LA Galaxy,27-047,1995,14.3,1213,28,253,734,295,10,1195,3,9,33.3,3,1,851,3613,1753,78,29,5,16,6,942,903,95.9,33,Matches,7f6a25b7
163,Nick DePuy,us USA,DF,LA Galaxy,27-230,1994,10.1,598,113,382,228,24,13,574,0,0,,0,0,314,1887,1191,7,2,0,1,0,377,370,98.1,4,Matches,ba7b4e67
164,Silvester van der Water,nl NED,FWMF,Orlando City,25-275,1996,0.5,25,0,7,11,8,1,24,0,1,0.0,1,0,16,62,22,1,0,0,1,3,20,17,85.0,3,Matches,5d83500d
165,Joey DeZart,us USA,DF,Orlando City,24-023,1998,0.0,5,0,0,5,1,0,5,0,0,,0,0,5,32,16,1,0,0,1,0,5,5,100.0,0,Matches,9d7142a6
166,Luis Díaz,cr CRC,FWMF,Columbus Crew,23-208,1998,3.4,160,3,22,60,105,16,158,7,23,30.4,9,5,142,792,481,21,9,5,7,5,145,120,82.8,27,Matches,1c9838aa
167,Bakaye Dibassy,ml MLI,DF,Minnesota Utd,32-325,1989,16.0,842,119,466,347,74,15,806,3,7,42.9,4,0,466,2630,1365,41,7,1,2,3,492,476,96.7,4,Matches,247accfd
168,Clément Diop,sn SEN,GK,Inter Miami,28-263,1993,3.0,97,87,97,1,0,0,57,0,0,,0,0,40,136,48,0,0,0,0,0,36,36,100.0,0,Matches,0d5c0218
169,Sofiane Djeffal,fr FRA,MF,D.C. United,23-084,1999,9.3,498,15,104,346,73,2,483,8,13,61.5,8,2,314,1588,766,37,6,0,9,7,297,281,94.6,8,Matches,29d85f83
170,Moussa Djitte,sn SEN,FW,Austin FC,22-271,1999,2.3,75,2,4,30,45,21,73,1,5,20.0,1,1,47,219,97,3,1,2,11,5,82,49,59.8,13,Matches,627b570a
171,Ethan Dobbelaere,us USA,DF,Seattle,19-230,2002,1.0,59,1,20,26,17,4,49,0,2,0.0,0,0,42,283,141,7,0,1,2,3,46,41,89.1,1,Matches,1e772b7c
172,Cecilio Domínguez,py PAR,FWMF,Austin FC,27-325,1994,3.1,150,4,21,63,78,19,146,4,8,50.0,4,0,110,613,326,12,2,3,11,2,142,117,82.4,12,Matches,3162d667
173,Christopher Donovan,us USA,MFFW,Philadelphia,21-328,2000,0.3,18,2,3,7,9,3,17,1,1,100.0,1,1,8,25,2,0,0,0,0,0,14,8,57.1,2,Matches,8f995d10
174,Griffin Dorsey,us USA,DF,Houston Dynamo,23-119,1999,7.7,419,35,160,189,107,4,371,7,14,50.0,7,0,260,1796,1105,29,12,0,8,8,245,225,91.8,16,Matches,c182ca04
175,Hassani Dotson,us USA,DFMF,Minnesota Utd,24-330,1997,7.0,414,31,136,200,104,4,373,11,16,68.8,11,2,243,1049,543,25,11,0,7,8,261,241,92.3,5,Matches,8f2af1ed
176,Sebastián Driussi,ar ARG,MFFW,Austin FC,26-143,1996,16.7,942,25,146,487,385,68,897,33,60,55.0,35,10,683,2954,1445,73,27,9,32,29,801,704,87.9,80,Matches,60e86875
177,Bryce Duke,us USA,MF,Inter Miami,21-124,2001,7.4,425,11,96,216,140,15,405,13,25,52.0,14,5,303,1347,740,27,8,2,16,13,356,315,88.5,25,Matches,59557625
178,Cameron Duke,us USA,MFDF,Sporting KC,21-139,2001,10.0,486,10,93,200,229,23,452,13,33,39.4,17,1,335,1931,1281,42,19,8,25,12,370,315,85.1,42,Matches,c679d9fd
179,Jhon Durán,co COL,FW,Chicago Fire,18-201,2003,3.7,136,3,13,69,61,16,130,0,6,0.0,0,0,71,345,149,10,2,2,15,6,152,87,57.2,18,Matches,414184f7
180,Chris Durkin,us USA,MF,D.C. United,22-144,2000,7.9,388,12,79,239,89,13,370,5,10,50.0,5,0,239,998,462,21,8,3,9,9,265,232,87.5,15,Matches,0ffd4373
181,Dom Dwyer,us USA,FWMF,Atlanta Utd,31-337,1990,2.6,81,3,9,30,45,19,78,1,1,100.0,1,0,51,138,91,6,1,2,8,3,104,59,56.7,18,Matches,bdfc15f8
182,Jeremy Ebobisse,us USA,FW,San Jose,25-138,1997,15.0,447,10,15,205,247,67,403,14,25,56.0,18,1,315,1044,417,33,11,6,27,20,484,334,69.0,117,Matches,5fa7b2ec
183,Daniel Edelman,us USA,MF,NY Red Bulls,19-065,2003,0.4,22,3,13,9,2,0,22,0,0,,0,0,8,73,45,0,0,0,0,1,11,8,72.7,2,Matches,a8de0bd5
184,Javier Eduardo López,mx MEX,MFFW,San Jose,27-288,1994,2.6,133,2,8,66,70,5,119,6,10,60.0,7,2,90,351,216,18,8,1,6,8,122,97,79.5,20,Matches,f851b52f
185,Earl Edwards Jr.,us USA,GK,New England,30-159,1992,4.0,96,89,96,0,0,0,62,0,0,,0,0,37,178,98,0,0,0,0,0,23,23,100.0,0,Matches,10f6f942
186,Raheem Edwards,ca CAN,DF,LA Galaxy,26-352,1995,14.3,979,53,299,448,299,36,876,30,56,53.6,32,2,637,3084,1780,87,26,11,13,20,648,591,91.2,41,Matches,b828d56a
187,Tom Edwards,eng ENG,DF,NY Red Bulls,23-161,1999,15.7,999,68,361,459,236,9,774,6,9,66.7,6,0,455,2125,1073,34,13,1,7,8,467,445,95.3,5,Matches,1b780599
188,Jack Elliott,eng ENG,DF,Philadelphia,26-311,1995,16.9,807,157,493,325,35,11,778,2,5,40.0,2,0,369,1948,999,14,4,0,5,3,392,380,96.9,4,Matches,041deebd
189,Kalil ElMedkhar,us USA,FWMF,FC Dallas,22-318,1999,0.1,14,0,0,4,11,5,14,1,1,100.0,1,0,11,25,15,1,1,0,1,0,13,12,92.3,4,Matches,272c1aaf
190,Franco Escobar,ar ARG,DF,Los Angeles FC,27-131,1995,4.2,302,20,114,128,83,10,251,4,8,50.0,4,0,156,821,411,14,7,1,5,3,184,165,89.7,11,Matches,54f33d0e
191,Cristian Espinoza,ar ARG,FWMF,San Jose,27-090,1995,15.1,778,7,48,283,491,68,685,20,47,42.6,21,4,578,2969,1503,96,18,14,35,13,713,547,76.7,98,Matches,9c794a80
192,Jhon Espinoza,ec ECU,DFFW,Chicago Fire,23-128,1999,3.2,165,6,41,79,53,4,150,3,8,37.5,3,0,99,489,281,11,4,0,5,3,112,96,85.7,9,Matches,79666d5a
193,Roger Espinoza,hn HON,MF,Sporting KC,35-250,1986,12.8,678,17,110,371,233,27,669,6,9,66.7,6,1,429,1824,969,44,16,4,14,10,501,465,92.8,39,Matches,60b7c195
194,Lucas Esteves,br BRA,DF,Colorado Rapids,22-008,2000,10.3,618,20,161,276,215,38,531,5,14,35.7,6,1,362,1786,1170,68,15,9,14,7,439,397,90.4,58,Matches,c6ec0258
195,Michael Estrada,ec ECU,FW,D.C. United,26-086,1996,6.3,181,4,10,98,84,21,168,6,16,37.5,9,0,104,467,270,15,4,2,36,7,289,137,47.4,33,Matches,773f5f12
196,Derrick Etienne,ht HAI,FWDF,Columbus Crew,25-219,1996,11.8,529,12,92,170,311,86,511,17,34,50.0,19,0,420,2483,1541,79,22,25,21,27,505,388,76.8,94,Matches,59059f1e
197,Diego Fagúndez,uy URU,FWMF,Austin FC,27-138,1995,14.9,696,13,103,268,377,61,621,12,27,44.4,13,4,498,2732,1557,73,22,8,20,14,592,481,81.3,86,Matches,fe81682e
198,Mamadou Fall,sn SEN,DF,Los Angeles FC,19-223,2002,12.1,776,100,423,365,46,15,742,8,10,80.0,8,0,464,2508,1461,25,5,1,5,6,503,498,99.0,0,Matches,805a2a11
199,Marco Farfan,us USA,DF,FC Dallas,23-232,1998,16.5,1018,61,383,470,218,13,854,12,23,52.2,13,4,584,2539,1476,55,23,2,12,14,604,564,93.4,17,Matches,cfc68595
200,Andrew Farrell,us USA,DF,New England,30-091,1992,15.7,1139,162,636,547,22,1,1113,4,4,100.0,4,0,760,3333,1815,26,4,0,1,4,798,795,99.6,0,Matches,71eda165
201,Mohamed Farsi,ca CAN,FWMF,Columbus Crew,22-198,1999,0.3,10,0,3,5,4,0,10,0,0,,0,0,8,115,68,4,0,0,0,0,10,7,70.0,1,Matches,81039302
202,Felipe,br BRA,MFFW,Austin FC,31-275,1990,3.6,198,8,39,104,66,4,190,0,0,,0,0,136,489,238,9,3,1,4,3,157,146,93.0,5,Matches,2415bd0a
203,Thiago Fernandes,br BRA,FWMF,Houston Dynamo,21-111,2001,0.2,14,0,3,5,7,0,14,0,0,,0,0,11,34,4,0,0,0,1,0,15,13,86.7,2,Matches,e3550df1
204,Omir Fernandez,us USA,MFFW,NY Red Bulls,23-144,1999,11.9,412,5,40,175,226,71,401,9,28,32.1,11,2,284,1619,1039,53,17,12,31,20,392,257,65.6,86,Matches,622986f0
205,Jesus Ferreira,us USA,FWMF,FC Dallas,21-190,2000,15.3,547,12,72,259,247,68,506,7,12,58.3,7,1,352,1481,901,46,15,12,19,14,537,378,70.4,91,Matches,f61246d8
206,Sebastián Ferreira,py PAR,FW,Houston Dynamo,24-139,1998,13.2,394,9,36,176,204,62,373,13,27,48.1,14,3,234,1041,554,22,11,6,25,25,452,273,60.4,88,Matches,5439dba0
207,Stuart Findlay,sct SCO,DF,Philadelphia,26-291,1995,1.0,45,9,23,22,2,2,45,0,0,,0,0,28,197,93,2,0,0,0,0,30,29,96.7,0,Matches,edffe99a
208,Ethan Finlay,us USA,FW,Austin FC,31-330,1990,7.8,282,5,42,102,147,28,274,8,16,50.0,11,0,187,950,560,26,7,2,8,10,273,199,72.9,61,Matches,c16a59af
209,Oniel Fisher,jm JAM,DF,Minnesota Utd,30-222,1991,6.2,397,25,139,167,130,6,330,6,9,66.7,7,0,221,1281,688,30,19,1,9,8,228,209,91.7,16,Matches,ed5fdca6
210,Leon Flach,us USA,MF,Philadelphia,21-124,2001,15.4,486,28,133,252,133,21,479,6,9,66.7,6,1,251,1561,806,33,14,4,15,7,276,230,83.3,24,Matches,39859fa1
211,Ashley Fletcher,eng ENG,FW,NY Red Bulls,26-273,1995,2.8,106,3,5,38,68,17,103,7,14,50.0,8,1,70,218,88,7,2,0,11,5,134,68,50.7,28,Matches,eeb6551f
212,Edison Flores,pe PER,MFFW,D.C. United,28-049,1994,9.2,353,7,46,150,183,41,342,6,14,42.9,8,1,239,1264,663,35,16,11,25,20,319,221,69.3,58,Matches,ef2c82f8
213,George Fochive,us USA,MF,Portland Timbers,30-100,1992,0.3,10,4,9,1,0,0,10,0,0,,0,0,3,10,6,0,0,0,1,0,3,2,66.7,0,Matches,f99000bb
214,Nathan Fogaça,br BRA,FW,Portland Timbers,23-023,1999,4.2,159,3,11,65,87,30,145,2,9,22.2,2,2,92,324,168,13,1,6,12,10,154,107,69.5,41,Matches,aad135a3
215,Andreu Fontàs,es ESP,DF,Sporting KC,32-230,1989,12.1,1020,153,504,535,59,8,995,1,2,50.0,1,0,693,3575,2371,56,11,0,2,3,755,748,99.1,4,Matches,0f138d5a
216,Kortne Ford,us USA,DF,Sporting KC,26-157,1996,8.8,528,68,305,238,25,9,517,2,3,66.7,3,0,328,1975,1138,20,3,0,4,2,365,364,99.7,2,Matches,552a7707
217,Taxiarchis Fountas,gr GRE,FWMF,D.C. United,26-301,1995,7.2,300,2,13,133,179,41,283,7,18,38.9,7,3,207,1407,728,38,14,11,15,11,299,218,72.9,60,Matches,2ce71308
218,Franco Fragapane,ar ARG,FWMF,Minnesota Utd,29-146,1993,10.5,540,11,87,254,235,53,530,19,27,70.4,19,0,398,2093,1284,51,12,12,15,19,462,390,84.4,62,Matches,09538c47
219,Alan Franco,ar ARG,DF,Atlanta Utd,25-264,1996,12.2,976,137,532,465,44,9,940,5,8,62.5,5,1,671,3923,1996,42,6,0,2,3,673,658,97.8,1,Matches,a548281c
220,Alan Franco,ec ECU,MF,Charlotte FC,23-315,1998,8.7,414,8,64,236,153,18,408,6,10,60.0,8,2,284,1323,604,29,17,0,10,14,344,305,88.7,33,Matches,c76b161b
221,Kobe Franklin,ca CAN,DF,Toronto FC,19-053,2003,0.2,4,0,2,2,1,0,3,0,0,,0,0,2,19,8,1,0,0,0,0,1,1,100.0,0,Matches,407325c4
222,Stefan Frei,ch SUI,GK,Seattle,36-073,1986,13.0,495,458,495,1,0,0,333,0,0,,0,0,235,1274,462,0,0,0,0,0,223,223,100.0,0,Matches,1d0a0f3e
223,Christian Fuchs,at AUT,DF,Charlotte FC,36-086,1986,12.7,1051,104,489,485,135,13,966,4,8,50.0,5,0,631,3036,1504,37,15,0,4,3,684,667,97.5,6,Matches,a67a09fb
224,Ruben Gabrielsen,no NOR,DF,Austin FC,30-114,1992,14.9,1023,133,590,454,40,15,1003,3,5,60.0,4,0,683,3392,1676,38,7,1,5,6,750,740,98.7,4,Matches,9e64fc85
225,Ray Gaddis,us USA,DF,FC Cincinnati,32-170,1990,7.1,351,13,77,183,109,3,283,4,11,36.4,4,1,195,834,401,21,9,1,9,3,206,186,90.3,13,Matches,8348b24d
226,McKinze Gaines,us USA,MFFW,Charlotte FC,24-122,1998,5.2,183,2,19,70,109,29,182,11,16,68.8,11,1,155,1142,723,35,8,4,17,15,222,134,60.4,33,Matches,8ef72983
227,Jon Gallagher,ie IRL,DF,Austin FC,26-129,1996,8.4,606,28,186,304,155,13,542,8,13,61.5,8,0,392,2343,1035,44,17,4,9,8,393,372,94.7,19,Matches,9d5afdfb
228,Pedro Gallese,pe PER,GK,Orlando City,32-129,1990,16.0,415,364,409,8,0,0,243,2,2,100.0,2,0,161,893,476,0,0,0,0,0,118,117,99.2,0,Matches,b76e1394
229,Christopher Garcia,us USA,MFFW,Real Salt Lake,19-170,2003,0.0,6,0,1,2,3,0,6,1,1,100.0,1,0,6,33,9,0,0,0,0,0,3,2,66.7,1,Matches,f6390a6b
230,Chase Gasper,us USA,DF,LA Galaxy,26-158,1996,1.9,130,4,36,53,52,2,114,0,1,0.0,0,0,87,348,175,10,4,0,0,4,89,86,96.6,6,Matches,7371ec36
231,Ryan Gauld,sct SCO,MF,Vancouver,26-198,1995,9.6,486,11,93,212,223,39,464,12,20,60.0,12,0,313,1723,1053,40,16,5,11,13,388,326,84.0,58,Matches,862e93c2
232,Dániel Gazdag,hu HUN,MF,Philadelphia,26-122,1996,16.5,669,6,80,336,306,62,647,15,37,40.5,20,4,449,2254,1175,60,26,7,29,17,629,486,77.3,87,Matches,527d0e31
233,Kieran Gibbs,eng ENG,DF,Inter Miami,32-279,1989,2.1,144,9,60,50,40,4,122,2,5,40.0,2,0,79,407,213,9,1,2,1,1,86,84,97.7,0,Matches,46ee5234
234,Carles Gil,es ESP,MF,New England,29-222,1992,16.3,1388,2,146,743,644,54,1241,37,62,59.7,43,6,1075,7855,4217,221,71,20,34,16,1157,1065,92.0,80,Matches,11c30a46
235,José Antonio Martínez Gil,es ESP,DF,FC Dallas,29-140,1993,13.5,1014,186,630,428,12,4,975,5,5,100.0,5,0,676,3345,1778,21,2,0,3,0,728,722,99.2,2,Matches,8e049cbd
236,Gastón Giménez,py PAR,MF,Chicago Fire,30-340,1991,14.8,935,23,211,578,198,14,878,23,28,82.1,23,2,619,2865,1337,61,18,2,15,13,605,561,92.7,27,Matches,ab66cc31
237,Francisco Ginella,uy URU,MF,Los Angeles FC,23-162,1999,3.9,246,5,48,157,53,4,235,1,4,25.0,1,0,160,624,231,10,2,2,2,6,178,170,95.5,9,Matches,5a28a782
238,Justen Glad,us USA,DF,Real Salt Lake,25-124,1997,12.7,755,97,451,318,35,19,741,2,3,66.7,2,0,457,2490,1264,28,5,0,4,2,509,501,98.4,0,Matches,5b768b0f
239,Jakob Glesnes,no NOR,DF,Philadelphia,28-099,1994,17.0,710,145,431,300,38,9,673,3,5,60.0,3,0,338,2927,1624,24,7,0,2,1,350,344,98.3,2,Matches,ac65aef3
240,Chris Gloster,us USA,DF,NYCFC,21-339,2000,5.3,382,15,124,165,104,8,330,1,5,20.0,1,0,248,859,443,20,5,2,9,8,269,251,93.3,22,Matches,01cd3c12
241,Marcus Godinho,ca CAN,DF,Vancouver,25-004,1997,6.1,307,17,99,138,98,11,273,9,15,60.0,10,1,195,1195,768,28,8,2,7,9,208,185,88.9,8,Matches,27854bf6
242,Aníbal Godoy,pa PAN,MF,Nashville,32-142,1990,7.5,457,17,125,285,81,4,442,3,4,75.0,3,0,312,1627,604,20,9,0,6,13,353,325,92.1,12,Matches,2d496ca3
243,Erik Godoy,ar ARG,DF,Vancouver,28-320,1993,4.3,249,43,142,113,12,3,243,1,1,100.0,1,0,154,944,565,12,3,0,0,0,157,155,98.7,0,Matches,e8b80334
244,Eulânio Ângelo Chipela Gomes,gw GNB,DF,FC Dallas,28-046,1994,6.7,445,22,136,198,141,15,373,8,16,50.0,10,1,284,1427,836,35,11,2,17,8,310,268,86.5,20,Matches,d9b9b71a
245,Yeimar Gómez Andrade,co COL,DF,Seattle,30-002,1992,7.9,512,88,318,210,10,4,501,5,8,62.5,5,0,307,1287,599,5,0,0,2,0,313,309,98.7,1,Matches,e43c8d72
246,Omar Gonzalez,us USA,DF,New England,33-264,1988,7.0,399,61,223,188,10,7,391,0,0,,0,0,227,1193,450,6,0,0,0,2,254,247,97.2,0,Matches,0d2fe665
247,Samuel Grandsir,fr FRA,FWMF,LA Galaxy,25-322,1996,8.3,426,5,47,149,284,47,392,6,18,33.3,7,0,332,2170,1310,59,28,13,20,16,392,323,82.4,74,Matches,d2448564
248,Tayvon Gray,us USA,DF,NYCFC,19-317,2002,8.3,573,25,218,247,130,11,493,3,6,50.0,3,0,354,1424,679,26,1,4,9,5,354,339,95.8,8,Matches,c839e1b2
249,Gregore,br BRA,MF,Inter Miami,28-122,1994,14.0,887,55,318,517,120,4,864,12,15,80.0,12,0,555,3033,1667,52,21,1,11,19,570,538,94.4,12,Matches,49815f34
250,Ján Greguš,sk SVK,MF,San Jose,31-154,1991,12.5,1010,30,178,630,263,6,927,2,5,40.0,3,0,691,3320,1458,54,19,0,7,9,767,747,97.4,20,Matches,7d974435
251,Julian Gressel,de GER,DF,D.C. United,28-198,1993,13.3,889,40,170,375,395,41,708,3,10,30.0,4,0,483,2295,1372,52,23,4,17,5,588,496,84.4,62,Matches,acd47bc0
252,Sami Guediri,us USA,DF,D.C. United,24-318,1997,0.5,39,0,14,22,3,1,32,0,0,,0,0,21,106,29,0,0,0,1,0,18,15,83.3,3,Matches,e3dc71a7
253,Brian Gutiérrez,us USA,FWMF,Chicago Fire,19-015,2003,7.7,363,8,66,173,152,27,358,13,24,54.2,18,5,271,1378,771,43,17,7,9,9,315,260,82.5,37,Matches,d88f31db
