Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
29,Malte Amundsen,dk DEN,DF,NYCFC,24-140,1998,10.6,0,9,0,0.0,0.85,0.00,0.00,,19.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,83b6e15d
30,Max Anchor,ca CAN,GK,Vancouver,17-345,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d6aa8848
31,Sebastian Anderson,us USA,DF,Colorado Rapids,19-327,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3a9911ce
32,José Andrés Martínez,ve VEN,MF,Philadelphia,27-328,1994,15.6,0,16,2,12.5,1.02,0.13,0.00,0.00,29.5,1,0,0,0.4,0.4,0.02,-0.4,-0.4,Matches,c8364e8e
33,Jalil Anibaba,us USA,DF,Columbus Crew,33-255,1988,0.9,0,1,0,0.0,1.06,0.00,0.00,,7.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,e44593b0
34,Themi Antonoglou,ca CAN,DF,Toronto FC,21-029,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b137ee51
35,Brian Anunga,cm CMR,MF,Nashville,25-325,1996,5.7,0,4,0,0.0,0.70,0.00,0.00,,24.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,17b28ec7
36,Cristian Arango,co COL,FW,Los Angeles FC,27-114,1995,11.8,6,44,19,43.2,3.73,1.61,0.11,0.26,18.1,3,1,1,6.5,5.8,0.13,-0.5,-0.8,Matches,fea9401e
37,César Araujo,uy URU,MF,Orlando City,21-090,2001,14.4,0,9,1,11.1,0.62,0.07,0.00,0.00,24.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,3ed214ff
38,Julian Araujo,mx MEX,DF,LA Galaxy,20-322,2001,13.9,0,6,0,0.0,0.43,0.00,0.00,,12.9,0,0,0,1.2,1.2,0.19,-1.2,-1.2,Matches,8f4541c2
39,Luiz Araújo,br BRA,FW,Atlanta Utd,26-029,1996,7.5,4,36,7,19.4,4.81,0.93,0.11,0.57,20.1,2,0,0,2.9,2.9,0.08,+1.1,+1.1,Matches,fa18c72e
40,Daniel Armando Ríos,mx MEX,FW,Charlotte FC,27-129,1995,10.5,1,23,7,30.4,2.20,0.67,0.04,0.14,13.2,0,0,0,2.6,2.6,0.11,-1.6,-1.6,Matches,078b2c07
41,Adam Armour,us USA,MF,Charlotte FC,19-277,2002,0.9,1,3,2,66.7,3.18,2.12,0.33,0.50,17.4,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches,546c2c25
42,Xavier Arreaga,ec ECU,DF,Seattle,27-276,1994,12.1,1,6,3,50.0,0.50,0.25,0.17,0.33,12.5,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches,7f2b7640
43,Kervin Arriaga,hn HON,MF,Minnesota Utd,24-177,1998,13.0,1,13,3,23.1,1.00,0.23,0.08,0.33,19.1,1,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,4f8a9f70
44,Paul Arriola,us USA,FW,FC Dallas,27-146,1995,14.9,8,36,14,38.9,2.42,0.94,0.22,0.57,17.5,2,0,0,4.5,4.5,0.13,+3.5,+3.5,Matches,1bb2acce
45,Artur,br BRA,MF,Columbus Crew,26-112,1996,12.0,0,20,3,15.0,1.66,0.25,0.00,0.00,20.0,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,ea6803c7
46,Dairon Asprilla,co COL,FWMF,Portland Timbers,30-037,1992,9.5,2,15,2,13.3,1.57,0.21,0.07,0.50,17.7,0,1,1,2.6,1.9,0.12,-0.6,-0.9,Matches,218d336c
47,Isaac Atanga,gh GHA,FW,FC Cincinnati,21-337,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ff0f2a53
48,Joshua Atencio,us USA,MF,Seattle,20-151,2002,1.7,0,3,0,0.0,1.72,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,1f084637
49,Roberto Avila,us USA,FWMF,Houston Dynamo,21-258,2000,1.7,0,4,1,25.0,2.31,0.58,0.00,0.00,19.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches,bb666b57
50,David Ayala,ar ARG,MF,Portland Timbers,19-340,2002,3.0,0,5,1,20.0,1.69,0.34,0.00,0.00,22.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,06dafc0e
51,Edison Azcona,do DOM,MF,Inter Miami,18-222,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,05f54837
52,Dominique Badji,sn SEN,FWDF,FC Cincinnati,29-258,1992,11.2,0,26,11,42.3,2.31,0.98,0.00,0.00,15.7,0,0,0,2.7,2.7,0.10,-2.7,-2.7,Matches,758ac389
53,Zico Bailey,us USA,DFMF,FC Cincinnati,21-308,2000,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,aa9e1161
54,Corey Baird,us USA,FWMF,Houston Dynamo,26-152,1996,7.5,0,9,3,33.3,1.20,0.40,0.00,0.00,16.1,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches,2d0d1442
55,Reed Baker-Whiting,us USA,MF,Seattle,17-092,2005,1.0,0,2,2,100.0,2.00,2.00,0.00,0.00,17.2,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,816d7aec
